tweet_1,tweet_2,Class,Conflict
Corda pra se enforcar! #STFVergonhaNacional  #BolsonaroOrgulhoDoBrasil  URGENTE: ALEXANDRE DE MORAES DETERMINA SUSPENSÃO DE CONTAS NO TWITTER DE APOIADORES DE BOLSONARO,"...E a Democracia aos poucos vai se tornando refém de um Poder que existe para, em tese, salvaguardar a Constituição, cujo colegiado se perpetua na função sem ter recebido um voto sequer daquele de onde o poder Constitucional originalmente emana: O POVO!...",2,0
"Mude a localização para acessar meus tweets: 1. Vá em Conta e Privacidade, 2. Clique em Conta, 3. Depois em Dados e Permissões, 4. E mude sua localização para os EUA. Aí você acompanha meus Tweets normalmente. Tente censurar o Tio Sam agora, Cabeça de Ovo! #VozParaBernardoKuster","#VozParaBernardoKuster #STFVergonhaNacional  Mude sua localização para Estados Unidos, terra tio San cabeça de ovo não manda.",2,0
"#URGENTE: Após pedido de Alexandre de Moraes (STF), o Twitter derrubou a conta de Sara Winter, Roberto Jefferson, Allan dos Santos, Bernardo Küster e Luciano Hang e outros foram vítimas da censura com base no inquérito ilegal das fake news.","Até quando iremos assistir inertes, atitudes arbitrárias querendo calar nossa liberdade de pensamento e expressão?",2,0
Já cancelou sua assinatura na grande mídia hoje?  Estadão: 0800 014 7720 Folha: 0800 140 090 Globo: 0800 881 8000 Veja: 0800 775 2112  ISTOÉ: 0800 888 2111,"Daqui do EUA, eu sigo o Bernardo! #VozParaBernardoKuster",2,0
"Podem ter certeza, se fosse a conta do Nando Moura, FMB, Andreazza, Vera Magalhães, seja por qual motivo fosse, que tivesse sido bloqueada nas redes sociais pelo STF, o gado estaria comemorando.","Mas não tenha NENHUMA DÚVIDA disso. Seria um grande dia  pra eles.   Eu acho muito perigoso tudo o que está acontecendo, e espero q exista algum embasamento realmente sério que justifique essa queda de perfis. Pq até agora é só fumaça.",2,0
"Twitter derruba contas bolsonarista  Roberto Jefferson, presidente do PTB   Luciano Hang, empresário  Edgard Corona, empresário  Otávio Fakhoury, empresário  Bernardo Küster  Allan dos Santos, blogueiro  Winston Rodrigues Lima  Reynaldo Bianchi  Sara Giromini Enzo Leonardo",A nata do bolsonarismo,2,0
"Em nota à imprensa após suspensão de perfis pró-Bolsonaro, o Twitter disse que ""agiu estritamente em cumprimento a uma ordem legal proveniente de inquérito do Supremo Tribunal Federal (STF)"".","""Ordem legal"" baseada em lei nenhuma e com um inquérito que todos desconhecem o conteúdo. Se a oposição soubesse que seria tão fácil CENSURA, acho que nem teriam se dado ao trabalho de articular pra tentar emplacar essa PL 2630/2020.",2,0
"Alexandre determina e Twitter bloqueia perfis do presidente do PTB, Roberto Jefferson, dos empresários Luciano Hang, Edgard Corona, Otávio Fakhoury, Bernardo Küster, além do jornalista Allan dos Santos e do assessor do deputado estadual de São Paulo Edson Salomão.",Eu não consigo ler isso sem passar raiva desse fdp!!! É isso mesmo que ele é: um FDP!!! Da pior espécie!!!,2,0
"Alexandre determina e Twitter bloqueia perfis do presidente do PTB, Roberto Jefferson, dos empresários Luciano Hang, Edgard Corona, Otávio Fakhoury, Bernardo Küster, além do jornalista Allan dos Santos e do assessor do deputado estadual de São Paulo Edson Salomão.","Generais, sejam patriotas fechem logo esse stf e renovem essa instituição. O congresso Nacional também tem que ser fechado.  Não aguento mais tanta canalhice.",2,0
SEXTA FEIRA É DIA DA GRANDE FINAL DO SUB 18. SEXTA FEIRA TAMBÉM É  DIA DA NOSSA TORCIDA DA UM SHOW NAS ARQUIBANCADAS !   #AVANTEPÇA  #TJP #MENINOSDAPRAÇA,vamos ser campeão,2,0
"Alexandre determina e Twitter bloqueia perfis do presidente do PTB, Roberto Jefferson, dos empresários Luciano Hang, Edgard Corona, Otávio Fakhoury, Bernardo Küster, além do jornalista Allan dos Santos e do assessor do deputado estadual de São Paulo Edson Salomão.",Sinal que realmente eles incomodam o sistema.,2,0
"Em sua decisão, Moraes disse que o bloqueio foi ""necessário para a interrupção dos discursos com conteúdo de ódio, subversão da ordem e incentivo à quebra da normalidade institucional e democrática”","Um GRANDE VIVA A CENSURA, parabéns  Parabéns omissos   nada contra 'cer' contra a ditadura.....",2,0
A gente não pode achar isso normal. Hoje é o Bernardo. Amanhã será você. #VozParaBernardoKuster,"A censura ao Bernardo Küster é abjeta e inaceitável. Quando os tribunais começam a violar os direitos individuais mais básicos, é hora de a sociedade se unir e reagir. Os tiranos jamais podem se sentir confortáveis. #VozParaBernardoKuster",2,0
SEXTA-FEIRA DA VERGONHA Alexandre de Moraes manda censurar perfis do jornalista Bernardo Küster (diretor do BSM) e vários outros conservadores. É a mais vasta operação de censura já vista na internet brasileira. #VozParaBernardoKuster,Apoiadores de  caçados com animais e calados na rede. Alexandre precisa cair.,2,0
"Em sua decisão, Moraes disse que o bloqueio foi ""necessário para a interrupção dos discursos com conteúdo de ódio, subversão da ordem e incentivo à quebra da normalidade institucional e democrática”",Censura agora é “normalidade institucional e democrática”?,2,0
Surfando nas lágrimas dos isentoes esquerdistas e youtubers blogueiros. Grande dia!,"Mas qual o motivo? Serio? Eu queria mt que alguém me explicasse, argumentasse, sem treta, sem agressão. Me esclarecesse o que o atual governo esta fazendo p merecer um segundo mandato. Mas, eu quero argumentos com dados, fundamentos, numeros e principalmente, VERDADE. Alguem?",2,0
Chamem o Gen. Cloroquina...ou o Gen.Ocidio,Dia segue sendo grande  ...,2,0
