tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict
"Bolsonaro quer aplicar Cloroquina a qualquer custo. Porém, o paciente precisará assinar um termo de ciência que NÃO existem dados sobre a eficiência para Covid-19 e que está ciente que pode sofrer uma parada cardíaca. Você vira cobaia do Presidente e o isenta de responsabilidade.","tá na hora de deixar essa cloroquina quieta, e deixar o médico e o paciente resolverem essa questão;",1,0.0599270351231098,0.940073013305664,0
"A discussão sobre Cloroquina é falsa. Ela nunca foi proibida, nem será obrigatória. Os médicos mais atualizados, só prescrevem seguindo preceitos cientificos. Já os charlatões, usam de forma massiva pq nunca precisaram da ciência. A pressão do Bolsonaro não muda essa realidade.","Imprensa imunda e os esquerdopatas lutando contra o uso da Cloroquina, estes imbecis já leram a bula da dipirona, que vc compra em qualquer padaria da esquina?",0,0.0674273148179054,0.9325727224349976,1
"“Redução dos glóbulos brancos, disfunção do fígado, disfunção cardíaca e arritmias”","Meu avô começou tomar cloroquina com 80 anos p reumatismo, morreu com 98 quando dormia.  No meu avô ñ teve todos esses efeitos colaterais não",1,0.0754670798778534,0.924532949924469,0
"Os médicos concordam que a proposta de tratamento deve ser conversada entre o médico e o paciente, da maneira “mais democrática e saudável possível”",Se a cloroquina é a tal pq o paciente tem q assinar um termo de responsabilidade. Manda o general com cara de bebê sauro assinar.,1,0.080985814332962,0.9190141558647156,-1
"Vi no Jornal da Globo uma descrição dos efeitos colaterais da Cloroquina e da Hidroxocloroquina.  A partira daí,  parece que é melhor dar um tiro na própria cabeça do que usar esses medicamentos. Não sei como o pessoal que usou para combater a malária sobreviveu.","Ja leu as bulas da DIPIRONA, AS, e de outros comuns ? É  melhor ir para a selva e começar a se ""consultar"" com o pajé.  Estranho é que a 2 anos atrás  falava-se do uso em gravidas para a Zika, agora essa bandalheira. O problema da HCC é que CURA, INCLUSIVE A CORRUPÇÃO.",2,0.0828296318650245,0.9171703457832336,0
"Tomo cloroquina há 16 anos. A dosagem é super- controlada através de exames periódicos. O uso excessivo pode danificar rins, fígado, pâncreas além da questão cardíaca! Esse irresponsável que que a população se exploda!!!",Creio que seja controlada a dosagem ...e não fazer um bolo de cloroquina com recheio de azitromicina.,1,0.0986673757433891,0.9013326168060304,0
"Calma, bando de 0tári0.  O tratamento está acabando. E isso diz na própria matéria. PRIMEIRO parágrafo.","Otários? Se existe um tratamento preventivo que uma vez feito não se contrai mais COVID19 então é vacina! Aleluia! Eu sabia que o Trump tem cara, andar e fala de zé ruela, mas não é! Ele tinha a vacina e não falou pra ninguém! O nome dela é: cloroquina, cloroquina, cloroquina...",2,0.1204839572310447,0.879516065120697,-1
Acha mesmo q o brasileiro com pouco esclarecimento e vai ao posto de saúde sabe o q é cloroquina e seus efeitos colaterais?,"Tenho parente que tem esclerose Múltipla , toma Cloroquina a 8 anos 400 mg dia ! Remédio barato e eficaz ela nunca acusou efeito colateral !",1,0.165253609418869,0.8347464203834534,0
"""tem tbm as pessoas q foram medicadas e recuperadas!"" da mesma forma que A GRANDE MAIORIA DAS PESSOAS QUE RECEBEM ALTA NÃO SÃO MEDICADAS COM CLOROQUINA, e melhoram. ou seja, a cura pode não ter vindo da cloroquina","Mtas pessoas foram recuperadas com vários tratamentos, porém, o n°. dos q morrem usando esses outros tratamentos, são esses divulgados toda hora, cada um com tratamentos diferentes! Mas, com a cloroquina tem menos mortes comprovadas em estudo científico! E, em vidas q o seguiram!",1,0.1855974942445755,0.8144025206565857,0
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","não sou homofóbico, mas...",2,0.2401569783687591,0.7598430514335632,-1
"Brasil renovou o recorde de mortes por coronavírus: 1.179. 17.971 no total!  Bolsonaro: “Quem é de direita toma cloroquina. Quem é de esquerda toma Tubaína"".  Canalha traidor!!!!","Viva a liberdade de escolha, quem quiser tomar cloroquina toma quem não quiser a vida é dela..... Lembra Artur, liberdade, menos estado.... O que vc virou.....",1,0.2812880575656891,0.7187119126319885,1
"""Nós não faremos a distribuição e nem aplicação generalizada da cloroquina, porque a ciência não recomenda"", disse o governador de São Paulo, João Doria.","PSDB Manipulação de Informações,  vocês não engana mais os brasileiros.  O isolamento horizontal não tem comprovação científica.   Neste modelo em vários países aumentou a contaminação.  PSDB sempre foi incompetente, não fez estrutura de saúde, 8 anos de Alckmin.",2,0.3018123209476471,0.6981877088546753,1
"Do  no  : “sabe qual minha opiniao sobre a cloroquina? Nenhuma. Eu não estudei, não sou médico, não é questão de opinião”.","Não é questão de opinião e sim questão de liberdade. Quem for infectado e quiser tomar cloroquina tome, quem achar que não vale nada não tome. Só lembre que os médicos top do Brasil Dr Uip e Dr Kalil tomaram. Será que não vale nada?",1,0.3402378857135772,0.6597621440887451,0
"Mesmo que quiséssemos, sabe quais são os problemas para prescrever Cloroquina COM SEGURANÇA em todo o país? Segue esse fio e acompanhe a história de Seu Jair, um paciente hipotético do mundo real. (Fio Hipotético tá? Não jogamos nossos Diplomas no lixo ainda não)",Esse paciente hipotético é complicado,2,0.3412740528583526,0.658725917339325,0
"juro pra vcs que eu me esforço, mas não consigo acompanhar os pensamentos e as intenções do christopher. nessa materia que ele divulgou da cloroquina no brasil, o próprio título já explica que a OMS não recomenda esse medicamento. no fim das contas ele tá apoiando ou criticando?","Quem quiser usa e quem não quiser não usa, pra que tanta falação? Que saco. Especialistas criticam novo protocolo de hidroxicloroquina e cloroquina; veja a repercussão | Coronavírus | G1",0,0.3632509410381317,0.6367490887641907,0
Agora cada médico receita a cloroquina quando bem entender. Pau no cu do Doriana.,"Cloroquina ou estriquinina, ele escolhe o que quer tomar.",1,0.4377822875976562,0.5622177124023438,0
"Cloroquina, cloroquina...","QUEM NÃO QUISER, NÃO TOMA.",2,0.4619020223617553,0.5380979180335999,-1
"Pessoal diz que cloroquina não tem efeitos contra o COVID, mas não explica os doentes curados. Remédio fantástico, cura somente com a fé dos pacientes ou do médico!","Alguem me tira a dúvida, o ministério da saúde botou cloroquina no tratamento de covid leve, mesmo sem eficácia e com efeitos colaterais, isso quer dizer que sou obrigado a prescrever? Se não prescrever o paciente pode me processar?",0,0.4700417220592499,0.5299583077430725,0
"Meu pai me mandou um video da Nise Yamaguchi na CNN Brasil defendendo HCQ+azitromicina para tratamento de casos leves/iniciais de #COVID19 , e perguntando se eu tinha alguma opinião sobre isso. Bem, eu tenho. Segue o fio (sem slides bonitinhos ou gifs dessa vez, sorry)",Devotos da Cloroquina e aqueles que estão confusos com esse medicamento. Sigam o fio,2,0.5352146029472351,0.4647853672504425,0
pq a Unimed prescreve o uso da Cloroquina + azi para tratamento inicial do covid-19   e o SUS não?   pq o “rico” pode tomar e o pobre não?   curioso...,"Digitem ""termo de ciência e consentimento cloroquina"" no Google. Vai abrir um PDF do Ministério de Saúde, documento que os pacientes com Covid-19 deverão assinar, onde fala que o remédio não tem eficácia comprovada e que pode causar efeitos colaterais.",0,0.5902570486068726,0.4097429513931274,0
"Continuarão ocorrendo mortes. Cloroquina é um tratamento, não um milagre. Nem vacinas têm 100% de eficácia. Cloroquina ajudará a salvar muitas vidas, mas não todas. Uma pessoa pode combater uma doença (qualquer uma) tendo o tratamento mais adequado e, mesmo assim, ir a óbito.","Os anta tão desesperados, o patrão vai perder a cabeça, quando a cloroquina começar a dar resultados expressivos no combate ao virus. Vou tomar cloroquina, é meu Direito e esta sob minha responsabilidade.",1,0.5947505235671997,0.4052495062351227,0
Prefiro tubaína,Meu Deus... essa gente merece cloroquina mesmo,1,0.7734447121620178,0.2265552729368209,0
"Essa experiência de demonizar a cloroquina vai se  virar  contra os médicos e mídia...  Que  tal  se alguém  disser assim: ""Viram  como  um medicamento  usado  a décadas  é venenoso e só descobrimos agora?"" E se assim for para  as vacinas tb?""  Abre o olho dr....","Isto aqui é seríssimo.  Bolsonaro tentou alterar bula da cloroquina, diz Mandetta  via",0,0.8122201561927795,0.1877798438072204,0
"A cloroquina é ocasionalmente usada no tratamento de amebíase extraintestinal, artrite reumatoide e lúpus eritematoso. (wikipedia)",Alguém de vocês já tiveram que fazer algum exame com contraste e leram a declaração que somos obrigados a assinar? Por que a celeuma com a Cloroquina que até antes da pandemia era vendido sem qualquer receita médica?,0,0.8263469338417053,0.173653095960617,0
"A discussão sobre Cloroquina é falsa. Ela nunca foi proibida, nem será obrigatória. Os médicos mais atualizados, só prescrevem seguindo preceitos cientificos. Já os charlatões, usam de forma massiva pq nunca precisaram da ciência. A pressão do Bolsonaro não muda essa realidade.",quem foi que colocou o mini bolsominion com a cloroquina na mão no meu feed ??????,0,0.8351781368255615,0.1648217737674713,0
"Em SP o protocolo inclui todas as pajelanças: vermífugo, corticoide, anticoagulante, 2 antibióticos, cloroquina. Se o médico quiser ele pode recomendar vick vaporube, xarope de guaco e agrião, emplastro sabiá. O CFM pode se omitir ou ser contra,não existe obrigação ditada por ele","O motivo da minha resposta, foi um quanto ao  fato do médico ser acusado de charlatanismo ou ser cassado pelo uso de Cloroquina. Não cabe. Existe uma diretriz dada pelo CFM. Existe regulamentação. Não é ilegal. É isso.",1,0.8508217334747314,0.1491782665252685,0
"Por que será que há tão pouco tempo a cloroquina não tinha contraindicações, nem para mulheres grávidas, e hoje se faz tanto alarde???",Cloroquina... esse nome lembra JB... lembra a Índia vendendo para o Brasil... lembra um “protocolo” que foi “pro teu colo” General e que da leitura do TCLE fica claro que é para não usar mas agradar JB . #politicasemnó,0,0.8544078469276428,0.1455921679735183,0
"Brasileiro toma por conta própria, Rivotril, termogênico, analgésicos, Sibutramina, Deca, Durateston, Viagra, remédio para pressão, toma CITOTEC, pílulas do dia seguinte, etc. Mas acha um absurdo usar cloroquina no tratamento da COVID-19, pois o remédio tem efeitos colaterais.",Segundo pesquisas do médico indiano Dr. Jalim Rabei a cloroquina tem 150% de eficácia em pacientes cornos,0,0.8558275699615479,0.1441724151372909,1
Será que quando o gov.federal publicar o protocolo da cloroquina o Dória vai dizer que é pai do medicamento?   Será que o Dr. Uip vai negar de novo que usou o remédio para se curar mesmo que isso destine seus governados para as covas de Bruno Covas vazadas para o Washington Post?,Cloroquina não! Hidroxicloroquina! A Hidroxicloroquina minimizou os efeitos colaterais da Cloroquina.,1,0.8687397241592407,0.131260335445404,0
Se um médico prescrever cloroquina eu nunca mais volto nele,"Se eu for em estado grave e um médico me prescrever cloroquina o que me resta é confiar. Porque eu como advogada preciso que meu cliente confie em mim, nos meus anos de estudo, dedicação e experiência.",2,0.8738889694213867,0.1261109858751297,0
