tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict,Tipo
"#AbortoNao  caramba, eu entrando na TAG e vendo mó galera discutindo bonitinho, com argumentos e dados. Sempre finalizando com um "" não concordo, mas respeito sua opinião""  Isso é o mais bonito de se ver em uma discussão séria, e não apenas um ""vc é homem""( por mais que tenha)",Até 3 meses  #AbortoSim,0,0.437456339597702,0.5625436305999756,0.0,Incerta
"#AbortoNAO, STF usurpador de atribuições.","Caros esquerdolóides imb3cis, respondam a este tuíte abaixo. Isso se os neurônios mofados permitirem a compreensão, ou, caso contrário, usem a hipocrisia da sua laia de r3tardados mentais mesmo.   #AbortoSim",0,0.4970153868198395,0.5029845833778381,0.0,Incerta
Argumentos que usam para serem contra o aborto que “estão” errados — a thread  #AbortoNao #AbortoSIM,#AbortoNao aborto é coisa do diabo,0,0.5905720591545105,0.4094279110431671,1.0,Incerta
"،    ⌕  ─  vamos fazer um acordo, só opina sobre o que é certo ou não sobre esse caso são as pessoas que tem úteros, okay? Okay. #AbortoSim","Em tempos de tantas dificuldades vem a tona a discussão no STF do aborto em caso de zika vírus. É inegável a importância do tema, sobretudo para as mulheres. Mas tratar uma pauta abortista em meio a tantas mortes?! Temo estar chegando dias de banalização da vida. #AbortoNao",0,0.426560491323471,0.5734394788742065,1.0,Incerta
Aborte a sua ignorância e não pessoas !  #AbortoNao  #AbortoNunca,é contra aborto mas é a favor da pena? pfv né...  #abortonao #AbortoSim,0,0.4652799069881439,0.5347201228141785,1.0,Incerta
Sou contrário ao aborto...#AbortoNao,#AbortoSim meu corpo minha regras ..e ninguém é obrigado a fazer porra nenhuma,0,0.496053010225296,0.5039469599723816,1.0,Incerta
Eu tenho o melhor método para esse assunto. Siga os seguintes passos  1- fecha as pernas                E fim #AbortoNao,A real é que muito é Pro-Nascimento não Pro-Vida rss #AbortoSim,0,0.4059687256813049,0.5940312743186951,1.0,Incerta
"Essa gente é doente, vomita o dia inteiro que esse isolamento indecente é pra salvar VIDAS, mas apoiam a morte no útero. HIPÓCRITAS.  #AbortoNao",Parabéns aos abortistas de merda por ajudar subir a tag! #AbortoNao,0,0.5558744072914124,0.4441255629062652,0.0,Incerta
Não assassine o seu filho #AbortoNao,eu vou olhar os replys contrários a #AbortoNao e pelo menos 40% é fancam de kpop tentando lacrar,0,0.4272224307060241,0.5727775692939758,0.0,Incerta
"Sabe qual é a diferença entre   Assassinato &amp; Aborto?  Exatamente, nenhuma!   #AbortoNAO",Queria dizer que #abortosim,0,0.5362884402275085,0.463711529970169,1.0,Incerta
Mas de novo essa questão de aborto gente? Pq cada um não cuida da sua vida e deixa a MULHER decidir o que fazer com a vida e o corpo DELA!!?? #AbortoSim,A escolha é nossa! #AbortoSim,0,0.4193200170993805,0.5806799530982971,0.0,Incerta
Quem não é mulher e nem sabe o que é uma dor de um parto não pode opinar sobre aborto #AbortoSIM,#AbortoNao Caralho isso é assacinato,0,0.5971508622169495,0.4028491973876953,1.0,Incerta
#AbortoSIM  Meu corpo e eu decido o que eu faço com ele Vamos quebrar as amarras que a sociedade tenta nos colocar,"Há muita hipocrisia vinda desses pró vida. Ao meu ver é melhor um feto morto que uma criança passando fome, sendo abusada, agredida, enfim... #AbortoSim #AbortoNao",0,0.5745779871940613,0.4254220426082611,0.0,Incerta
"diz que é contra o aborto, pq é a favor da vida, mas é o primeiro a falar: bandido bom é bandido morto, rsrsrs #AbortoSim",Grupo sobre o auxílio emergencial no whatsapp. Ainda tem vagas    #AbortoNao  #samsungbbb  #LiveDoRevela  #TheFourBrasil  #festabbb  #MOTS7_Re_Comeback   REMEMBER PRIOR  #AuxilioEmergencial,0,0.4865334033966064,0.5134666562080383,0.0,Incerta
"Para quem são a favor do aborto, É só fecha a pernas porra!  Ou usa métodos contraceptivos. #AbortoNao",oq ta rolando q subiram essa tag #AbortoNao,0,0.4104960858821869,0.589503824710846,0.0,Incerta
#AbortoNao ou #AbortoSim simples e so da o cu nao engravida,"Esses esquerdopatas, Quando a mãe deles estavam grávidas dos mesmos, infelizmente não era aprovado o direito de aborto. Fazer o que, né? #AbortoNAO",0,0.4770346581935882,0.5229653120040894,0.0,Incerta
"Pra quem acha que o aborto é legal aborta e matar um feto, faça assim, pega um vídeo da operação e veja como que é, aí vc vai notar o quão errado é isso, vc acha certo um médico ESTOURAR a cabeça de um feto e remover pedaço por pedaço usando uma pinça..  #AbortoNao","Essa mania do brasileiro de ir  acostumando-se com tudo que lhe é imposto, está trazendo cada vez mais o socialismo para o país. A última que estão tentando empurrar goela abaixo é aprovação do aborto.  #AbortoNao",0,0.4658258855342865,0.5341741442680359,0.0,Incerta
#AbortoNAO  O mais curioso de tudo é que 100% das pessoas que defendem o aborto já tiveram seu direito de nascer. Aborto nada mais é do que um assassinato cruel e covarde de um inocente indefeso!,Tem que ser muito desumano para defender #AbortoSIM  Apoie a vida e diga #AbortoNao,2,0.4296371638774872,0.5703628659248352,0.0,Incerta
Seja mente aberta mas não ao ponto do seu cérebro caí no chão. #abortoNao,"Sobre essa questão do #AbortoNao ou #AbortoSIM, vamos começar com uma questão básica? Pra validação do argumento, vocês sabem a diferença entre ser a favor da legalização do aborto e a favor do aborto?",0,0.4015591144561767,0.5984408855438232,1.0,Incerta
"#AbortoSim. Aborto é o caralho, pensa em se prevenir antes de transar, caralho! Aborto opcional é só em caso de estupro ou anencefalia. Se você concorda em assassinar um feto, que é um ser vivo, que pode agonizar em dor, e que quando sofre o aborto é envenenado. Você é um mostro",gosto pacas dessa # estar nos trendings do Brasil.. tá mais do que certo #AbortoSim,0,0.579562246799469,0.4204377830028534,1.0,Incerta
Aborto não é método contraceptivo!antes de escolher seu macho escroto se proteja #AbortoNAO,"É isso ai, #AbortoNao",2,0.5989904403686523,0.4010095298290252,0.0,Incerta
"Você quer defender #AbortoNao? Saiba que SE for aprovado, aborto NUNCA seria obrigatório. Faz a mulher que quer + reduziria índice de morte por aborto clandestino + reduz abandono parental + reduz número absurdo de crianças esperando por adoção.  #AbortoSIM",#AbortoNao aborto nunca!!,0,0.5192158818244934,0.4807841181755066,1.0,Incerta
"#AbortoNunca foi da sua conta homem escroto, se eu quiser aborta eu vou #AbortoSim","oi gente não é sobre ser a favor do aborto é sobre sua legalização mulheres já abortam, mas poderiam fazer isso sem arriscar suas vidas #AbortoSim",0,0.5040040016174316,0.4959960579872131,0.0,Incerta
Quem usa a #AbortoSim deveria dar o exemplo e SE abortar.   #AbortoNão,"Os do contra falando que somente homem que está usando #AbortoNao !  Sou mulher , profissional da Saúde na área de obstetrícia, não pronunciei meu juramento a toa não , e optei SIM pela vida!  #AbortoNao #AbortoNao #AbortoNao",1,0.4254695475101471,0.5745304226875305,0.0,Incerta
"Pra quem tá vivo e é a favor do aborto, deveria ter sido abortado. #AbortoNao","Volto aqui para pedir para os machos q estão opinando contra a legalização, para que leiam sobre o assunto (leiam textos de mulheres, n de outros homens) E percebam que é uma questão de saúde pública, n de caráter Ngm acha legal abortar, mas a legalização é necessária #AbortoNao",0,0.4457648396492004,0.5542351603507996,1.0,Incerta
"ABSURDO!!!  Enquanto estamos lutando pela vida dos brasileiros que estão sofrendo fisicamente, psicologicamente e economicamente com a pandemia. O STF mostra suas garras contra a vida de quem ainda nem nasceu.  A vida humana não pode estar na mão de 11 ministros.  #AbortoNao","#AbortoNao  É mais facil não dar pra vagabundo do que abortar né, ja viu alguma mulher abortar filho  de artistas ou homens ricos ??",0,0.5879948735237122,0.4120050966739654,0.0,Incerta
povo discurtindo entre #AbortoSim  #AbortoNão  e eu só queria o #PINTOAWARDS,"#AbortoSim ai amigas, homens fazendo escolhas em assunto que não cabem a eles, usando religião como argumento, parece que as pessoas se prendem tanto no mundo delas e querem ter prisioneiros, titi, sinceramente cansada, ate quando isso?????",0,0.5441921353340149,0.4558078646659851,0.0,Incerta
Como as pessoas não conseguem ver que o aborto é um assassinato cruel ??? #AbortoNao,"Os que vivem gritando por direitos humanos, são os mesmos que apoiam o aborto (assassinato de bebês). O que tem na cabeça dessa gente?    #AbortoNao",0,0.4566005766391754,0.543399453163147,0.0,Incerta
Sobre #quarentena  #AbortoNao  é necessário dizer: #STFVergonhaNacional,"#AbortoSim e cuida da tua vida, das tuas escolhas, do teu corpo. Segurança, saúde e liberade de escolha pra mulher, vai impactar 0% da TUA vida. Feto não sente dor até 24° semana de gestação e não te interessa se ela quer dar, qual método e quem ela é. Seu intrometido hipócrita.",0,0.428377628326416,0.5716223120689392,1.0,Incerta
"Porque em uma democracia a maioria decide, e não 11 urubus.  #AbortoNao","Ser a favor do aborto vai contra tudo o que eu acredito, então EU jamais faria, mas vivendo em um país LAICO, não posso e nem devo interferir e opinar nas escolhas de outras pessoas, então se VOCE é contra apenas não faça e cale a boca. #AbortoNao #AbortoSIM",0,0.4909063279628753,0.509093701839447,1.0,Incerta
"Para o #AbortoNao acontecer deveriam estar sendo feitas mais  campanhas para o uso de preservativos, os pais deveriam ensinar aos filhos sobre educação sexual e os homens e as mulheres deveriam ter consciência das consequências de praticar atos sexuais sem camisinha +","leia concordo com o seu posicionamento, porém, nao",2,0.5504676699638367,0.4495322406291961,-1.0,Incerta
se homem ficasse gravido o aborto ia se um mandamento da biblia   #AbortoSim,se a punição do aborto fosse também para o pai... aí sim estariam eles na rua dizendo #AbortoSim,2,0.4449737668037414,0.5550261735916138,0.0,Incerta
"se a mulher que decide, seja sensata e  decida não engravidar, prevenção é que não falta, de resto, um bando de militantes doente.#AbortoNao",#AbortoNao  quem assim o defende é tão assassino quanto.,0,0.5704327821731567,0.4295672178268432,0.0,Incerta
#AbortoNao não entendo a razão de culparem a mulher por escolherem abortar  pensava que o problema em si era o homem estuprador e muitos métodos contraceptivos que não são eficazes,"OMS desde que seja saúde de quem interessa .Aí vem os sábios opinadores do twitter dizer que os brancos ricos é que são contra o aborto .E os chefões da OMS,o partido comunista chinês , as fundações como Bill e Melinda Gates e tantos outros tiranos globais são pobres ??#AbortoNao",0,0.5458749532699585,0.4541250467300415,0.0,Incerta
"Temos hoje milhares de mulheres morrendo ou adquirindo doenças graves, por causa de abortos feitos em locais não apropriados, com materiais mal higienizado e por pessoas que não são médicas. O aborto já devia ser legal a muito tempo. #AbortoSim","Sem contar que a proibição do aborto afeta diretamente a população de baixa renda, pois são justamente essas pessoas que não tem dinheiro para abortar em uma clinica de aborto que cobra absurdos para realizar o procedimento clandestinamente. #AbortoSim",1,0.4940484166145324,0.5059516429901123,0.0,Incerta
"#AbortoNAO É uma outra vida. Não quer ter filhos, previna-se, não saia assassinando.","Esses esquerdopatas, Quando a mãe deles estavam grávidas dos mesmos, infelizmente não era aprovado o direito de aborto. Fazer o que, né? #AbortoNAO",0,0.4101862609386444,0.5898137092590332,0.0,Incerta
#AbortoNao se mata que não vai ter filho!,O Amor venceu a imoralidade do aborto! #AbortoNao,0,0.5906965732574463,0.4093033969402313,0.0,Incerta
Isso    #AbortoNao,"Se a mulher tiver o direito de abortar o feto, o homem tem o direito de pelo menos abandonar o feto? #AbortoSim #AbortoNao",0,0.4095438420772552,0.5904561281204224,0.0,Incerta
Não temos o direito de tirar a vida de um inocente! #AbortoNao,"#AbortoSim acho que as mulheres que decidem, não os homens. sem falar que a maioria delas são estupradas, isso fode com o piscicológico delas. ter um filho é ter responsabilidade gente, muitos pais aí colocam um filho na terra e não dão o carinho e o amor que eles merecem . --",0,0.4654446244239807,0.5345553159713745,1.0,Incerta
"""vocês que usam a tag #AbortoNao são exatamente isso:"" mulheres abortistas são exatamente isso:",KJKKKKKKKKKKJKKKKKKK esse vídeo é TUDO vsfKJKKKKKKKKKKKKKKK,2,0.5697246789932251,0.4302752912044525,0.0,Incerta
"Já questionei várias vezes, mas até agora nada.  Sabem de algum caso em que a mulher abortou o filho de um jogador de futebol?  #AbortoNao!","Cara, os doentes do #AbortoSim usam os mesmos argumentos que poderiam ser usados em relação ao suicídio: ""meu corpo minhas regras"" ""assassinar o bebê pra não crescer em um mundo injusto"" e balblablas..  Aos abortistas sugiro exatamente isso, afinal, morto não aborta  #AbortoNao",1,0.4367924034595489,0.5632075667381287,0.0,Incerta
"se tem uma coisa que mexe comigo é essa discussão sobre legalização de aborto. quem não é mãe, não sabe a responsabilidade que é criar um filho, tudo que acontece com o mesmo é culpa nossa, é uma pressão enorme e nem se fala do cansaço! por isso eu sou a favor do #AbortoSim",Só lembrando q sem útero n opina #AbortoSim,0,0.4241747856140136,0.5758252143859863,0.0,Incerta
"Que me desculpem, mas mulheres que sobem a tag #AbortoSIM são aquelas q querem ""distribuir"" pra todo mundo sem a preocupação de ter que criar um filho, ou as que querem ter certeza de que quando cansarem de brincar de casinha com o macho, não vão precisar levar nada.  #AbortoNao","Dizem que homens não tem lugar de fala, mas como pessoa que quase foi abortada no nascimento é impossível apoiar isso #AbortoNao",0,0.5913763046264648,0.4086236357688904,0.0,Incerta
"A direita gosta de copiar os EUA. Pois então, lá desde 1973 o aborto é LEGAL. Questão de liberdade e privacidade, nada de ""comunismo"" mas liberalismo puro. Ser a favor da legalização não quer dizer que você faria, mas sim defender que quem quer faça de modo SEGURO #AbortoSim","#AbortoSim LEGALIZAÇÃO JÁ!!! e pau no cu de quem não concordar, o Estado NÃO tem que colocar a porra de uma lei no MEU ÚTERO. Quem discordar pode vir aqui onde eu moro criar e sustentar as crianças q n tem dinheiro pra comprar um sukita",0,0.1402937918901443,0.8597061634063721,0.0,Alta
#AbortoSim e se vier contestar falando de religião eu vou mandar tomar no cu,Uma sociedade desumana atrai a ira do Criador. #AbortoNao,0,0.1017832979559898,0.8982166647911072,1.0,Alta
#abortonao = 30k de tweets #abortosim = 2k e meio. Recomendo pararem de brigar sobre isso. O duelo já foi decidido.,"#AbortoSim assassinas e assassinos que não foram abortados querendo prostituir a vontade e se engravidar só assassinar...geração hipócrita e debil mental,por isso a maioria de vcs são gente feia e sem estudo,incapazes,derrotados e infelizes...",0,0.1485163122415542,0.8514837026596069,0.0,Alta
"#AbortoSim A legalização do aborto garante que você possa ter opção de escolha. Se você não faria, não faça! Mas não tire a opção da coleguinha  next",A vida pertence a Deus. Ele a gera no ventre e só ele pode interrompe-la. #AbortoNao,0,0.1463713645935058,0.8536286354064941,1.0,Alta
"Independente se vc é do time #abortosim ou #abortonão, ou ainda fica pedindo #monarquiaja, se quiser saber de dicas para #emagrecer, é só me acompanhar, rsrsrs!  #humor #saúde",#AbortoNao bando de abutres do Stf,0,0.131584882736206,0.868415117263794,0.0,Alta
"#AbortoSim se for pra colocar filho no mundo e deixar solto na rua sem ter um pingo de responsabilidade, que faça o aborto","Então, aborto seguro é quando a aborteira vai junto #AbortoNao",0,0.1620686948299408,0.8379313945770264,1.0,Alta
"Aborto sim #AbortoNao não é o caralho, n é seu útero fique quieto","Ser pró vida é naturalmente louvável, independente da religião, mas é  nojento ver cristãos defendendo o aborto.  #AbortoNAO",0,0.1042579412460327,0.8957420587539673,1.0,Alta
"é engraçado que quando você pergunta para os homens se eles são a favor do aborto, mesmo em caso de estupro, eles dizem que não... mas os dados mostram que: a maioria dos homens abandonam namorada/esposa depois de um estupro, quem dirá criar a criança #AbortoSim","O corpo é da mulher e ela faz o que  Quiser com ele , não são homens que decidem isso beleza ?? #AbortoSim",0,0.1287592500448227,0.8712407350540161,0.0,Alta
"#AbortoNao eae homem q é contra o aborto, ja pagou a pensão do filho q tu nem faz questão de visitar ou vai esperar a justiça vir cobrar?",Quem usa a #AbortoSim deveria dar o exemplo e SE abortar.   #AbortoNão,0,0.1444741934537887,0.8555257320404053,1.0,Alta
"Boa noite com #AbortoSim e quem não quiser fazer não faça, queremos apenas o direito de escolha.",Matar uma criança pode? alguém sair a rua é crime? #AbortoNão #AbortoNao,0,0.1040583178400993,0.8959416747093201,1.0,Alta
"Seguinte, sou contra o aborto e é por isso que não vou abortar! Vocês q engravidam e não querem filhos q se resolvam! #AbortoNao","Surreal gente, to vendo muitos perfis defendendo o aborto até com 26 ou 27 semanas( 7 meses galera) SURREAL, sem palavras. Esse bebê prematuro abaixo nasceu com 26 semanas, vcs tem noção, isso é um assassinato cara, me parte o coração    #AbortoNao",0,0.1560466736555099,0.8439533114433289,0.0,Alta
"As feministas que são a favor do aborto achariam legal um casal querer abortar pelo simples motivo do feto não ser um menino, sonho deles, mas veio uma menina. Seria certo assassinar essa menina por era ser menina, em nome da liberdade absoluta da mulher...?","Você acha que com quantas semanas vai rolar o aborto? Com 20? Kkkkkkkk, amiguinho, o aborto ocorreria antes das 12 semanas, após isso não ocorre aborto. O sexo ainda não é possível de identificar nesse período. Minha esposa está grávida, qual gestação você acompanhou? kkkkkk.",1,0.1057038679718971,0.8942961692810059,1.0,Alta
#AbortoNao   𝔼𝕄  ℝ𝔼𝕊ℙ𝔼𝕀𝕋𝕆  𝔸  𝕍𝕀𝔻𝔸,#AbortoNao aborto não  é  método  anti concepcional,0,0.1837715208530426,0.8162283897399902,0.0,Alta
Fazendo um approach mais religioso da parada do #AbortoSim e #AbortoNao :  - Quando você aborta você devolve um espirito. Uma alma. Você abortando por querer ou não. Isso pode gerar diversos tipos de espíritos perturbados que vão acompanhar o seu futuro filho e atrapalhando+,"#AbortoSim e se vc não tem útero, cala a boca",0,0.1878849565982818,0.8121150135993958,1.0,Alta
"Tenho certeza que a galera do #AbortoNao nunca, NUNCA, parou pra ler do que se trata. Aborto é questão de saúde da mulher. Tem que ser discutido, mas como sempre querem cagar regra.","#AbortoNao! Isso jamais! Se não quer, não faz!",0,0.1501364111900329,0.8498635292053223,1.0,Alta
"Já que homem não pode opinar, vai ai a opinião de uma mulher: #AbortoNao",O mais ridículo desse tweet é os pró-aborto dizendo para o moço pró-vida que se ele é homem não pode opinar. Aí chega uma mulher pró-vida e eles criticam sua opinião  A opinião DELA! Preciso falar mais alguma coisa para tornar-se perceptível a falta de credibilidade dessa gente?,2,0.1198173910379409,0.8801825642585754,0.0,Alta
"Simples, se a mulher não quer, ela não é obrigada a ter #AbortoSim","E por acaso o feto é gerado no saco escrotal do homem? Ah não, pera, é no útero feminino né... Macho não opina sobre aborto... Vai cuidar do filho q vc nunca deu atenção, da pensão q vc não paga, da sua masculinidade frágil e tóxica e deixa o corpo da mulher em paz. #AbortoSim",0,0.1297180503606796,0.870281994342804,0.0,Alta
"Agressão é objetivamente errado. Todos indivíduos possuem direito a vida, propriedade e liberdade, inclusive o bebê.   Nenhum indivíduo é dono de corpo alheio, principalmente a mãe. Não é ético e muito menos legítimo matar bebês.   Mude a minha opinião.  #AbortoNao #AbortoSIM","Maluco vem falar de ética, sendo que parte do discurso do mesmo é repleto de sexismo e autoritarismo e o princípio básico do liberalismo que é o indivíduo ter plena liberdade para decidir sobre as suas escolhas sem sofrer coerção social do estado ou de outro indivíduo.",2,0.1054681912064552,0.894531786441803,1.0,Alta
"Sou contra o aborto, mas a favor da mulher poder escolher!!!!!#AbortoSim",Twitter coloca o sim do mal 6000 frente mas #AbortoNao 41000. Indecoroso,0,0.1844669133424759,0.8155331015586853,-1.0,Alta
Olha só! Realmente eu n tinha observado da perspectiva do seu umbigo,"Não iria responder mais... Meu umbigo? Quem mesmo está olhando só pra si? mulher vai, transa com um canalha sem qualquer proteção, engravida, não quer a cria, e resolve abortar, pelo bem da criança ou pq olha para o próprio umbigo? O que quero é salvar vidas. #AbortoNAO",2,0.1171237155795097,0.8828762173652649,1.0,Alta
"#AbortoSim foda ver homens se posicionando contra o aborto com o argumento de q isso é coisa de vadia irresponsável, sendo que a grande maioria abandona a mulher quando ela diz estar grávida. não adianta se dizer ""pro-vida"" sendo que vc nem assumiu seu filho. fica com deus irmão.","FALA QUE O BOLSONARO É ASSASSINO, MAS É A FAVOR DO ABORTO.  VOCÊ QUE É A FAVOR PODERIA NEM ESTAR LENDO ISSO, SABIA? COMO SEMPRE A ESQUERDA SENDO A ESCÓRIA DA SOCIEDADE #AbortoSim",0,0.1233494654297828,0.8766505718231201,1.0,Alta
"#AbortoNao qual o intuito dessa hashtag? mano tem um cara com uma mansão linda do caralho, dai vc diz para ele destruir essa mansão, quebrar tudo que há nela. a não ser que a porra do imóvel não seja seu, nem te diga respeito, VOCÊ NãO PODE DIZER O QUE FAZER OU NÃO!","Aborto não,  #AbortoNAO",0,0.9610393643379213,0.0389606431126594,1.0,Random
"Ao invés de erradicar a pobreza, vamos matar crianças, bem mais fácil! #AbortoNao","#AbortoSim. Vendo as opiniões contrárias, parece que todos os métodos são 100% eficazes e que estupro é algo que não acontece. Acho o aborto mais digno do que uma mãe ter um filho sem vontade e sem amor.",0,0.382269412279129,0.6177306175231934,1.0,Random
CHEGA! #AbortoNAO,#AbortoNao   𝔼𝕄  ℝ𝔼𝕊ℙ𝔼𝕀𝕋𝕆  𝔸  𝕍𝕀𝔻𝔸,0,0.9899134635925292,0.010086472146213,0.0,Random
#abortoSIM e se vc discorda pode me dar unfollow boa noite,As crianças são o maior bem de qualquer nação #AbortoNao,0,0.0776048228144645,0.9223952293395996,1.0,Random
