tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict,Tipo
"- Apesar de Cientistas Esquerdistas Comunistas das Federais confirmarem que a Cloroquina não é eficiente contra o Corona vírus! - Devo lembrar a todos, que as primeiras naves a pousarem na lua, usavam cloroquina como combustível! - Explica essa cientistas! #FatosCloroquina","Senador  em um ato terrorista e ditatorial ─ afinal ele é fiel as suas raízes marxistas ─ quer tirar do indivíduo a possibilidade de escolher se quer ser tratado ou não com a cloroquina, nos primeiros sintomas de vírus chinês. #PerigosaSociedadeDemoníacaBrasileira",0,0.4938576817512512,0.5061423182487488,0.0,Incerta
"Doria disse que SP não vai seguir o protocolo do ministério da saúde para receitar cloroquina no inicio dos sintomas de covid-19. O sujeito agora além de ditador, também é um genocida.","O negócio dele é filmar suas coletivas para usar na campanha em 2022. Aumentar o número de mortos , para usar na campanha e o que ele fez. Lógico de certo.  Porquê arrebentar a economia ele vai omitir com certeza.",2,0.4169821739196777,0.5830178260803223,0.0,Incerta
Qual é a cloroquina da sua profissão?,As pessoas perguntando vc sabe chorar? Quando vou te ver na Globo?,2,0.5391285419464111,0.4608714282512665,0.0,Incerta
Qual é a cloroquina da sua profissão?,"A propria, junto com “tem dipirona generico sem dipirona?”",2,0.5887820720672607,0.411217987537384,0.0,Incerta
"O MS muda o protocolo e recomenda o uso da cloroquina e hidroxicloroquina. No documento, o próprio governo afirma que não há garantia de cura e que o medicamento pode até levar à morte. O pior de tudo é o paciente ter que assinar um termo de consentimento.",Esse governo é realmente de matar!,2,0.4573561549186706,0.5426439046859741,0.0,Incerta
"“Ainda bem que a natureza criou esse monstro chamado coronavírus para que as pessoas percebam que apenas o Estado é capaz de dar a solução”. Lula, hoje. “Quem é de direita toma cloroquina, quem é de esquerda, tubaína”. Bolsonaro, hoje também.  Meu ouvido não é penico, senhores.","Doe os ouvidos, quando essas duas aberrações abrem a boca!",2,0.4871611595153808,0.5128389000892639,0.0,Incerta
"Apresentei um projeto de decreto legislativo p/ sustar o novo protocolo do  que recomenda uso precoce da cloroquina em pacientes com #Covid19, enqto não houver estudos científicos que comprovem sua eficácia. O presidente não deveria fazer uso político de algo tão sério.",Esse é o fracassado candidato a Presidência... Ele quer proibir você de optar por tomar a Cloroquina....  Lembre que esse ser... é do  mais um partido a ser boicotado nas próximas eleições...  #BolsonaroTemRazao  PSDB de  Não se esqueçam...,2,0.5993103384971619,0.4006896615028381,1.0,Incerta
"Enquanto grandes líderes fazem grandes discursos em defesa da saúde da população, com palavras buscadas na ciência, aqui o Bozo, para defender, a #Cloroquina usa uma frase de para-choque de caminhão, algo do tipo ""pior do que perder é nunca ter..."" #ImpeachmentdoBolsonaroURGENTE",Caralho eu acordei MT engraçado hj Qm for de direita toma cloroquina e quem for de esquerda toma tubaina,0,0.534662127494812,0.4653379321098327,0.0,Incerta
"Entidades médicas já se posicionaram contra a medida e a OMS, quando questionada sobre a decisão do governo brasileiro, reafirmou que além de não ter eficácia comprovada, a cloroquina pode causar efeitos colaterais graves.","Eu já havia me arrependido de ter votado em você a 8 anos atrás, com esta sua atitude, impiedosamente comunista, realmente você nunca mais terá meu voto! Você pensa que é quem? Caso vc contraia o vírus, correrá para o Albert Einstein, para tomar HCQ, não é? E o pobre? HIPÓCRITA.",2,0.5746269822120667,0.4253730177879333,1.0,Incerta
"Serra propõe projeto de decreto que suspende novo protocolo da cloroquina    QUANDO MENOS SE ESPERA, SERRA APARECE... E OS PROCESSOS CONTRA ELE, COM A GRAÇA DA JUSTIÇA,CONTINUAM ENGAVETADOS!","Falta aparecer a Marina,calma,ela vai se superar,e além de pedir pra cancelar o protocolo,ela vai pedir a prisão do bolsonaro,e dos médicos ,que derem a cloroquina.kkk",1,0.5258346796035767,0.4741653501987457,0.0,Incerta
Qual é a cloroquina da sua profissão?,Jornalismo não precisa de diploma / professor é tudo vagabundo,2,0.5601368546485901,0.4398632347583771,0.0,Incerta
"Se a cloroquina der certo, foi graças ao Bolsonaro, se der errado, foi vc que assinou o termo de consentimento.","Não tem nenhum risco, gente!  Dá errado.",2,0.515621542930603,0.484378457069397,0.0,Incerta
"Vi no Jornal da Globo uma descrição dos efeitos colaterais da Cloroquina e da Hidroxocloroquina.  A partira daí,  parece que é melhor dar um tiro na própria cabeça do que usar esses medicamentos. Não sei como o pessoal que usou para combater a malária sobreviveu.",Essa é a mídia que mata sem remorso !!,2,0.509428858757019,0.4905710816383362,0.0,Incerta
"Bolsonaro: ""Direita toma cloroquina e esquerda toma Tubaína""  Lula: ""Ainda bem que a natureza criou o monstro chamado coronavírus""  As frases e a realidade do País comprovam que devemos escolher lideranças éticas, equilibradas e competentes. Chega da busca de salvadores da pátria",Se você não quiser tomar cloroquina nem tubaina vc toma o que então seu insentão ?,1,0.5759461522102356,0.4240538477897644,1.0,Incerta
"Se vc encontrar alguém que diz que a cloroquina ou hidroxicloroquina não vai curar quem estiver com o virus, mostre isto  #BrasilComBolsonaro",Médico se cura com a tal cloroquina. Mas ela não presta pro povo. Alguma coisa tem de estar por baixo disso daí!,2,0.4830672442913055,0.5169327855110168,0.0,Incerta
Deflação é bom.,"Sobre deflacão, é compreensível. Sobre a cloroquina, não tem estudo demonstrando a eficácia direta da mesma sobre o vírus em seu estágio inicial? (Mesmo um estudo da USP, se não me engano)",1,0.4998906552791595,0.5001092553138733,0.0,Incerta
"""Seja bobo mas não seja besta"" (ditado mineiro). Por amor ao seu coração e pela clareza de sua visão nunca, jamais faça uso do medicamento Cloroquina. Médicos e cientistas afirmam sobre sua ineficácia qto à Covid 19.",Militalizaram o fake tbm?Militar nomeado no SUS publicou fake news sobre cloroquina e ofendeu OMS  via,0,0.5458602905273438,0.4541397094726562,0.0,Incerta
