tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict,Tipo
"A absurda censura de contas nas redes sociais com base na vontade de um ministro do STF é só uma amostra do que virá se o ""PL das Fake News"" for aprovado. A censura completa a qualquer um que discordar de qualquer político ou semideus do STF é logo ali.","E tem gente que ainda acha que o ""Inquérito das Fake News"" é realmente pra apurar Fake News Nada mais é que uma censura por parte de políticos e ministros E não somente de um lado, se isso for aprovado, quem é de esquerda, direita qualquer ideologia não poderá falar mal deles.",2,0.5973241925239563,0.4026758074760437,0,Incerta
Menos Estado? Pros outros!..essa bela matéria do   mostra que o dono da Havan tomou dezenas de empréstimos do BNDES para expandir seus negócios com aquela fachada de mau gosto. E conta mais sobre um dos mais barulhentos apoiadores de Bolsonaro.,"Muitas vezes o discurso ""Estado mínimo"" significa menos investimento Público em educação, saúde e saneamento, porém mais investimento Público no setor privado e no aparato coercitivo do Estado (segurança pública e militares).",2,0.4809939265251159,0.5190060138702393,0,Incerta
Censura nunca mais.,"O ódio pelo Bolsonaro, não pode ser maior que o amor pela nossa liberdade! Hoje são eles, amanhã será você, eu, qualquer um! Censura Jamais!",1,0.4803921282291412,0.5196078419685364,0,Incerta
"Hoje tivemos várias contas somente da direita como sempre CENSURADAS!Pq vcs da  não tão fazendo o #GrandeDebate com esse tema?  Tão falando de aposentadoria de Militar?Tão dormindo?Ou tão passando pano p/ DITADURA, CENSURA nas redes, nas ruas e nas casas? #ImprensaLixo",Vcs estão instaurando uma ditadura no país! Censurar é crime! Vcs são uma vergonha!!!!  #STFVergonhaNacional  Vcs não são dignos do Brasil!,0,0.4731090664863586,0.5268909335136414,0,Incerta
Hoje é o dia da censura no Twitter?,"Como sempre o senhor Alexandre de Moraes continua com a sua ditadura, está tirando a liberdade de expressão",1,0.4211830794811249,0.5788169503211975,0,Incerta
"Estão cometendo crimes? Investigue, denuncie, processe. Censurar, eu não concordo.",Vale lembrar que muitos estão com medidas cautelares e tornozeleira eletrônica e desrepeitando elas.   Tirar um bandido de circulação prendendo ele para nao cometer mais crimes e Censura?,2,0.5490341782569885,0.4509658217430115,1,Incerta
Vivemos em uma ditadura da toga #VozParaBernardoKuster,Nossa Brasil virou uma Venezuela mordena e com ar de democracia.,2,0.5218520760536194,0.4781478941440582,0,Incerta
"A corrupção, no brasil, está ligada aos políticos e as grandes empresas. Não entendo como isso ganha eleição e engana, até, gente que sabe do que se trata. Não tem tanto mau caráter quanto pensamos. Temos que entender essa dinâmica.",Deve ser a dinâmica do quanto pior pra nós melhor pra eles #GovernoDeFraudes,2,0.4399896562099457,0.5600103735923767,0,Incerta
O dia em que a Corte guardiã da Constituição e dos direitos do povo censurou e suprimiu o direito à liberdade de expressão.,"24 de julho de 2020 vai entrar para a história. O dia em que a censura voltou ao Brasil. Porém, desta vez as vítimas são os conservadores e apoiadores do presidente não os comunistas e bandidos que roubaram a nação (esses nunca perderam o direito de defender suas ideias).",2,0.5536766648292542,0.4463233053684234,0,Incerta
Opa peraí #VozParaBernardoKuster,"Gente, mentira que o Gado tá reclamando da ""censura"" do Twitter? Nera eles que queriam AI-5?   mar como eu amo as voltas que a terraplana dá, ein! KKK  #CiroComGugaNoblat",0,0.5963072180747986,0.403692752122879,1,Incerta
"Meu pai será reeleito em 1° turno! Quem for votar nele, retweet  #Bolsonaro2022","Se vcs não fizerem nada contra a censura da toga, acho que infelizmente nosso PR não vai não.Sou Brasileiro não desisto nunca, acho que o Alexandre de Moraes tá jantando vcs.",2,0.4828630685806274,0.5171369314193726,1,Incerta
O que vcs acham do STF ?,"STF é composto de criminosos, sujos e esquerdistas oportunistas, que para se manter com poder, roubando e privilegiando os ""amigos"" coloca em risco o avanço do país e censura seu povo.",1,0.5849001407623291,0.4150998592376709,0,Incerta
"#BolsonaroNuncaMais; #ForaBolsonaro ; #GovernoDeFraudes, Não pode ser!!!!!!!!!!!!!!!!!!",Pq esse povo que pedia AI-5 tá reclamando dessa tal censura?,0,0.5363258123397827,0.4636741578578949,0,Incerta
"Muitos confundem apoio com devoção!  A medida q ele tá ""abandonado"" as pautas conservadoras e os seguidores mais aguerridos, as notícias da grande mídia começam a ficar mais favoráveis e as pesquisas mostram aumento da sua popularidade, mas isso é traição, novos Nandos Moura...","Acho debativel. Mas sobre a grande mídia, eu n sei do q você tá falando n. Até onde eu vejo, tá igual, se não pior.",1,0.424461156129837,0.5755388140678406,1,Incerta
"Eu tinha certeza que a ""pesquisa"" era fake!","Isso será noticiado como foi com a fake news? Não? Pois então, quero mais que a grande mídia se exploda... Se ela não fizer autocrítica, rever procedimentos de apuração e ampliar o debate sobre os fatos nada mudará. E um novo",2,0.5545094609260559,0.4454905390739441,0,Incerta
ONDE isso vai parar?,cvs com a minha bixete sobre censura de bl  onde foi que eu cheguei senhor???,0,0.5050690770149231,0.4949309825897217,0,Incerta
"Não há como aceitar a censura. Não há como aceitar que aplaudam a censura. Liberdade de expressão a todos, aqueles que pensam como eu e os que pensam de forma diferente.",Abaixo a ditadura.,2,0.5961124897003174,0.403887540102005,0,Incerta
Estou perdendo o olfato  Grande dia,enviei meu trabalho ontem e acabei de receber um e-mail dizendo que o trabalho não foi entregue  grande dia,0,0.5774881839752197,0.422511875629425,0,Incerta
"há certos casos que não podemos tratar como censura e sim senso moral, o que mais tem hoje em dia são acusações sem provas que acabam com a carreira de alguém","independente disso, nunca vou apoiar Censura. Quem acusa precisa provar o que está acusando, sem que haja Censura por ambas as partes.",1,0.420240581035614,0.579759418964386,1,Incerta
Moraes manda e desmanda no Twitter! Suspensos Luciano Hang e Roberto Jefferson!,"Contas bloqueadas no twitter , alô censura. Vc qur ta comemorando cuidado, o proximo pode ser vc ou eu.",0,0.4056524634361267,0.5943475365638733,0,Incerta
"Vocês acham que acabou? Acham que a derrubada de contas de apoiadores de  hoje foi o ápice da CENSURA? Estão enganados, aguardem a aprovação da LEI DA CENSURA em votação na  o pior ainda está por vir. Vivemos em tempos sombrios, as trevas dominam!",Alexandre de moraes. Vc é um ditador de merda!!!!!!,0,0.5812374353408813,0.418762594461441,0,Incerta
"Brasil entrou na era da censura. Vários perfis apagados do Twitter e Facebook por ordem judicial.  Liberdade de expressão? Depende, o que você quer falar? Quem você quer criticar?  Tempos sombrios.",liberdade pra espalha mentira eh isso ai top memo,2,0.4186834394931793,0.5813165307044983,1,Incerta
"ATÉ QUANDO SEREMOS CENSURADOS DESTA FORMA,POR MINISTROS DO STF? O CRIME QUE NÓS ESTAMOS COMETENDO É: SER CONSERVADOR E APOIAR JAIR BOLSONARO. ESTÃO QUERENDO CALAR OS CRISTÃOS CONSERVADORES. JAMAIS VÃO NOS CALAR! #STFVergonhaNacional","Ser juiz é horrível né. Faz merda, censura, faz merda, censura, faz merda, censura, faz merda gigante, aposenta ganhando a mesma merda que ganhava quando fazia todas as merdas.",0,0.5027404427528381,0.4972596168518066,0,Incerta
"A ESQUERDA E A IMPRENSA PIRAM ! A última pesquisa para as eleições de 2022 , mostra Bolsonaro na frente e ganhando de todos no 2º turno. Como entender ? A mídia perdeu o monopólio da informação , não engana mais o povo , por isso querem censurar as redes sociais . SÓ KKKKKKKKKK",As redes sociais é a nossa trincheira para debater os absurdos que aconteceram e ainda acontecem no Brasil. Não aceitamos ser desinformados pela grande mídia desinformadora.,2,0.4169495701789856,0.5830504298210144,0,Incerta
