tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict,Tipo
Caralho to indignado que o Mandetta saiu antes da Ivy,Porra aí é foda mano,2,0.5552244782447815,0.4447755217552185,0.0,Incerta
Como brasileiro agradeço o ministro Mandetta por sua atuação firme na Saúde. Por ter desempenhado seu papel ancorado na ciência e nas evidências. Compartilho do sentimento de milhões de cidadãos dizendo muito obrigado por reconhecer seu bom senso e  dedicação.,"E lamento, por saber que as pessoas não são levadas em consideração pelo presidente do Brasil.",2,0.554458498954773,0.4455414712429046,0.0,Incerta
"Bolsonaro demitiu Mandetta por ciúme, inveja e cálculo eleitoral e não foi divórcio consensual coisa nenhuma, mas meras ignorância,  irresponsabilidade, desumanidade e culto à morte, por fazê-lo em pleno pico da pandemia.","O pico da epidemia não será em maio e junho, segundo o próprio mandetta?",1,0.5456191897392273,0.4543807804584503,1.0,Incerta
"Em sua despedida, Mandetta defende a vida, o SUS e a ciência. Três palavras incompatíveis com o atual governo.",Mais são compatíveis com o Mandetta,1,0.5677985548973083,0.432201474905014,0.0,Incerta
"Acabo de ouvir do presidente Jair Bolsonaro o aviso da minha demissão do Ministério da Saúde.  Quero agradecer a oportunidade que me foi dada, de ser gerente do nosso SUS, de pôr de pé o projeto de melhoria da saúde dos brasileiros e","O novo ministro parece não ser ruim , tomara q não baixe bola pro bolsona, seja bom ou ruim o ato da troca numa pandemia por motivos eleitoreiros é repugnante , ao Mandetta imagino a tranquilidade de sair dessa zona pouco antes do pico,",2,0.5326229333877563,0.4673770070075989,0.0,Incerta
Bolsonaro acaba de demitir Mandetta do Ministério da Saúde....   quantos anos vocês fariam em 2021?  Me: 22,quantos anos vocês fariam em 2021? kk me: 16 k,2,0.4593557119369507,0.5406442880630493,0.0,Incerta
"""E o Mandetta, a linha dele, como médico, era voltada quase exclusivamente para a vida"", disse Bolsonaro","Onde já se viu, um médico, ter a linha voltada pra vida, que absurdo!",2,0.5068859457969666,0.4931139647960663,0.0,Incerta
"Agradeço ao Ministro Mandetta pelo trabalho e torço muito para que o novo titular seja guiado pela ciência, pela razão e cuide dos brasileiros com seriedade e competência.",Que assim seja,2,0.5429977774620056,0.4570021629333496,0.0,Incerta
Hoje lemos na imprensa que o DEM quer aproveitar a popularidade do Mandetta para iniciar diversas ações futuras com a presença do ex-ministro. Está lançado o projeto Mandetta 2022. E seus defensores dizendo que ele não estava atuando politicamente...,Que popularidade? Só se for dos ratos do esgoto! Fumaram maconha estragada? A cocaína estava com veneno de rato? Só na cabeça desses cretinos que o cara tem alguma popularidade! Foi rechaçado pelo povo junto com o Caiado! Isso é golpe!,2,0.4685833752155304,0.5314165949821472,1.0,Incerta
"Acabo de ouvir do presidente Jair Bolsonaro o aviso da minha demissão do Ministério da Saúde.  Quero agradecer a oportunidade que me foi dada, de ser gerente do nosso SUS, de pôr de pé o projeto de melhoria da saúde dos brasileiros e","Obrigado pelo trabalho prestado a toda população brasileira, Mandetta.   Fico triste por termos um incompetente como Presidente do País. Bolsonaro cada dia pior.",2,0.5533819794654846,0.446617990732193,0.0,Incerta
