tweet_1,tweet_2,Tema,Class,Conflict
"#AbortoNao  caramba, eu entrando na TAG e vendo mó galera discutindo bonitinho, com argumentos e dados. Sempre finalizando com um "" não concordo, mas respeito sua opinião""  Isso é o mais bonito de se ver em uma discussão séria, e não apenas um ""vc é homem""( por mais que tenha)",Até 3 meses  #AbortoSim,Aborto,0,0
"#AbortoNAO, STF usurpador de atribuições.","Caros esquerdolóides imb3cis, respondam a este tuíte abaixo. Isso se os neurônios mofados permitirem a compreensão, ou, caso contrário, usem a hipocrisia da sua laia de r3tardados mentais mesmo.   #AbortoSim",Aborto,0,0
Argumentos que usam para serem contra o aborto que “estão” errados — a thread  #AbortoNao #AbortoSIM,#AbortoNao aborto é coisa do diabo,Aborto,0,1
"،    ⌕  ─  vamos fazer um acordo, só opina sobre o que é certo ou não sobre esse caso são as pessoas que tem úteros, okay? Okay. #AbortoSim","Em tempos de tantas dificuldades vem a tona a discussão no STF do aborto em caso de zika vírus. É inegável a importância do tema, sobretudo para as mulheres. Mas tratar uma pauta abortista em meio a tantas mortes?! Temo estar chegando dias de banalização da vida. #AbortoNao",Aborto,0,1
Aborte a sua ignorância e não pessoas !  #AbortoNao  #AbortoNunca,é contra aborto mas é a favor da pena? pfv né...  #abortonao #AbortoSim,Aborto,0,1
Sou contrário ao aborto...#AbortoNao,#AbortoSim meu corpo minha regras ..e ninguém é obrigado a fazer porra nenhuma,Aborto,0,1
Eu tenho o melhor método para esse assunto. Siga os seguintes passos  1- fecha as pernas                E fim #AbortoNao,A real é que muito é Pro-Nascimento não Pro-Vida rss #AbortoSim,Aborto,0,1
"Essa gente é doente, vomita o dia inteiro que esse isolamento indecente é pra salvar VIDAS, mas apoiam a morte no útero. HIPÓCRITAS.  #AbortoNao",Parabéns aos abortistas de merda por ajudar subir a tag! #AbortoNao,Aborto,0,0
Não assassine o seu filho #AbortoNao,eu vou olhar os replys contrários a #AbortoNao e pelo menos 40% é fancam de kpop tentando lacrar,Aborto,0,0
"Sabe qual é a diferença entre   Assassinato &amp; Aborto?  Exatamente, nenhuma!   #AbortoNAO",Queria dizer que #abortosim,Aborto,0,1
Mas de novo essa questão de aborto gente? Pq cada um não cuida da sua vida e deixa a MULHER decidir o que fazer com a vida e o corpo DELA!!?? #AbortoSim,A escolha é nossa! #AbortoSim,Aborto,0,0
Quem não é mulher e nem sabe o que é uma dor de um parto não pode opinar sobre aborto #AbortoSIM,#AbortoNao Caralho isso é assacinato,Aborto,0,1
#AbortoSIM  Meu corpo e eu decido o que eu faço com ele Vamos quebrar as amarras que a sociedade tenta nos colocar,"Há muita hipocrisia vinda desses pró vida. Ao meu ver é melhor um feto morto que uma criança passando fome, sendo abusada, agredida, enfim... #AbortoSim #AbortoNao",Aborto,0,0
"diz que é contra o aborto, pq é a favor da vida, mas é o primeiro a falar: bandido bom é bandido morto, rsrsrs #AbortoSim",Grupo sobre o auxílio emergencial no whatsapp. Ainda tem vagas    #AbortoNao  #samsungbbb  #LiveDoRevela  #TheFourBrasil  #festabbb  #MOTS7_Re_Comeback   REMEMBER PRIOR  #AuxilioEmergencial,Aborto,0,0
"Para quem são a favor do aborto, É só fecha a pernas porra!  Ou usa métodos contraceptivos. #AbortoNao",oq ta rolando q subiram essa tag #AbortoNao,Aborto,0,0
#AbortoNao ou #AbortoSim simples e so da o cu nao engravida,"Esses esquerdopatas, Quando a mãe deles estavam grávidas dos mesmos, infelizmente não era aprovado o direito de aborto. Fazer o que, né? #AbortoNAO",Aborto,0,0
"Pra quem acha que o aborto é legal aborta e matar um feto, faça assim, pega um vídeo da operação e veja como que é, aí vc vai notar o quão errado é isso, vc acha certo um médico ESTOURAR a cabeça de um feto e remover pedaço por pedaço usando uma pinça..  #AbortoNao","Essa mania do brasileiro de ir  acostumando-se com tudo que lhe é imposto, está trazendo cada vez mais o socialismo para o país. A última que estão tentando empurrar goela abaixo é aprovação do aborto.  #AbortoNao",Aborto,0,0
#AbortoNAO  O mais curioso de tudo é que 100% das pessoas que defendem o aborto já tiveram seu direito de nascer. Aborto nada mais é do que um assassinato cruel e covarde de um inocente indefeso!,Tem que ser muito desumano para defender #AbortoSIM  Apoie a vida e diga #AbortoNao,Aborto,2,0
