tweet_1,tweet_2,Tema,Class,Conflict
"#AbortoNao crianças em internatos não é consequência de não abortar, e sim de abandono. A legislação já atende quando necessário (estupro, acéfalo, risco de vida), é o suficiente. Agora, abortar após uma noite de não prevenção é um absurdo.",0 ARGUMENTOS pra esse povo q apoia aborto #AbortoSim,Aborto,0,0
#AbortoNao  Não vamos deixar o STF legislar mais uma vez sobre um assunto tão importante!,"#AbortoSim  o feto não é considerado humano antes dos três meses. não sente dor. não tem cérebro. não tem coração, muito menos terminações nervosas.  mas o feto é humano quando tem 7, 8, 9 anos de idade e mora na rua, quando está passando fome e quando está sendo abusado.",Aborto,0,1
#AbortoNao é um crime o  pautar um assunto tão polêmico para este momento. Parece que os deuses de toga querem aprovar tudo que querem a toque de caixa.  Eu tenho vergonha do STF,Quem comete aborto mata um ser inocente que não vai ter a oportunidade de desfrutar da vida. #AbortoNao,Aborto,0,0
"Tentar reduzir o aborto a uma questão de saúde pública ou a decisões exclusivas de mulheres não significam outra coisa senão negligenciar, de forma arbitrária, autoritária e ideológica,  a natureza de que o embrião é uma pessoa! Um ser humano!   #AbortoNao",Todos os homens são contra o aborto até o dia em que a amante engravida #AbortoSim,Aborto,0,1
"#AbortoNao ou #AbortoSIM  Não tenho útero, então prefiro não opinar.",O Brasil é cristão e conservador! #AbortoNao,Aborto,0,0
Stf canalhas mil vezes #AbortoNao,#AbortoNAO Enquanto estamos em quarentena para supostamente salvar vidas... O STF tenta liberar o aborto?  Sendo que estamos presos em casa e sem liberdade de locomoção?  Nem ir às ruas protestar podemos?  V A G A B U N D O S,Aborto,0,0
#AbortoNao E como sempre os abortistas não variam nos argumentos. Em uma breve procurada nessa hashtag eu encontrei: Ah mas e as crianças do orfanato? Ah mas e as mulheres que morrem de aborto? Ah mas homem não pode opinar Ah mas se o papa tivesse útero o aborto era legal...,quem quiser faz quem não quiser não faz simples assim #AbortoSim,Aborto,0,1
"Vivemos em um Estado Laico, onde as decisões políticas não devem ser tomadas por valores morais e religiosos. Descriminalizar o aborto é dar condições para que as mulheres continuem vivas. É caso de saúde pública!  #AbortoSim","STF pautou ABORTO para dia  24 , no auge da Pandemia. Enquanto dormimos, STF cumpre a pauta  dos COMUNISTAS para assassinar indefesos !  STF, diz que quer salvar vidas prendendo as pessoas em casa com fome , enquanto pauta assassinatos, de bebês.  #AbortoNAO",Aborto,0,1
sempre fui a favor da vida #AbortoNAO,"#AbortoNunca Me poupe de homens ficarem dizendo o que as mulheres devem fazer com seu corpo. Afinal, não são eles que terão de parir após 9 meses de gestação! #AbortoSim",Aborto,0,1
#AbortoSim É um direito!,Podem tentar contemporizar. Podem tentar relativizar. Podem tentar criar exceções.  Mas o fato é que o aborto só se concretiza com a morte do filho autorizada pela própria mãe.  #AbortoNao,Aborto,0,1
