tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,A Sra curte uma censura?,1,0.03306502476334572,0.9669350385665894,
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,"Um dia pode ser a sua conta bloqueada, quero ver se vai gostar, não comemore a falta de liberdade e censura, a não  ser que seja seu plano.",1,0.03391589596867561,0.9660841226577759,
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,"Pra tu que ama uma ditadura,é um grande dia...",1,0.038407858461141586,0.9615921974182129,
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,"Saudade de uma censura, não é minha filha?",1,0.03959226608276367,0.9604076743125916,
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,"Todo bom comunista comemora censura, depois sai na rua gritando por liberdade, coerência zero.",1,0.04395364224910736,0.9560463428497314,
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,Incrível como comunista gosta de uma censura,1,0.04495735466480255,0.9550427198410034,
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,"Comemorando censura, é muito tosca msm",1,0.04784897714853287,0.9521510601043701,
"Po, tem um monte de página no twt que propaga a antivacina. Cade o governo pra isso, se vocês são a favor do estado controlar a poha toda ok, mas continua sendo censura","Repito:  Não é censura qndo vc já foi avisado, explicado e esclarecido do pq vc deve parar.",1,0.04862327128648758,0.9513766765594482,
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,Gente de esquerda PTRALHAS batendo palmas para censura piada pronta,1,0.048965033143758774,0.9510350227355957,
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,"Só CÚmunistinha caviar e acéfala comemora tamanha arbitrariedade! Hj censura um lado, amanhã o seu lado... mas otaria não percebe! Não possui o mínimo de discernimento para compreender a atual situação! Aproveitando, como estão as missas online, tá curtindo?",1,0.052039600908756256,0.9479604363441467,
"Cês tão ligados que isso aqui é nível China de censura, né? Ou vão continuar achando normal e comemorando só porque prejudica a quem vocês não gostam?","Quando a censura afeta quem eu não gosto, pode chamar de ""justiça"".",1,0.05525160953402519,0.9447484016418457,
"O que vc pensa de um edital de cultura com censura prévia? A prefeitura de Porto Alegre lançou edital p/ auxílio emergencial cultural q restringe a liberdade de expressão dos artistas, impondo como condição q o assunto não tenha cunho político ou religioso.","Te decide, é a favor ou contra a censura.",1,0.06258107721805573,0.9374189972877502,
"Caralho, mas o 2 é o melhor é como se tivesse sem censura, porquê dá pra ver o pau facilmente","mano, você quer ver o pau dos cara?? eu n gosto dessa censura pq as vezes, cobra a bct toda",1,0.06649456173181534,0.9335054755210876,
"Hoje são   Allan dos Santos Bernardo Kuster Edson Salomão Luciano Hang Roberto Jefferson Otávio Fakhoury Sara Winter   Amanhã pode ser vc.  Vc, conservador. Vc, que apoia Bolsonaro.   E vc tbm, idiota de esquerda que tá comemorando essa censura covarde.  #VozParaBernardoKuster","""censura covarde"",ok, então isso quer dizer que qualquer ralé por aí pode sair falando inverdades baseado em nada e ainda mais gerando ódio e mais ódio podem ficar impunes? Ah tá",1,0.07119796425104141,0.9288020133972168,
"Caio, sério que vc está comemorando censura? Dizendo que o ""ambiente melhorou""? Parece os saudosistas do Reg. Militar dizendo q ""naquele tempo não tinha mendigo na rua""...",Que censura?,1,0.0726047158241272,0.927395224571228,
"Errado, se a lei disser que é proibido falar mal do presidente deixa de ser censura? Então não teve censura no regime militar?","Acho que estamos em círculos aqui, Andi. Já voltei a me repetir quanto à diferença de censura e crime. Acho que não tenho mais nada a contibuir. Obrigada pela conversa.",1,0.07332050055265427,0.9266795516014099,
"Já é hora, já passou da hora de acabar com esse inquérito inconstitucional, com ares de censura, que não soma nada -- só enxovalha mais o combalido Judiciário brasileiro.","“Ares de censura” , vc está muito condescendente hj ... estamos no caminho da Venezuela e o Congresso parece apoiar .",1,0.07416156679391861,0.9258384108543396,
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,Bolsonaro22  Sem censura,1,0.07459049671888351,0.9254095554351807,
Os idiotas que comemoram a censura nem imaginam que mais cedo ou mais tarde será com eles,Combater mentiras não é censura.,1,0.0818905234336853,0.9181094169616699,
