tweet_1,tweet_2,Class,Conflict
Guilherme Fiuza diz que Alexandre de Moraes não passa de um tiranete e ultrapassou todos os limites,"Boletim das 17h01 do dia 24/07/2020  Situação atual: Sem chuvas na região do Grande ABC. (Fonte: Pluviômetros CEMADEN).  Cenário para as próximas horas: Céu parcialmente nublado a claro, sem chuva.  (+)",0,0.0
peço perdao pessoal nao e do meu feitio defender a censura das pessoa apenas a de sara winter e allan terça livre,"TWITTER DERRUBA CONTAS DOS DISSEMINADORES DE FAKE NEWS:  ALLAN DOS SANTOS, SARA WINTER E BERNARDO!!!! UHUUUU!!!! QUEREM APOSTAR  QUE A TAG EM FAVOR DE SERGIO MORO VAI SUBIR AOS TRENDS ???",0,0.0
Roberto Jefferson acaba de afirmar no Terça Livre que o escritório do Luís Roberto Barroso recebeu mais de 3 milhões de reais nesse mês.   #FreedomOfSpeech,grande dia difícil,0,0.0
#STFVergonhaNacional bando de lixo,"Essa música vem acalhar nesse momento de censura descarada.   Descubra ""SING"" de My Chemical Romance na Deezer",0,0.0
"Quem comemora a censura hoje, chora amanhã por não pode se expressar. Espero que o ódio não tome conta de nós brasileiros, os charlatões da toga estão abusando já. Estamos precisando do ""cabo e do soldado"", somente carreata não intimida bandidos.","""No último ano e meio, a militância bolsonarista encheu o saco do Brasil defendendo intervenção militar e implantação do AI-5. Pois bem, nessa sexta-feira (24), acusam o Min. Alexandre de Moraes, de reeditar o AI-5."" Militância Fake, #GovernoDeFraudes",0,1.0
"Qual será o teor do ""textão"" que os Generais de pantufa farão - se é que farão, pra ""protestarem veementemente"" contra mais um abuso cometido no âmbito do #InqueritoIlegal do #STF que #Censura e persegue quem os critica?  #STFVergonhaNacional #stfvergonhanacinal #CensuraNao",#VozParaBernardoKuster Querem censurar a verdade para que a mentira prevaleça!,0,0.0
Este miúdo é uma comédia tão grande,Sabrinna está viciada em falar grande dia e isso me fez pensar no Bolsonaro pfv pare,0,0.0
bom dia estou pegando ranço de ********* grande dia,Twitter suspende contas de bolsonaristas por determinação de Alexandre de Moraes,0,0.0
"o meu defeito é não ter com pra unha grande, e quebro uma unha por dia po",BOM DIA - O que pensa da monogamia? Marcelo Bulhões -  Um grande equívoco (risos).,0,0.0
#STFVergonhaNacional Amazônia destruída ou preservada? A verdade sobre a Floresta - Entrevista com Evaristo de Miranda,O grande dia chegou   BDAY EMILLY E MAYLA,0,0.0
"Os mesmos q defendem liberdade de expressão comemoram agora a lei da censura, isso é tão irônico q nn da pra nn rir dessa gentalha kkkkkkk","como uma pessoa que cresceu no meio de um espaço cultural e politicamente ativo, com pessoas queer e que sempre foi ensinado contra censura é muito triste ler certas coisas",0,0.0
"Helio Nogueira - Roberto Jefferson: ""O Alexandre de Moraes está... | Facebook","Vivemos no BR a ditadura do STF, um tribunal Supremo, cheio de super poderes que, ao contrário de outras ditaduras, não foi cooptado pelo chefe do executivo ou exército, ele se auto ungiu o senhor da lei, de tudo e todos...  #apocalipse #naoacensura #STFVergonhaNacional",0,0.0
tanto de gente comemorando a censura do STF. Mesma galera da liberdade de expressão,"""Um homem de pouco escrúpulo, o ministro Alexandre Moraes, de tanto lidar com criminosos, adotou a personalidade dos criminosos""  Roberto Jefferson",0,0.0
"Facebook e Twitter suspendem contas de Luciano Hang, Allan dos Santos e Sara Winter após decisão do STF",Vontade de ficar de pijama o dia todo tá grande,0,0.0
Abaixo a censura do STF #FreedomOfSpeech,"Allan do Santos, Bernardo Kuster, Roberto Jefferson, Edson Salomão, Sara Winter e outros, todos foram calados hoje no Twitter a pedido da Justiça (STF). Censura meus amigos, censura!",0,0.0
Com a censura imposta pela ditadura do  é #Bolsonaro2022 de NOOOOVO PORRA!,#VozParaBernardoKuster Já passou da hora.....,0,0.0
Amanhã depois da incrível aula do  teremos uma livezinha grande jogando uns 25 jogos no mesmo dia!! Por volta de 14h rapaziada!,grande dia  só comi um misto hoje  n sei como n fico magra meu Deus,0,0.0
"Para acabar o dia em grande, espirrei 15 vezes seguidas","Liberdade de expressão para mim e boca fechada para vocês, se fosse uma conta qualquer de algum blogueiro apoiador do ladrão de nove dedos o mundo estaria caindo sobre o argumento de censura.",0,0.0
"Alexandre de Moraes envia notícia-crime contra Bolsonaro, Eduardo e Flávio para a PGR",os dois siso doendo na direita e esquerda  GRANDE DIA,0,0.0
"""A pior composição da Corte nos últimos 100 anos"" Bob Jeff","Ganhei uma ""campanha"" na empresa, demoram dias para me enviar o ""prêmio"" e ainda enviam ""inválido"". Fora a entrevista para mudar de função que eles jogaram no dia que entrei de férias. Tô tomando um nojo tão grande.",0,0.0
Como pode esses bolsominions criticarem tanto a corrupção e idolatrarem o tal Roberto Jefferson? #ForaBolsonaro,"Hello Pervertidx! Eu sou a Honey Doom e aqui nós podemos conversar e eu posso me exibir pra vocês com menos censura.  Meu perfil no Instagram foi deletado pelo meu conteúdo ser inadequado a plataforma, então eu realmente espero que o twitter me receba de uma melhor forma.",0,0.0
Todo o dia uma ilusão diferente meu pai pq fizestes da minha vida um grande sofrimento????,"Alexandre de Moraes não passou dos limites , ele é uma pessoa sem limites . Até quando iremos aceitar a Inquisição de Moraes ? Onde os condenados são aqueles que apoiam Bolsonaro , ou que fazem críticas ao STF. Hoje foram 16 , amanhã podem ser milhares !  #STFVergonhaNacional",0,0.0
"Roberto Jefferson: ""Moraes tem que entender que comigo o buraco é mais embaixo""",Obrigada Alexandre de Morais,0,0.0
