tweet_1,tweet_2,Class,Conflict
"#AbortoNao crianças em internatos não é consequência de não abortar, e sim de abandono. A legislação já atende quando necessário (estupro, acéfalo, risco de vida), é o suficiente. Agora, abortar após uma noite de não prevenção é um absurdo.",0 ARGUMENTOS pra esse povo q apoia aborto #AbortoSim,0,0
#AbortoNao  Não vamos deixar o STF legislar mais uma vez sobre um assunto tão importante!,"#AbortoSim  o feto não é considerado humano antes dos três meses. não sente dor. não tem cérebro. não tem coração, muito menos terminações nervosas.  mas o feto é humano quando tem 7, 8, 9 anos de idade e mora na rua, quando está passando fome e quando está sendo abusado.",0,1
#AbortoNao é um crime o  pautar um assunto tão polêmico para este momento. Parece que os deuses de toga querem aprovar tudo que querem a toque de caixa.  Eu tenho vergonha do STF,Quem comete aborto mata um ser inocente que não vai ter a oportunidade de desfrutar da vida. #AbortoNao,0,0
"Tentar reduzir o aborto a uma questão de saúde pública ou a decisões exclusivas de mulheres não significam outra coisa senão negligenciar, de forma arbitrária, autoritária e ideológica,  a natureza de que o embrião é uma pessoa! Um ser humano!   #AbortoNao",Todos os homens são contra o aborto até o dia em que a amante engravida #AbortoSim,0,1
"#AbortoNao ou #AbortoSIM  Não tenho útero, então prefiro não opinar.",O Brasil é cristão e conservador! #AbortoNao,0,0
Stf canalhas mil vezes #AbortoNao,#AbortoNAO Enquanto estamos em quarentena para supostamente salvar vidas... O STF tenta liberar o aborto?  Sendo que estamos presos em casa e sem liberdade de locomoção?  Nem ir às ruas protestar podemos?  V A G A B U N D O S,0,0
#AbortoNao E como sempre os abortistas não variam nos argumentos. Em uma breve procurada nessa hashtag eu encontrei: Ah mas e as crianças do orfanato? Ah mas e as mulheres que morrem de aborto? Ah mas homem não pode opinar Ah mas se o papa tivesse útero o aborto era legal...,quem quiser faz quem não quiser não faz simples assim #AbortoSim,0,1
"Vivemos em um Estado Laico, onde as decisões políticas não devem ser tomadas por valores morais e religiosos. Descriminalizar o aborto é dar condições para que as mulheres continuem vivas. É caso de saúde pública!  #AbortoSim","STF pautou ABORTO para dia  24 , no auge da Pandemia. Enquanto dormimos, STF cumpre a pauta  dos COMUNISTAS para assassinar indefesos !  STF, diz que quer salvar vidas prendendo as pessoas em casa com fome , enquanto pauta assassinatos, de bebês.  #AbortoNAO",0,1
sempre fui a favor da vida #AbortoNAO,"#AbortoNunca Me poupe de homens ficarem dizendo o que as mulheres devem fazer com seu corpo. Afinal, não são eles que terão de parir após 9 meses de gestação! #AbortoSim",0,1
#AbortoSim É um direito!,Podem tentar contemporizar. Podem tentar relativizar. Podem tentar criar exceções.  Mas o fato é que o aborto só se concretiza com a morte do filho autorizada pela própria mãe.  #AbortoNao,0,1
Diga não ao assassinato de inocentes! #AbortoNao,"""Aquele que me fez no ventre materno não os fez também? Não foi ele que nos formou, a mim e a eles, no interior de nossas mães?""  Jó 31:15 #AbortoNao",0,0
#AbortoNao  Querem matar crianças agora? Absurdo!!!,"Quando uma pessoa morre, você não pode simplesmente tirar seus órgãos para doação se ela não deu consentimento em vida. Uma mulher viva não pode abortar por não ter direito sobre o próprio corpo. O direito de uma mulher vale menos do que o de uma pessoa morta?  #AbortoSim",0,1
"Ao querer desidratar o Executivo, o STF e o Congresso podem estar tirando a relevância de si mesmos. A população já começa a resgatar em quem ela votou para deputado estadual.  Se a política vai girar em torno dos governadores, Brasília desaparece.  #FicaEmCasaMandetta #AbortoNao","Não se envolva em falsas acu­sações nem condene à morte o inocente e o justo, porque não absolverei o culpado. Êxodo 23:7 #AbortoNao  #AbortoSim Deus de sabedoria para este entendimento... Deus abençoe a todos...",0,0
#AbortoNao legalizado tá matando mulheres. Legalizaaaaaaa!,"Tweet de Maurício Costa () Maurício Costa () tweetou: Todo mundo que apoiava a escravidão era livre, todo mundo que apoia o aborto já nasceu.   Falam em ""aborto seguro"". Pergunto, para quem? Afinal, o bebê sempre morre. #AbortoNao",0,1
"#AbortoNao e importante dizer que isso não questão de opinião e sim saúde pública, não e legalizado o aborto de um feto formado somente até o ponto em que a gestação e apenas um precesso químico, e quem apoia nao e satanistas só tem o minino de bom senso","Não é questão de religião e sim de saúde pública, mulheres vão continuar abortando sendo legalizado ou não, pelo menos dê condições melhores para que elas não morram junto com o feto. Obrigada. #AbortoSim",0,0
#AbortoNao bora interagir pela vida!,"Aproveitando a tag #AbortoNao, gostaria d estatar q eu saía c um cara q era contra o aborto e condenava mulheres q ja abortaram, ms ele só transava sem camisinha KKKKKKK ainda bem q pulei fora e n fiz nada c esse mongol",0,0
"Ser a favor do aborto vai contra tudo o que eu acredito, então EU jamais faria, mas vivendo em um país LAICO, não posso e nem devo interferir e opinar nas escolhas de outras pessoas, então se VOCE é contra apenas não faça e cale a boca. #AbortoNao #AbortoSim",Hoje eu perco essa conta. Mas foda-se!   Eu irei xingar todos os defensores de assassinato de crianças.  #AbortoNAO,0,1
"mulher tirar o feto não pode agora o homem abandonar a criança COM VIDA, sumir, não da satisfação, não criar, não alimentar, não da assistência, pode ""AmAS ElEh NAum MaTOu"" ava pa puta que pariu #AbortoSim",A porra do Estado é laico e esse deveria ser o motivo mais que suficiente para legalizar.  #AbortoNao,0,0
Hoje os defensores de assassinato de crianças estão saindo do inferno.  #AbortoNAO,"Sou só time #AbortoSim  A mulher faz o que ela quer! Se quer tirar o feto, que tire. Infelizmente não temos métodos seguros pra isso. Espero que em um futuro, o aborto seja legalizado.",0,1
"#AbortoSIM #AbortoNao  tanto faz a pessoa faz se ela quiser, o corpo é dela caralho. Achei que isso já tava na cara.","#AbortoNao é o caralho! Não ensinam educação sexual pros jovens, não montam uma estrutura social onde o jovem possa poder assumir melhor o próprio erro e vocês vem com essa de querer responsabilizar depois! Larga de moralismo seus bando de hipócritas",0,0
Não devemos se meter em feto alheio  #AbortoSIM,"Vocês não entendem que mesmo que não seja legalizado o aborto ainda vai acontecer ilegalmente, aborto ilegal põe em risco a vida da mãe também e muito melhor fazer do jeito certo. #AbortoNao",0,0
#AbortoNAO ... Não a morte de bebês ...,"STF assassinos, Corruptos, vagabunos, fechem logo essa merda. #AbortoNao",0,0
#AbortoNao respeite as duas vidas,Aborto é o caralho #AbortoNao,0,0
#AbortoNao Tem que ser muito idióta para ser a favor do aborto,#AbortoNao Assassinato de bebês não!,0,0
A questão do aborto e do coronavírus é bem diferente. Uma é questão de liberdade de escolha para umas mulheres e o outro é sobre uma pandemia. Não misturem assuntos desse gêneros pois um não tem nada ave com o outro querer fazer isso é ser muito ignorante #AbortoNao,"Foda desse debate sobre aborto é que como sempre... não é um debate. Segundo, sempre vem  uns argumento óbvio pra cacete como: ""amas pela CIÊNCIA não é  considerado vida até *insira um mês aleatório* blabla"" so que nem a ciência  entra em consenso nisso. #AbortoNao",0,0
"#AbortoNao machos, vão dá o cu",Porquê ao invés de falarmos do ABORTO que (Mata) !  Não falamos do Planejamento familiar que (Salva) ? #AbortoNao,0,1
Votem e justifique sua resposta. #AbortoNAO #AbortoSim,Aborto complica o destino. #AbortoNao,0,0
"“ah mas você não é mulher, não pode dar pitaco sobre o aborto”. VOCÊ NÃO É UM TRANSFORMER MAS DÁ PITACO SOBRE CARROS. #AbortoNao #AbortoNão",ABORTO É CRIME ABORTO É CRIME ABORTO É CRIME ABORTO É CRIME ABORTO É CRIME ABORTO É CRIME  ABORTO É CRIME ABORTO É CRIME ABORTO É CRIME  ABORTO É CRIME ABORTO É CRIME ABORTO É CRIME  ABORTO É CRIME ABORTO É CRIME ABORTO É CRIME  #AbortoNAO,0,0
Como mãe e mulher me deixa triste ver outras mulheres apoiar essa crueldade  #AbortoNao,Isso nem era pra ser discutido  #AbortoNao,0,0
"Diz aí o que é pior, legalizar o aborto ou saber que aquele menor pela mão do sistema também vai ser morto? Eis aí o xeque-mate, legalizar o entorpecente ou saber que o tráfico abate a cada minuto mais um inocente? #AbortoNao  #AbortoSim","Se for pra criança sofrer em vida por falta de estrutura (e amor), seja da família ou do sistema de adoção eu prefiro que ela não nasça #AbortoSim",0,0
"Tem opção de tomar remédio ? Tem  Tem opção de usar camisinha? Tem  Tem opção de não abrir a perna pra qualquer um ? Tem  Se a mãe de algumas tivessem abortado quem apoia aborto , não estariam nem aqui pra pedir o aborto . Abraços... #AbortoNao","Homi... Deixe a mulher fazer o que quiser com o seu corpo, com a sua vida... Quando vê, se diz ""pro-vida"" mas defende reabertura do comércio em plena pandemia.  #AbortoSim",0,1
"Diz pra ficar em casa na pandemia pra proteger a vida, mas acha certo matar uma vida sendo gerada... aff... definitivamente: #AbortoNao","Adotar ninguém quer, mas ser a favor da “vida” todos são.  #AbortoSim",0,1
"Seu e eu tivesse sido abortada ficaria feliz, melhor do que viver nesse mundo horrível #abortosim #AbortoNao",&gt; pró-vida &gt; a favor da pena de morte choose one #AbortoSim,0,0
Abortem somente os políticos corruptos da nossa nação #AbortoNao,"#AbortoSim - porque você que já nasceu e está grandinho não se mata? Seja coerente com o que você apoia! Morra! (Deixo claro que não quero induzir ninguém a se matar, é somente um contraponto para reflexão).",0,0
"Em meio a todo esse caos, chegou o que faltava pra dar a cacetada da morte...STF querer implantar a oficialização do aborto!!! #abortoNao",#AbortoSim e os outros q se fodam,0,1
STF - Suprema Tirania Federal #AbortoNao,"Entrei na tag e tinha gente a favor do bolsonaro, isso é tão vergonhoso kkkkkkkk #AbortoNao",0,0
"Em relação a esse tema, eu sempre parto da premissa de que: o aborto é uma questão de direitos sexuais e reprodutivos – Todas as pessoas têm o direito de decidir sobre seu corpo, sua liberdade e seu futuro. #AbortoSIM",#AbortoNao Diga sim a vida...,0,1
"Em plena na pandemia do virus chinês e crise económica o STF resolver pautar o aborto. Pensei que eles estavam interessados em defender a vida, pelo contrário o interesse é a morte, e nos dois casos, do aborto e virus. #AbortoNao",mas não disse que me arrependi   Dua Lipa Rihanna Thomas Santana Joji #AbortoNao JUNGKOOK #samsungnobbb Titi #festabbb #Riverdale #عبودكا #instagrammusic #COVID19 #نايف_حمدان  #Apple #restateacasa  sadie #Covid_19,0,0
"Você é a favor do aborto ?  Então,  por favor, nunca engravide ...  Seria hipocrisia da sua parte manter uma gravidez defendendo o HOMICÍDIO de um bebê. #AbortoNao","#AbortoNAO Pena de morte para assassinos, abortistas, SIM!",0,0
"Momento desapropriado com desculpas previsíveis para o stf decidir sobre o aborto, mas segue nossa opinião! #AbortoNao #AbortoNunca",Entrei no #AbortoNao e só vi macho destilando ódio Mas pegar pra cuidar ninguém que né Incrível,0,1
"Tentando encontrar, nas redes sociais, o grupo de mães de bebês com microcefalia que entrei em contato da última vez e não consigo. Elas têm muita voz, pq aquelas crianças mudaram a vida delas e todas deixam isso bem claro. #AbortoNao",Assassinato intra-uterino é o termo correto #AbortoNao,0,0
#AbortoNao Que o chupacabra chupe o cu de quem é favorável ao aborto.,#AbortoNao nossas crianças não merecem serem assassinadas,0,0
Aborto é homicídio #AbortoNao,"Como é feito o assassinato de bebês que você defende: #AbortoNao  1- Por Sucção  Insere-se no útero um tubo oco que tem uma ponta afiada. Despedaça o corpo do bebê que está se desenvolvendo, assim como a placenta e absorve ""o produto da gravidez""(bebê),depositando-o  em um balde+",0,0
"#AbortoNAO e só não ser uma relaxada que da pra todo mundo que tu não engravida,  e também tem camisinha e um monte de coisa pra não engravidar, (só engravida quem quer).",Não confio em nada que venha do  !!!  #STFVergonhaNacional  #AbortoNAO,0,0
"#AbortoNao Gente me ajudem mandando msgs pra minha amiga perguntando se el ainda vende galinha pfvr, é pro meu tcc  011983095436","Homem não tem o direito de opninar, nem se for o filho dele ? Affs cada uma... #AbortoNao",0,0
#AbortoNao não consigo entender quem apoia esse crime!!!!,As mães de quem pensa dessa forma poderia ter tido esse pensamento tambem quando engravidaram. #AbortoSim,0,0
"O pior eh a galera do aborto dizendo que não podemos opinar sobre outras vidas e etc, mas enchem o açaí quando falam em armas. #AbortoNao","#AbortoSim Ser favorável ao aborto NÃO significa que você é pró-morte, mesmo que, o aborto deva ser uma escolha DA MULHER. A pauta deseja garantir apenas segurança no ato, porque, independente da bandeira contra ou pro, essa é uma realidade e vai continuar acontecendo.",0,1
"Toda conduta produz um resultado. Vc é o responsável pelos seus atos, portanto vc é quem deve ser responsabilizado e não outrem.       Quer liberdade e não responsabilidade, só pode ser esquerdista ou liberal. #AbortoNao","Não sei o que é mais incoerente. Levantar a #AbortoNão e ser a favor da pena de morte ou levantar #AbortoSim e ser contra a pena de morte.  O assunto é muito mais complexo do liberar ou proibir. Acredito que o debate seja importante porém, não nesse atual cenário.",0,1
"por isso aula de ciências/biologia é tão importante na vida de ser um humano, educação para saber separar o que é ou não vida e tirar religião e seu egoísmo de alguns assuntos #AbortoNao",O loco os monarquistas acordaram ???  Cada dia que passa simpatizo mais com a ideia  #MonarquiaJa  #AbortoNAO,0,0
"a galera do #AbortoNao é muito engraçadaKFKDKDK amg se sua religião não permite, se vc acha errado, se vc acha que é assassinato então não aborta ue, mas outras mulheres que não querem ou que foram estupradas não merecem viver com essa lembrança de trauma ou ódio  #AbortoSim","Só é a favor do aborto as safadas que querem sentir o leitão quente no útero, não quer ter filho usa camisinha. #AbortoSim #AbortoSim",0,1
Isso sera uma.aberracao sim a vida #AbortoNao,"#AbortoSim  #AbortoNAO     kkk com essas tags, lembrei da nossa conversa",0,0
Entendam como o Bolsonaro age (gato) e como os apressadinhos imediatistas acham que ele deveria agir (cão)... #AbortoNao,Sou contra o #AbortoSim   Salmos 139: 13. Pois possuíste as minhas entranhas; cobriste-me no ventre de minha mãe.,0,0
"Não tenho nada contra quem prática o aborto, só para deixar claro! Mas, não sou a favor e não é nem por questões religiosas, mais uma questão de amor ao próximo. #AbortoNao","#AbortoNao então todas as mulheres que não querem ter filhos vão levar pra casa de voces pra VOCÊS CRIAREM, ai fica todo mundo feliz né???",0,1
"Toda essa ladainha de novo, essa gente não entende mesmo! #AbortoNAO",Não creio que em pleno 2020 ainda tenho que ler tweet de *homens* mandando mulheres fecharem a perna para não engravidar.  #AbortoSim,0,1
"#AbortoNAO ,não quer ter um filho, ñ faz relações sexuais  ou usa preservativos prr acha legal tira uma vida de um ser humano, ou prefere carregar um peso nas costa por ser um assassino. #AbortoNAO","#AbortoNao é uma piada, porque não importa o que todos dizem pra mulher q engravidou pq a camisinha estourou, foi estuprada, esqueceu a pílula, etc. Se ela quer fazer o aborto, ela vai fazer de qualquer jeito seja por remédios, clinica clandestina, etc. +",0,1
aborto sim e fodase.  b noite #AbortoSIM,Sim à vida.#AbortoNao,0,1
"#AbortoNao ah gente, pelo amor de Deus ne, tamo no séc XXI tamo careca de saber que existe clínica clandestina em muito fundo de quintal","Discutir com abortista é foda parceiro, além desse negócio besta de ""não é lugar de fala"" precisa explicar que não é possível ver um ser humano completo dentro da barriga da mãe pq ainda está em desenvolvimento   Aborto é assassinato, e nada mudará isso  #AbortoNAO",0,1
"Eu meio que não tô afim de debater com quem usa local de fala como argumento pra me refutar, então só vim aqui pra dar apoio ao #AbortoNAO, nada de ativismo.","Eu acho que  é algo que não pode ser banalizado. Ah tô grávida vou ali e aborto. Nao. Tem q ter umas ""regrinhas"" talvez. Porem. O corpo é MEU e eu faço oq quiser com ele. Bjo #AbortoNao",0,1
pq tem um monte de homem aqui sendo que esse não ép luvar de fala do sexo masculino?#AbortoNao,#AbortoNao só to vendo um monte de homen branco cheio de privilegios comentando sobre as decisões de vida de uma mulher   Mas quando é um cara branco abandonando uma criança ninguém toca no assunto né  #AbortoSim,0,0
Deus tá vendo... e nós também #AbortoNao,"#AbortoNao  Pensem bem, pois a justiça dos homens é falha, mas a de Deus é perfeita.",0,0
entrei nos trendings do twitter e tô assustada com o Justin Bieber #Riverdale #abortonao pqp virou  Chernobyl??,#AbortoNao o único aborto que queremos é nos trabalhos do CN e STF.,0,0
Uma maldade demoníaca. #AbortoNao,Será q vai chegar a hora em q o STF vai liberar o latrocínio pelo fato de q se a vítima sair viva poderá incriminar o coitado do ladrão? Pq essa é a lógica do aborto! #AbortoNao,0,0
Feto de cinco meses é encontrado em lixo de condomínio em Sumaré  via  #AbortoNao #AbortoNão,Assassinato de bebês ? Naaaaaaaaaao #AbortoNao,0,0
"#STFVergonhaNacional, quem são vocês para julgarem quem deve viver ou morrer? #AbortoNao  #AbortoNunca",#AbortoNao até tomar o primeiro susto k,0,1
sou a favor do aborto até antes de transar. Chega de gente nessa porra de mundo!  #AbortoSim,"""Sou contra o aborto, mas, pra mim, bandido bom é bandido morto"" #AbortoSim",0,0
#AbortoSim #Abortonao  Não dá pra matar algo que não nasceu. And: homens calem a boca,O  tem como dar uma aula e apresentar inúmeros argumentos incontestáveis contra o aborto.  #AbortoNao,0,1
"Gente sério o aborto é assassinato, sei que muitas mulheres sofrem com isso, porém o feto não tem culpa ele é uma vida inocente, #AbortoNao","#AbortoNAO FÁCIL sabe o por que? pois o mesmo é um ser vivo,ele contem células,respira entre outras coisas. Ele NÃO faz parte do corpo da mulher ele ESTA nele. a decisão é de ambos,homem e mulher,pois os dois ajudaram a fazer. Todos passam dificuldade e por isso devemos matar?",0,0
"Talvez no futuro nosso período de tempo seja conhecido como ""Obscurantismo"". Um tempo onde mulheres n podiam decidir o q fazer com seus corpos, loucos eram eleitos governantes e a ciência era contestada com opinião pessoal. Estamos na p. 2 da Idade Média.   #AbortoSim #AbortoNao","Apoio o aborto mas também não faria um. Não mataria um filho meu. Mas se a pessoa quiser mesmo fazer, ela fará de qualquer jeito, legalizado ou não. Então legaliza logo.  #AbortoSim #AbortoNAO",0,0
"Pra vcs que estão usando #AbortoNao ""Ah, mas engravida pq não usa nenhum contraceptivo"" Toma a reportagem e existem muitos outros casos iguais a esse, parem de querer mandar no nosso corpo e vão ajudar um orfanato porra. #AbortoSim",Não ao holocausto #AbortoNAO,0,1
"Prezados Ministros do  #AbortoNAO   Umas pedem aborto sim. Já pensou se a mãe destas pessoas tivessem feito aborto na época que elas estavam grávidas?  Quem pede aborto sim, ao invés de desejar a morte de um feto indefeso, porque não se olhem no espelho e façam...",Sempre tem aquela vag.abunda que chama os homens de macho escroto mas não despensa uma leita.da quent.e dentro não é mesmo vag.abundas? #AbortoNao,0,0
"#AbortoNao   Legal o outro lado falando 'abortosim', só os tcholas feministos e as parideiras q dão pra qualquer um e querem jogar pra baixo do tapete. Essas já estão perdidas na vida.",Cruzada pela vida #AbortoNao,0,0
Quem pratica aborto é assassino #AbortoSim #AbortoNão,"Tentar reduzir o aborto a uma questão de saúde pública ou a decisões exclusivas de mulheres não significam outra coisa senão negligenciar, de forma arbitrária, autoritária e ideológica,  a natureza de que o embrião é uma pessoa! Um ser humano!   #AbortoNao",0,0
#AbortoNao é contra o aborto? é só n fazer #ABORTOSIM,#AbortoNao imediatamente,0,1
"#AbortoSim Pra da opinião na internet aparece várias pessoas, agora pra comprar leite e outras coisas a mãe é que se lasca, não é o seu útero, não é seu dinheiro portanto não é sua escolha!",Se tu nao vai bancar  Se tu nao vai parir Se tu nao vai criar Se tu nao sente a dor  NÃO ENTENDO POR SE METE?  #AbortoSim,0,0
"As pessoas que defendem o #AbortoNao são, em sua maioria, as mesmas que defendem a pena de morte pra quem ta na prisão Pró vida que diz?","""Aaain, se eu sô feminista, meu filho não nasce machista!""  :V Lógico né, o filho já foi abortado.  #AbortoNao #AbortoNão #AbortosóéNecessárioQuandoforNecessário",0,1
"Inacreditável que em pleno século 21, com todos os métodos contraceptivo que existe disponível,  Ainda tenhamos que lidar com a liberação do aborto!!! #AbortoNao  #STFVergonhaNacional",metade das pessoas tweetando #AbortoNao já tomou cházinho de boldo com canela q eu sei,0,1
"#AbortoNao sou mulher, portanto posso opinar (como dizem abortistas) e o corpo do meu filho NÃO é o MEU corpo! Ele está dentro de mim, mas ele não sou eu! Portanto não tenho direito de matá-lo. ponto final rs","O aborto é mais um tema do grande mal que se espalha pela humanidade. Estamos vivendo a batalha épica e histórica da humanidade, o bem contra o mal. NADA é relativo, não adianta jornalista com cara boazinha pregando a morte de um bebê, de um ser humano.   #AbortoNao",0,0
Eu pensei que estavam falando dos 3 abortinhos que a Rafa fez #AbortoNao,"Mesmo que seja contrário as nossas crenças ( cristão) e fazem contra a nossa vontade cairá uma maldição terrível sobre nossas vidas, lembre-se, somos maioria cristão, erramos em algum momento de nossas vidas para isso ter ocorrido DEUS NÃO PERDOARÁ A MORTE DE INOCENTES #AbortoNao",0,0
gente pfvr. isso é pessoal. ninguém manda no corpo de ninguém. independente se vc é a favor ou não.  #AbortoSim #AbortoNao,"os macho querendo mandar no corpo feminino kkkkkkkkk, vão lavar a pinta direito primeiro #AbortoNao",0,0
"O aborto tem q ser permitido, pra evitar q crianças cresçam em ambientes onde não são amadas, vivem passando necessidades e acabam sofrendo grandes traumas! Essa foto é de um bb q nasceu com o DIU na cabeça, nenhum modo de prevenção é 100%  #AbortoSim","VC não acha melhor a bebê nascer não, vai ter coragem de fazer essa monstruosidade olhando no olho?  Coisa de monstro matar inocentes!!  #AbortoNAO",1,1
"Bora subir, robozada?   #AbortoNao",#AbortoNAO vida sim,1,0
STF quer aplicar a medida enquanto a gente não tá vendo!! #AbortoNao,Que Porra é essa ? #AbortoNao,1,0
"Enquanto lutamos pela nossa vida contra o covid19, o STF abre uma sessão pra liberar o aborto! Que país é esse?  #AbortoNao    #STFVergonhaNacional",Assassinato nunca! #AbortoNAO,1,0
STF quer aplicar a medida enquanto a gente não tá vendo!! #AbortoNao,Vergonha desse STF  #AbortoNAO,1,0
É fácil defender o aborto sendo que você já nasceu. #AbortoNAO,"Há se as pessoas sobessem o mal que trszem para suas vidas, derrando sangue inocente, jamais defenderia tal ato. #AbortoNAO",1,0
"O que a Bíblia fala sobre o aborto?  ""Antes que te formasse no ventre de sua mãe, Eu te conheci""  Jeremias 1.5 #AbortoNao",Linda passagem da Bíblia. #AbortoNAO,1,0
"Bolsominions estão revoltados pq STF pode permitir aborto de fetos com zika vírus. Imagine q 1 mulher está grávida de um bebê q, se não nascer morto, viverá apenas meses. Pq obrigá-la a prosseguir com a gravidez q pode por a vida dela em risco? Ela é q tem q decidir! #AbortoSim","É sobre as mulheres terem escolha. Se uma gestante com feto com zika vírus quiser seguir adiante com a gravidez, ela tem td o direito. Se ela quiser interromper a gravidez, ela deve ter td o direito tb. Simples! #AbortoSim",1,0
"O que a Bíblia fala sobre o aborto?  ""Antes que te formasse no ventre de sua mãe, Eu te conheci""  Jeremias 1.5 #AbortoNao",#AbortoNAO  Minha nossa! Isso não!,1,-1
É muita gente hipócrita e sem noção usando a #AbortoNAO a maioria homens eleitores do bozo e o resto que dão mais valor a um feto do que a vida de uma mulher. O corpo é MEU e absolutamente TUDO nele TAMBÉM É MEU a decisão é MINHA SIM portanto #AbortoSim,#AbortoNAO isso e' assassinato,1,1
Vamos subir #AbortoNao .  STF quer aprovar medida em plena pandemia.,Com o STF não dá pra ter paz um segundo. #AbortoNAO #AbortoNao,1,0
"Em plena epidemia do Covid-19, o STF quer aprovar o aborto no Brasil. Vamos subir a tag #AbortoNao.",Isso é um absurdo! #AbortoNAO,1,0
#AbortoNAO chegando ao topo dos TT's.   Vamos pressionar o STF.,"#AbortoNAO , não acredito que aqueles corruptos estão liberando o aborto. Tem que fechar aquela zona o quanto antes. Um STF honesto e competente vai ajudar na faxina que o Brasil precisa. Esse só atrapalha.",1,0
"Precisamos falar desse assunto antes que os Sinistros do STF vergonha nacional torne essa doença como normal, e vou postar aqui o que o grande Sikera JR pensa sobre esse assunto, sou contra quer evitar ter filhos fecha as pernas bando de nojentas dos infernos.  #AbortoNAO","Complemento sua fala dizendo q em todos as cidades do Brasil, milhares de bairros tem postos de saúde. Lá encontram-se o PSF, onde são distribuídos preservativos, anticoncepcional, DIU, laqueadura, desde q os usuários sejam cadastros no sistema. Fica grávida quem quer #AbortoNAO",1,0
"Bora subir, robozada?   #AbortoNao","adoro ver vcs ""PRO VIDA"" quando se tem crianças nas ruas em orfanatos abandonadas por gravidez n desejada!!! MEU CORPO MINHAS REGRAS #ABORTOSIM",1,1
"Só pode ser absoluta mentira.... não é possível que o  vai vir com uma DESGRAÇA dessas em meio a zona que estamos vivendo!??????????   Isso sendo verdade, isso é de uma baixeza impossível de medir!  #AbortoNao",só pilantras traidores globalistas ! #AbortoNAO,1,0
Vamos subir #AbortoNao .  STF quer aprovar medida em plena pandemia.,Boa noite. #AbortoNAO,1,0
"Bora subir, robozada?   #AbortoNao",Vamos erguer nossa voz #AbortoNAO,1,0
"Bora subir, robozada?   #AbortoNao",Ativando modo robô #AbortoNAO,1,0
Vamos subir #AbortoNao .  STF quer aprovar medida em plena pandemia.,Com certeza #AbortoNAO,1,0
"#AbortoNAO  Vc pode ser contra o aborto sendo homem, mulher o caraio a 4 Homem também fornece material genético pra formar a criança  Sim, somos contra o aborto CHORA",E depois fogem sem querer assumir #AbortoSim,1,1
STF quer aplicar a medida enquanto a gente não tá vendo!! #AbortoNao,STF vergonha nacional! #AbortoNao,1,0
Quem usa a #AbortoSim deveria dar o exemplo e SE abortar.   #AbortoNão,"A mãe de quem usa #abortosim deveria ter abortado ele,assim não estaria agora defendendo este crime.",1,0
"Complemento sua fala dizendo q em todos as cidades do Brasil, milhares de bairros tem postos de saúde. Lá encontram-se o PSF, onde são distribuídos preservativos, anticoncepcional, DIU, laqueadura, desde q os usuários sejam cadastros no sistema. Fica grávida quem quer #AbortoNAO","Ana perfeito é que aqui nem cabe muita coisa pra dizer, basta lembrar que ainda temos a pilula do dia seguinte além de tudo que citou, mais o prazer de assassinar dos esquerdistas é enorme, e esse STF é capaz de tudo. #AbortoNAO",1,0
A quantidade de mulheres q são  mortas por n terem uma condição  financeira alta é justamente por terem q se submeter a incerteza da morta e do medo.A falta de igualdade também se encontra aq.Mulheres com condições altas vivem msm opitando por um aborto saem ilesas #AbortoSim,"e já as de baixa renda tem q optar por essa incerteza de morrer ou viver ,ser pela vida é também entender isso ,até pq nenhum método contraceptivo é 100% seguro #AbortoSim",1,0
Vamos subir #AbortoNao .  STF quer aprovar medida em plena pandemia.,"As mesmas pessoas que gritam  na quarentena;  ""A Vida vale mais que o Dinheiro"" Querem matar inocentes  ABORTISTAS SÃO HIPÓCRITAS #AbortoNAO",1,0
"Os hipócritas de ""todas as vidas importam"" menos aquelas que estão se desenvolvendo no útero. Não quer filho não faça sexo sem camisinha ou então use métodos contraceptivos tem vários escolha um é bem mais fácil do que matar uma vida. #AbortoNAO",Verdade #AbortoNAO,1,0
Só quero saber quem foi o macho q subiu essa tag #AbortoNao pra eu meter uma bicuda na cara dle  Entendam sem útero sem opinião,"é facil falar #AbortoNao né, mas  pena que adoção não é fácil igual ir no supermercado e comprar arroz. mulheres que abortam tem seus motivos não só individuais,basta pesquisar o perfil destas mulheres. o aborto seguro deve ser sim um direito da mulher, e só ela deve opinar sobre",1,0
