tweet_1,tweet_2,Class,Conflict
"Segundo o leitor(sic), Mandetta informou aos aliados que sua saída é certa. Acontecerá hoje ou mais tardar amanhã.  Como se sentem com esse anúncio, amigos?",Muita Tristeza !!! Muita !!!,2,0
"A Pepa quer a permanência de Mandetta. Pepa, Maia, Alcolumbre. Só a nata do Congresso.",Nata azeda. #ForaMandettaUrgente,2,0
"O ministro da Saúde, Luiz Henrique Mandetta disse nesta quinta-feira, 16, que a covid-19 irá marcar uma divisão histórica no Século 21.  #MeiaHora","""O ministro da Saúde, Luiz Henrique Mandetta disse nesta quinta-feira, 16, que a covid-19 irá marcar uma divisão histórica no Século 21. 'O século 21 começou. Antes da covid e após covid. Vai ser uma divisão histórica. Isso vai estar em qualquer livro', disse o ministro""",2,0
Sílvio Santos também indica nome a Bolsonaro para lugar de Mandetta,Roque ou Liminha,2,0
Demissão de Mandetta é rejeitada por 76% dos brasileiros,Ele vai trabalhar em novela da Globo.,2,1
Lula: Mandetta era um privatista do sistema de saúde | Revista Fórum,Lulão precisa aparecer mais pra esclarecer essa esquerda desesperada que já estava abraçando o Pau Mandetta...,2,0
Mandetta e sua política de isolamento estão longe de representar a visão única existente na comunidade médica. Recebi de um respeitado médico uma mensagem de desabafo justamente pq ele e vários pares estão revoltados com essa idolatria toda ao ministro.,Toda unanimidade é burra,2,0
E agora  ?,"#STFVergonhaNacional  #AbortoNao  MANDETTA CANALHA INIMIGO DO BRASIL  NHONHO BOTAFOGO MAIA FDP SAFADO TENHO NOJO DO STF PETISTA, bando de BOSTAS NOJENTOS",2,0
"MANDETTA  - contratou empresa que doou para a sua campanha - comprou itens superfaturados - não tem estratégia a não ser prolongar o isolamento  E agora mais essa!  Ah, mas querem que você acredite que ele vai cair porque BOLSONARO está com ""ciúmes"".  Pode acreditar amiguinho",Plasma é IMPORTANTE na testagem PRA CURAR ou CRIAR VACINA ou estou enganada?  NÃO SABIA dos problemas que desde 2017 JÁ ROLAVA no  ?,2,1
Mandetta gastando 25 milhões com gel pra nego dar a bunda é foda Mais foda ainda o presidente não ver isso aí Vai deixar pra mandar o cara embora agora com a mídia mamando ele,"1- São 25 milhões de UNIDADES de gel, no valor de R$ 4 milhões   2- O Mandetta n teve ação direta na renovação desse contrato (é o mesmo q distribui camisinha etc)  Mas como bolsonarista é desonesto, vai espalhar que cara foi lá e resolveu torrar R$ 25 milhões pra galera dar o cu",2,1
"Para surpresa de ninguém, o boato que deputados bolsonaristas e blogueiros de crachá estão espalhando hoje é MENTIRA. 25 milhões é o número de unidades do lubrificante distribuídos.","A fritura do Mandetta começou do jeito mais eficiente possível, seguindo a receita acusação de corrupção +”desvio"" moral",2,0
Sílvio Santos também indica nome a Bolsonaro para lugar de Mandetta,Imagina quando algum professor precisar explicar o Brasil de 2020 em uma sala de aula,2,0
Favorito à sucessão de Mandetta já ganha apelido: “Cocheiro do vampiro”,Sera a cara!!,2,0
"De acordo com a nova Pesquisa do Atlas, Mandetta tem aprovação de quase 80% dos entrevistados. Diante desse número e se o presidente Lula não puder concorrer, vocês votariam em quem para presidente?","1• ERRO”PRESIDENTE LULA???? NÃO,  P R E S I D I Á R I O , pesquisa de canhota, outra coisa “ SE” tb errado PRESIDIÁRIO NÃO CONCORRE À ELEIÇÕES, só se for pra chefe de ala presidiária",2,1
"Homem fraco e de péssima índole, permitiu que a ganância lhe tomasse por completo e passou a se achar o cara mais importante do país. Um tolo, na realidade.",Fraco  Péssima índole  Ganancioso  EGO bem MAIOR que o COVID-19  Oportunista Imbecil? SONHO secreto: governar os brasileiros,2,0
Mandetta diz que vermífugo Anitta é o ‘remédio misterioso’ anunciado por Pontes como solução para coronavírus,"É cloroquina, é vermífugo... In vitro matam o vírus. Água e sabão tb mata o vírus! Se pra sair testando em humanos qq coisa q mata o vírus, pq não testar pílulas de água e saponáceo tb?",2,0
"Em reunião com Bolsonaro, oncologista faz exposição e é sondado para o lugar de Mandetta","ser ministro do bolsonaro é a mesma coisa que ser técnico de futebol no brasil, se deixa a diretoria instisfeita é mandado embora",2,0
"A maioria esmagadora dos brasileiros é contrária à demissão de Mandetta: 76,2% dos entrevistados discordam do afastamento do ministro da Saúde, segundo pesquisa realizada pelo Atlas Político. Vc concorda com o resultado da pesquisa?   via",Não! eu acho que já era para ter sido demitido a muito tempo...,2,1
"“Eu escolhi minha equipe por currículo..... ” “Nós temos a defesa da vida, a defesa do SUS e a defesa da ciência” Luiz Henrique Mandetta , Ministro da Saúde do Brasil.",E você acreditou?!,2,1
Gabarito Mandetta: Alguém sabe? 1. O No. de curados e o que os curou? 2. O No. de infectados? 3. O No. de novas UTIs concluídas? 4. O No. de pessoas internadas? 5. O % de ocupação dos novos leitos? 6. O No. de hospitais com 100% de EPIs? Nem me lembrem que houve o Mandetta.,Responde aí,2,0
Sílvio Santos também indica nome a Bolsonaro para lugar de Mandetta,Liminha,2,0
"Cancelar o Carnaval teria sido medida adequada, diz Drauzio // Não diga! Olha, eu não sou médico, mas essa estava meio fácil de supor...","O senhor Drauzio Doria Varella, (não pode ser considerado médico é igual ao Mandetta). Esta numa fase que eu chamo de Caetano Louco Veloso! (Não se lembra mais de letras de musica, quem é o compositor, como tocar um instrumento). Esquecidinho... Esquecidinho. Eu, hein!",2,0
