tweet_1,tweet_2,Class,Conflict
E eu que li a notícia com “Mandetta demite Bolsonaro “ Seria meu sonho,mandetta é um oasis de lucidez no meio de um mainstream politico totalmente polarizado,0,
So queria mostrar a minha proposta de emenda a constituição: proibido o acesso qualquer pessoa que não defenda o SUS de a qualquer atendimento médico.  O que acham?  ps.: vai se fuder mandetta e bolsonaro,Nelson Erich é o novo Ministro sa Saúde! #BolsonatoTemRazao By Mandetta!,0,
Bolsonaro demite Mandetta e coloca o Brasil no piloto automático.  Rumo a um prédio,"""Você conversa hoje, a pessoa entende, diz que concorda, depois muda de ideia e fala tudo diferente. Você vai, conversa, parece que está tudo acertado e, em seguida, o camarada muda o discurso de novo. Já chega, né? Já ajudamos bastante.""",0,
é sério que tem gente que ficou feliz com a saída d mandetta? vai se fuder porra,"16/04/2016 Mandetta para  ""tchau querida"" 16/04/2020 Mandetta Demitido pelo incompetente ""Bozo"".",0,
"Mandetta demitido, só jesus na causa","Para quem não sabe Mandetta é golpista, não era a favor do SUS (apoiava hospitais privados e plano de saúde), entre outras coisas que ele tem como convicções  E com isso o Bolsonaro de tão ruim que é, me fez defender Mandetta, Caiado, Mácron, etc.",0,
"Há pouco o Mandetta TOSSIU na entrevista sem colocar o braço p/ evitar espalhar gotículas, COMO ELE PEDE TODO DIA QUE OS OUTROS FAÇAM. Ficou sem graça e encerrou a entrevista // Faça o que eu falo, não faça o que eu faço #MandettaDEMITIDO #Mandetta",Sem o mandetta agora é que o brasil tá fudido mermo Tava ruin Mioro Mas agora parece q piorou,0,
"única perspectiva desse governo bolsonaro é que ele quer afundar o país mesmo, mandetta fazendo um trabalho impecável, só porque vai contra a opinião dele, ele quer mandar embora","Nesse perfil:  Mandetta: um filha da puta sem escrúpulo privatista arrombado, não jogamos no mesmo time, mas agradeço por ter batido de frente com o capitão corona e por tudo que fez nessa pandemia  Bolsonaro: Não desejo mal pra ninguém, só pra ele, por mim que morra agonizando",0,
"Não é pq Teich é péssimo que o Mandetta é bom.  Mandetta cresceu muito e acho mesmo que foi de caso pensado, ele continua sendo um fascista, não esqueçamos.","Para implementar sua política nefasta q nega a ciência e a COVID-19, Bolsonaro  vai tirar o timoneiro Mandetta. Isso pode custar muitas vidas! É hora de agir  , sob pena de se tornarem cúmplices das atitudes de um disparatado.",0,
"Mainha lamentando q ""pelo menos Mandetta era bonito""  kkk Aiai",não acredito que vcs são das do mandetta,0,
Motivo da demissão do Mandetta: ser mais competente e querido que o presidente.,Havia um conflito no governo! MANDETTA queria as pessoas em casa e BOLSONARO queria as pessoas trabalhando! BOLSONARO se deu por vencido e mandou  MANDETTA ficar em casa!,0,
BOLSONARO DEMITE MANDETTA  IVY QUASE LÍDER   MAIS UMA VEZ O MAU VENCE,Bolsonaro demitiu Mandetta  Nós:,0,
"É as panelas nao param no Rio de Janeiro, contra Bolsonaro, o traste,  nessa quinta, 16 de abril, enquanto ele falava da demissão de Mandetta.  Dois cretinos!","E agora com a saída do Mandetta que por sinal era um dos mais lúcidos no governo, viraremos uma Itália na vida ou um EUA, em relação aos grandes números de mortos pelo corona ?",0,
"Porra de síndrome do menos pior, se fuder, galera virou viúva do mandetta porra? Não fode","hummmmmm... isso que estranhei também basilia, o mandetta presente. não percebia que participava da posse, mas ele falou muito né? inédito pra quem tá sendo demitido. deram a palavra a ele... #livecnnbrasil",0,
"Mandetta fez um bom trabalho, não merecia ser demitido. PORÉM, não é “mártir” de nada, só pesquisar o que ele fez enquanto deputado pra saber disso.","Será que teremos regime ditatorial? Cada vez mais militares ocupam cargos no executivo e tem influenciado as atividades do Bolsonaro. Com medo do sucesso de Mandetta e não aceitando visão diferente da sua, o demitiu o melhor ministro de seu governo, revelando seu facismo.",0,
Bah Bolso tu pisou na bola dessa vez...última coisa q devia fazer agora era demitir o Mandetta ULTIMA,"-Demitir Mandetta era necessário?Sim.  -Esse era o momento certo?Não.  Mas, vamos vê o q esse novo Ministro da Saúde nos trará de diferente. Com certeza terá uma sintonia melhor com o Presidente. Pois o mesmo insiste na Cloroquina, o Mandetta n. Esse o real motivo de sua saída.",0,
Mandetta acaba de chegar no Palácio do Alvorada para reunião com o presidente Jair Bolsonaro. O ministro da Saúde pode deixar a pasta nesta 5ª feira (16.abr).,"A Globo está dizendo que a demissão do Mandetta foi negativa e que a maioria dos políticos não aprovaram. Mostrou os políticos q lamentaram a saída do Mandetta: Maia, Alcolumbre, Felipe Santa Cruz (presidente da OAB), Camilo Santana (governador do Ceará pelo PT). Só gente fina!",0,
Entenda o estrago q Mandetta fez no Min. Saúde e o que Witzel tem feito pra acabar com o RJ. #BolsonaroTemRazao,lambendo o saco do Bolsonaro e metendo o pau no Mandetta é ridículo. Datena você é patético.,0,
"Se com o Mandetta já estava ruim, sem ele a merda vai feder, hospitais vão trasbordar e multidões vão morrer.",Sem surpresas no caso Mandetta... Esse movimento é a cara do atual governo,0,
“Mandetta tinha que sair pq tava dando mta entrevista pra globo e falando mal do presidente” MEU DEUS,"São Mandetta, Não Tão Santo",0,
Saudades #Mandetta #ObrigadoMandetta #ForaBolsonaro,É Mandetta pelo visto vc é bem rápido! Antes de ser despedido pelo PR já ajeitou uma ocupaçãozinha pra dona Terezinha! Uai até deu rima! CANALHICE comendo solta!  #ForaMandettaUrgente,0,
o lixo do presidente demitiu o mandetta vai tomar no cu,"Mandetta: “guiem-se pela Ciência, Ciência, Ciência”.  ...5 minutos depois...  Ajoelha-se pedindo um milagre de Irmã Dulce, segundo a matéria-campanha da Folha.   Pqp.",0,
curtindo tweets que chingando o mandetta no entendo com teor esquerdista,"Nossa, mais o povo adora um mimimi, deixa o Mandetta ir embora, oxi. Ele queria ir embora mesmo!",0,
Mandetta saiu kkkk,"QUARENTENA É MESMO EFICAZ COMO APREGOAM MANDETTA, CAIADO E SEUS ASSECLAS ESQUERDISTAS? JORNALISTA NORTE-AMERICANO DA FOX NEWS METE O DEDO NA FERIDA.",0,
"Muito triste , O Mandetta era sensato, esse novo é louco, se morrer todos os idosos que se foda, o que importa é manter os novos, que em suma abusam da bebida,fumo,drogas e não tem porra de experiencia alguma para passar. Espero que tenha exista lugar para enterrar.","Mandetta fez um bom trabalho, mas se perdeu no “ pico”... não trazia estimativas o que trazia muita insegurança e medo para aqueles que precisam trabalhar para ter seu sustento.",0,
"Demissão de Mandetta é rejeitada por 76,2%, diz pesquisa da Atlas Político | Política | Valor Econômico",QUAL SERÁ O PORQUE DESSA DEMISSÃO??,1,
"“Eu escolhi minha equipe por currículo..... ” “Nós temos a defesa da vida, a defesa do SUS e a defesa da ciência” Luiz Henrique Mandetta , Ministro da Saúde do Brasil.","Basta proclamar frases belas e humanista, que você se tornará  límpido e altruísta. Você ascenderá para um estágio de "" cidadão do bem, que tem como efeito o esquecimento de seu passado ( Satanás et al, 2700 A.C) Mandetta é um demagogo seboso.",1,
"Bruno Boghossian | Mandetta mostra que Bolsonaro é o inimigo do combate ao coronavírus. Dentro do Planalto, ministro demissionário submete presidente a uma humilhação pública ()","No mundo imaginário.  No mundo real, o Mandetta teve 4 meses para preparar o Brasil contra a pandemia e não fez nada!",1,
"A maioria esmagadora dos brasileiros é contrária à demissão de Mandetta: 76,2% dos entrevistados discordam do afastamento do ministro da Saúde, segundo pesquisa realizada pelo Atlas Político. Vc concorda com o resultado da pesquisa?   via","ISSO NÃO É VERDADE, MANDETTA É UM PICARETA...",1,
