tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict
"Alguém pode me explicar quem levantou a pauta de aborto ontem? De onde surgiu e como? Eu não entendi nada, peguei o bonde andando. Só sei que #AbortoNao.",Se vc vem opinar numa tag feminina sendo contra o aborto tudo q vc disser será automaticamente anulado e a gente vai zuar com sua cara #AbortoSim,0,0.0380989722907543,0.9619010090827942,
#AbortoSim ELAS QUE DECIDEM !,"Ai que inferno, é vc que está com o feto no útero, se não o #AbortoNao é da sua conta. Pelo amor",0,0.041761789470911,0.9582381844520568,
"“Se somos escravos do ontem, somos donos de nosso amanhã.”  #AbortoNao","o engraçado é que quando você entra no “aborto não” só tem macho escroto, querendo colocar o dedinho aonde não foi chamado. nos poupe de tanta merda. #AbortoSim",0,0.0452115572988987,0.9547884464263916,
"Vamos ser coerentes, não faz sentido tirar a vida de uma pessoa que não cometeu crime algum (feto) quando o mesmo não ocorre com alguém que cometeu barbáries (assassinos, estupradores, etc). #AbortoNao","#AbortoSim  Mas quanta pretensão  Vocês nem sabem se vão sobreviver ao COVID-19, quiçá engravidar pra depois abortar  Faz-me tires baldes",0,0.0453753769397735,0.954624593257904,
"Sem condições e acaba abandonando na rua, você acha isso justo? Com uma criança? passar fome e frio enquanto isso poderia ser evitado? Bem no início da gravidez. Sem dor. Sem nada. #AbortoSIM #AbortoLegalYgratuito","Então vc acha q a fome, o frio, a pobreza se resolve no início da gravidez, evitando prosseguir com a gravidez? Eu nunca vou achar justo a desigualdade social, mas isso ñ é motivo p eu ser a favor do aborto, seja ele em qualquer etapa da gravidez. #AbortoNao",1,0.0478037856519222,0.95219624042511,
#AbortoNao pela vida e para vida,n sei pq tão discutindo isso porém #AbortoSim,0,0.056635558605194,0.943364441394806,
Basta de tanto sofrimento.  #AbortoNAO,"A partir do momento que várias mulheres morrem por querer fazer algo que não se sente a vontade ou preparada, a legalização se faz extremamente necessária, além disso não é lugar de fala de homem ou religião, até porque quem vai gerar e parir é a mulher #AbortoSim",0,0.0573720708489418,0.9426279067993164,
Fatos sobre o aborto no Brasil e no mundo que todos deveriam saber antes de entrar em uma discussão.  [A thread]  #AbortoSim,na sua opinião a cabeça de alguém que aborta vai continuar de boa após o ato?  #AbortoNao,2,0.0583153888583183,0.9416845440864564,
hoje tá foda viu essas # de monarquiaja e abortonao são p testar nossa paciência,Eu olhando o perfil dos acéfalos que levantam uma # dessa . A maioria vagabundos que querem se aproveita de leis para aliviar o lado deles de engravidar em meio a orgias e baile funk #AbortoSim,0,0.0762960687279701,0.923703908920288,
Direito à vida #AbortoNao,não podia ir dormir sem tentar subir essa # #AbortoSim,0,0.076553076505661,0.9234468936920166,
"da vida dessa menina que quando chegar em casa olhas para o bb e lembrar da atrocidade q fez ele existir,fetos não tem consciência #AbortoSim","Entendo e sinto pela garota, mas não resolvemos um crime cometendo outro #AbortoNao",1,0.0805274173617363,0.919472634792328,
"Quardar o pau e fechar as pernas também ajuda, mas... #AbortoSim","Só tem macho nessa #AbortoNao , omeee se aquietem, vão procurar oq fazer.  ATÉ NO CORPO DA MULHER VCS QUEREM MANDAR?",0,0.0806853324174881,0.9193146228790284,
"Aborto é ASSASSINATO não tem o que discutir, não é o seu corpo, não são suas regras, não é a sua vida, quem defende aborto está defendendo genocídio e é tão psicopata quanto Hitler, Mao e Stalin, aborto é a pior arma de destruição em massa que o ser humano inventou. #AbortoNao","Uma mulher abortista, poderia ter sido abortada. Ou seja, assassinada.  E não faria essa campanha que é crime contra a vida. A arte de se colocar no lugar. #AbortoNao Obs: nos casos já previstos de alto risco de morte no parto, ou crime de estupro, sou a favor.",0,0.0813451558351516,0.9186547994613647,
"Aborto não devia ser nem discutido. O feto nem tem vida antes de 3 meses, e mesmo depois ainda é um bebê que nem nasceu. Pra que fazer a criança e a mãe sofrer? Vai se foder, babaca. #AbortoSim","Homens não têm nem direito de opinar sobre isso, porra. #AbortoSim",1,0.118349090218544,0.8816509246826172,
#AbortoSim só vcs darem o cu suas porras,#AbortoSim se não como é que a nossa Pepsi geladinha vai ser adoçada???,0,0.1217331811785698,0.8782668113708496,
#AbortoSim  não é porque sou a favor que vou abortar,"#AbortoNunca eu vejo agora o pessoal subindo a tag #AbortoSim e elas falando que so quem tem utero pode dar a sua opnião, 5 min eu vi um travesti (que na verdade e homem) dando a sua opnião...",0,0.1259133666753769,0.8740866780281067,
Sou mulher e digo #AbortoNao,ok eu sou mulher e digo #AbortoSim,1,0.127217099070549,0.8727828860282898,
"A menos que você esteja grávida, #AbortoNao é da sua conta.",Pessoas que não conseguem entender que crença pessoal não tem que interferir na vida de outras pessoas (aka impor crença) e que aborto não é questão de opinião e sim de saúde pública...,2,0.1316643953323364,0.8683356046676636,
"Nessa briga de #AbortoSim e #AbortoNAO eu irei dar minha opinião como biólogo. Um feto só é considerado vivo a partir da 3 semana de gravidez (quando o sistema nervoso se forma). Portanto, um aborto antes desse período não é um assassinato, pois o que está dentro dá mulher ainda-","Quando vejo pessoas falando que aborto é um ""direito individual que deve ser respeitado"", só consigo lembrar daquela célebre frase do Paulo Kogos:  ""As fezes dos vermes valem mais do que a vida dos liberais"" #AbortoNAO",0,0.1692423969507217,0.8307576179504395,
"Todo mundo que apoiava a escravidão era livre, todo mundo que apoia o aborto já nasceu.   Falam em ""aborto seguro"". Pergunto, para quem? Afinal, o bebê sempre morre. #AbortoNao","????? kkkkkkkkkkkk ""todo mundo que apoia o aborto nasceu""",2,0.1741615533828735,0.8258385062217712,
#AbortoSim só vcs darem o cu suas porras,"#AbortoNao #AbortoSim  Tem como ir pra outra realidade onde td mundo é sensato? Juro q n to aguentando, CoronaVirus me leve daq",0,0.1862708777189254,0.8137291073799133,
"""vocês que usam a tag #AbortoNao são exatamente isso:"" mulheres abortistas são exatamente isso:",Se esse vídeo for a favor do aborto então ele é perfeito  #AbortoSim,2,0.1946399062871933,0.8053600788116455,
"""vocês que usam a tag #AbortoNao são exatamente isso:"" mulheres abortistas são exatamente isso:","As justificativas da tag #AbortoSim estão me lembrando aquelas pessoas que são a favor de exterminar todos os mendigos e todos os drogados para diminuir a violência e a pobreza. Estão falando que se a criança não nascer, ela não vai crescer com dificuldade em um ambiente toxico",0,0.2091105431318283,0.7908893823623657,
"O estado é laico, mas usar religião como argumento pra ser contra o aborto, daí pode, né?!  #AbortoSim","Em plena crise de corona vírus o STF se alia aos governadores, prefeitos e políticos que se dizem preocupados com a vida e ao mesmo tempo quer deliberar pelo assassinatos de bebês indefesos, é isso? #AbortoNao",0,0.2555393278598785,0.7444606423377991,
"#abortonao pfvr me chamem na dm pra podermos discutir isso,estou aberta a quem quiser mudat minha opiniao ou so conversar sobre o assunto,sem pressao sobre a opiniao nem censura,so apresentar oque vc acha sobre isso",Chega a ser engraçado ver q só tem homem enaltecendo a tag #abortonao k k chacota,0,0.2846591472625732,0.7153409123420715,
