tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict
Bolsonaro finalmente conseguiu forçar o Min. da Saúde a emitir protocolo que libera o uso em massa da cloroquina. Os pacientes terão que assinar um termo assumindo que o remédio não tem eficácia e que pode até matar. É um atentado contra a saúde pública e a vida dos brasileiros.,"Espero que vc é tds a sua volta fiquem a salvo do vírus chinês,e não necessitem da cloroquina",1,0.0232907645404338,0.976709246635437,1
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","Fez um inferno pra liberar esse caralho de medicamento  aí agora que libera, muda de discurso o arrombado !",2,0.0284276697784662,0.9715723395347596,1
Bolsonaro finalmente conseguiu forçar o Min. da Saúde a emitir protocolo que libera o uso em massa da cloroquina. Os pacientes terão que assinar um termo assumindo que o remédio não tem eficácia e que pode até matar. É um atentado contra a saúde pública e a vida dos brasileiros.,"Queria ver essa anta dessa Sâmia, fudida no hospital, na UTI entubada, se ela não tomaria cloroquina. HIPÓCRITA DO CARALHO!!!",1,0.0296727772802114,0.9703272581100464,1
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","vc é uma criança mimada e pirracenta. desleixado, não possui o mínimo de capacidade de governar uma nação inteira. “sem comprovação científica”, a resposta pro seu delírio de cloroquina está na sua própria sentença. vergonhoso.",1,0.0304307006299495,0.9695693254470824,1
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","""Não existe comprovação científica"" Porra presida c vai meter essa mesmo? Comer terra e tomar essa merda nesse momento da na mesma. Se nao existe comprovação por q caralhos c ta falando disso seu arrombado??????",2,0.0305267330259084,0.9694733023643494,1
Bolsonaro finalmente conseguiu forçar o Min. da Saúde a emitir protocolo que libera o uso em massa da cloroquina. Os pacientes terão que assinar um termo assumindo que o remédio não tem eficácia e que pode até matar. É um atentado contra a saúde pública e a vida dos brasileiros.,É só não tomar... Todo este discurso murcha quando o vírus Chinês pega o indivíduo lacrador... Estes são os primeiros a querer tomar a Cloroquina...,1,0.0309326462447643,0.9690672755241394,1
"Quer dar placebo pro povo? Dê, não tem problema. Mas não faça parecer que essa é a melhor medida para conter a epidemia. Precisamos de isolamento, testes, valorização da ciência e, mais importante, um LÍDER que dê bons exemplos. O placebo não vai mascarar a tua incompetência.",Ta ligado que o Curitiba é uma das cidades com melhor resultado no combate ao COVID? E tb que usa a cloroquina a um mês e meio?,1,0.03204832598567,0.9679516553878784,1
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.",foco no “não existe comprovação científica”,2,0.0335379019379615,0.9664621353149414,1
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","Presta atenção no ""NÃO EXISTE  COMPROVAÇÃO CIENTÍFICA""... esse é o tuite",2,0.0339680537581443,0.9660319685935974,1
Bolsonaro finalmente conseguiu forçar o Min. da Saúde a emitir protocolo que libera o uso em massa da cloroquina. Os pacientes terão que assinar um termo assumindo que o remédio não tem eficácia e que pode até matar. É um atentado contra a saúde pública e a vida dos brasileiros.,"A cloroquina existe desde 1955.2 meses atrás era vendida sem receita médica,foi usada por grávidas no combate ao zica virus, distribuída gratuitamente na Índia, Itália,usada no tratamento precoce na França,Japão,Rússia, Argentina, Venezuela, entre outros.Não use se não quiser,ok?",1,0.0345703475177288,0.9654297232627868,1
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.",Kkk como pode (não tem comprovação)e ridículo tem que ser fiscalizada essa compra de cloroquina aí tem coisa,1,0.0349240973591804,0.9650759696960448,1
Bolsonaro finalmente conseguiu forçar o Min. da Saúde a emitir protocolo que libera o uso em massa da cloroquina. Os pacientes terão que assinar um termo assumindo que o remédio não tem eficácia e que pode até matar. É um atentado contra a saúde pública e a vida dos brasileiros.,Só em tu ser contra isso mostra que a cloroquina é boa.,1,0.0362991914153099,0.963700830936432,1
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","...quando se fala em saúde todo e qualquer protocolo de assistência implementado deve ser baseado em evidências científicas, e hj as evidências apontam que não há nenhum benefício no uso da cloroquina. Não se refuta ciência com achismo.",1,0.0363451652228832,0.96365487575531,1
"hahaha.  Amigo, meus parentes são médicos. Não seguidores de olavo de carvalho. Estudaram. NUNCA RECEITARAM OU RECEITARIAM CLOROQUINA. Simplesmente pq não há evidências de que funciona. Aliás, tome xixi. Tb não há evidências de que funciona, mas é menos perigoso. Abs.","Seguidor de Olavo? Cara, você tá louco!  Já partiu para ignorância e falta de educação várias vezes!  Até agora não tem evidência para cloroquina, anticoagulante, vermicida... nada! Mas deve estar disponível, caso o médico queira usar! Deixa a pessoa morrer então? PUTZ!",1,0.0428332574665546,0.9571666717529296,1
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","O pior é estar em guerra e mandar um soldado na linha de frente com bala de festim, e dizer a ele que tem que lutar. Isso é um crime! A cloroquina está sendo a bala de festim!",1,0.0436681061983108,0.9563319087028505,1
Bolsonaro finalmente conseguiu forçar o Min. da Saúde a emitir protocolo que libera o uso em massa da cloroquina. Os pacientes terão que assinar um termo assumindo que o remédio não tem eficácia e que pode até matar. É um atentado contra a saúde pública e a vida dos brasileiros.,Quem for de direita toma cloroquina quem for de esquerda toma tubaína,1,0.0487832427024841,0.9512166976928712,1
"Bolsonaro queria mudar a bula do remédio, não deixaram. O tal protocolo é ctrl C + ctrl V do parecer do CFM. Uso off label é com os médicos. O resto é narrativa.",Narrativa imunda é o que vcs fazem nesse jornaleco lixo de vocês. Cloroquina funciona sim ! e efeito colateral até água tem ! toma 20 litros pra tu ver !,1,0.0492326989769935,0.95076721906662,1
"Apresentei um projeto de decreto legislativo p/ sustar o novo protocolo do  que recomenda uso precoce da cloroquina em pacientes com #Covid19, enqto não houver estudos científicos que comprovem sua eficácia. O presidente não deveria fazer uso político de algo tão sério.","O Sr. não tem vergonha de politizar algo tão sério, quando sabemos que todo e qualquer medicamento tem pros é contra?  Se por acaso vc for acometido pela covid-19 prefere a morte ou como o seu médico David Uip iracprescrevet Cloroquina a vc mesmo? Hipocrisia também mata Serra !",1,0.0498599894344806,0.9501400589942932,1
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","AINDA NÃO EXISTE COMPROVAÇÃO CIENTÍFICA, MAS AINDA NÃO EXISTE COMPROVAÇÃO CIENTÍFICA, MAS AINDA NÃO EXISTE COMPROVAÇÃO CIENTÍFICA, MAS AINDA NÃO EXISTE COMPROVAÇÃO CIENTÍFICA, MAS AINDA NÃO EXISTE COMPROVAÇÃO CIENTÍFICA, MAS AINDA NÃO EXISTE COMPROVAÇÃO CIENTÍFICA, MAS",2,0.0528109706938266,0.9471890330314636,1
"Apresentei um projeto de decreto legislativo p/ sustar o novo protocolo do  que recomenda uso precoce da cloroquina em pacientes com #Covid19, enqto não houver estudos científicos que comprovem sua eficácia. O presidente não deveria fazer uso político de algo tão sério.","Vc é um lixo!! Quem faz uso político da cloroquina é vc e seus amigos abutres. Quem não quise usar cloroquina, é muito simples, não usa! #PSDBNuncamais",1,0.0532845482230186,0.9467154741287231,1
"O governo de Bolsonaro não só está comprando matéria-prima para a produção de um medicamento que não é eficaz, como está pagando caro por isso. E quem paga a conta é o Brasil","tem que ver isso aí!!   façam a CPMI da Cloroquina, uma medicação INEFICAZ para COVID 19, com grande potencial de letalidade na dose “recomendada” pelo  e ainda mais gastando milhões, melhor seria usar no estudo da vacina.",1,0.0536308288574218,0.946369171142578,0
"Vc não pode gastar o que não tem, sabe que o debate tá perdido e prefere sacrificar doentes a admitir que a cloroquina cura o vírus da china. Vc não decide nem a sua vontade teleguiada, mas quer decidir pela vida dos outros.  Burro é você que não tem autonomia de pensamento.",Ou que sigo a ciência. Por mim você pode tomar cloroquina até em casa kkkkk vai fazer um favor ao mundo kkkkkk aproveita e toma bastante,1,0.055577527731657,0.944422483444214,1
Não há comprovação científica da eficácia da cloroquina.  Quem disse isso? Bolsonaro.  O mesmo Bolsonaro que só liberou novo protocolo sobre o uso em pacientes com quadro leves APÓS editar MP que o isenta de responsabilidade.  Isso é fazer cálculo político com VIDAS!,"Quanta cloroquina foi produzida pelo governo? Pq o desespero em enviar esse remédio para a população, sendo que nem efeito comprovado tem?",1,0.0568238161504268,0.9431761503219604,0
"Bolsonaro quer aplicar Cloroquina a qualquer custo. Porém, o paciente precisará assinar um termo de ciência que NÃO existem dados sobre a eficiência para Covid-19 e que está ciente que pode sofrer uma parada cardíaca. Você vira cobaia do Presidente e o isenta de responsabilidade.","tá na hora de deixar essa cloroquina quieta, e deixar o médico e o paciente resolverem essa questão;",1,0.0599270351231098,0.940073013305664,1
"A discussão sobre Cloroquina é falsa. Ela nunca foi proibida, nem será obrigatória. Os médicos mais atualizados, só prescrevem seguindo preceitos cientificos. Já os charlatões, usam de forma massiva pq nunca precisaram da ciência. A pressão do Bolsonaro não muda essa realidade.","Imprensa imunda e os esquerdopatas lutando contra o uso da Cloroquina, estes imbecis já leram a bula da dipirona, que vc compra em qualquer padaria da esquina?",0,0.0674273148179054,0.9325727224349976,1
