tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict
Bolsonaro finalmente conseguiu forçar o Min. da Saúde a emitir protocolo que libera o uso em massa da cloroquina. Os pacientes terão que assinar um termo assumindo que o remédio não tem eficácia e que pode até matar. É um atentado contra a saúde pública e a vida dos brasileiros.,"Espero que vc é tds a sua volta fiquem a salvo do vírus chinês,e não necessitem da cloroquina",1,0.023290764540433884,0.976709246635437,
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","Fez um inferno pra liberar esse caralho de medicamento  aí agora que libera, muda de discurso o arrombado !",2,0.028427669778466225,0.9715723395347595,
Bolsonaro finalmente conseguiu forçar o Min. da Saúde a emitir protocolo que libera o uso em massa da cloroquina. Os pacientes terão que assinar um termo assumindo que o remédio não tem eficácia e que pode até matar. É um atentado contra a saúde pública e a vida dos brasileiros.,"Queria ver essa anta dessa Sâmia, fudida no hospital, na UTI entubada, se ela não tomaria cloroquina. HIPÓCRITA DO CARALHO!!!",1,0.02967277728021145,0.9703272581100464,
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","vc é uma criança mimada e pirracenta. desleixado, não possui o mínimo de capacidade de governar uma nação inteira. “sem comprovação científica”, a resposta pro seu delírio de cloroquina está na sua própria sentença. vergonhoso.",1,0.03043070062994957,0.9695693254470825,
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","""Não existe comprovação científica"" Porra presida c vai meter essa mesmo? Comer terra e tomar essa merda nesse momento da na mesma. Se nao existe comprovação por q caralhos c ta falando disso seu arrombado??????",2,0.03052673302590847,0.9694733023643494,
Bolsonaro finalmente conseguiu forçar o Min. da Saúde a emitir protocolo que libera o uso em massa da cloroquina. Os pacientes terão que assinar um termo assumindo que o remédio não tem eficácia e que pode até matar. É um atentado contra a saúde pública e a vida dos brasileiros.,É só não tomar... Todo este discurso murcha quando o vírus Chinês pega o indivíduo lacrador... Estes são os primeiros a querer tomar a Cloroquina...,1,0.030932646244764328,0.9690672755241394,
"Quer dar placebo pro povo? Dê, não tem problema. Mas não faça parecer que essa é a melhor medida para conter a epidemia. Precisamos de isolamento, testes, valorização da ciência e, mais importante, um LÍDER que dê bons exemplos. O placebo não vai mascarar a tua incompetência.",Ta ligado que o Curitiba é uma das cidades com melhor resultado no combate ao COVID? E tb que usa a cloroquina a um mês e meio?,1,0.03204832598567009,0.9679516553878784,
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.",foco no “não existe comprovação científica”,2,0.03353790193796158,0.9664621353149414,
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","Presta atenção no ""NÃO EXISTE  COMPROVAÇÃO CIENTÍFICA""... esse é o tuite",2,0.03396805375814438,0.9660319685935974,
Bolsonaro finalmente conseguiu forçar o Min. da Saúde a emitir protocolo que libera o uso em massa da cloroquina. Os pacientes terão que assinar um termo assumindo que o remédio não tem eficácia e que pode até matar. É um atentado contra a saúde pública e a vida dos brasileiros.,"A cloroquina existe desde 1955.2 meses atrás era vendida sem receita médica,foi usada por grávidas no combate ao zica virus, distribuída gratuitamente na Índia, Itália,usada no tratamento precoce na França,Japão,Rússia, Argentina, Venezuela, entre outros.Não use se não quiser,ok?",1,0.034570347517728806,0.9654297232627869,
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.",Kkk como pode (não tem comprovação)e ridículo tem que ser fiscalizada essa compra de cloroquina aí tem coisa,1,0.03492409735918045,0.9650759696960449,
Bolsonaro finalmente conseguiu forçar o Min. da Saúde a emitir protocolo que libera o uso em massa da cloroquina. Os pacientes terão que assinar um termo assumindo que o remédio não tem eficácia e que pode até matar. É um atentado contra a saúde pública e a vida dos brasileiros.,Só em tu ser contra isso mostra que a cloroquina é boa.,1,0.036299191415309906,0.9637008309364319,
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","...quando se fala em saúde todo e qualquer protocolo de assistência implementado deve ser baseado em evidências científicas, e hj as evidências apontam que não há nenhum benefício no uso da cloroquina. Não se refuta ciência com achismo.",1,0.036345165222883224,0.9636548757553101,
"hahaha.  Amigo, meus parentes são médicos. Não seguidores de olavo de carvalho. Estudaram. NUNCA RECEITARAM OU RECEITARIAM CLOROQUINA. Simplesmente pq não há evidências de que funciona. Aliás, tome xixi. Tb não há evidências de que funciona, mas é menos perigoso. Abs.","Seguidor de Olavo? Cara, você tá louco!  Já partiu para ignorância e falta de educação várias vezes!  Até agora não tem evidência para cloroquina, anticoagulante, vermicida... nada! Mas deve estar disponível, caso o médico queira usar! Deixa a pessoa morrer então? PUTZ!",1,0.04283325746655464,0.9571666717529297,
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","O pior é estar em guerra e mandar um soldado na linha de frente com bala de festim, e dizer a ele que tem que lutar. Isso é um crime! A cloroquina está sendo a bala de festim!",1,0.04366810619831085,0.9563319087028503,
Bolsonaro finalmente conseguiu forçar o Min. da Saúde a emitir protocolo que libera o uso em massa da cloroquina. Os pacientes terão que assinar um termo assumindo que o remédio não tem eficácia e que pode até matar. É um atentado contra a saúde pública e a vida dos brasileiros.,Quem for de direita toma cloroquina quem for de esquerda toma tubaína,1,0.04878324270248413,0.9512166976928711,
"Bolsonaro queria mudar a bula do remédio, não deixaram. O tal protocolo é ctrl C + ctrl V do parecer do CFM. Uso off label é com os médicos. O resto é narrativa.",Narrativa imunda é o que vcs fazem nesse jornaleco lixo de vocês. Cloroquina funciona sim ! e efeito colateral até água tem ! toma 20 litros pra tu ver !,1,0.04923269897699356,0.9507672190666199,
"Apresentei um projeto de decreto legislativo p/ sustar o novo protocolo do  que recomenda uso precoce da cloroquina em pacientes com #Covid19, enqto não houver estudos científicos que comprovem sua eficácia. O presidente não deveria fazer uso político de algo tão sério.","O Sr. não tem vergonha de politizar algo tão sério, quando sabemos que todo e qualquer medicamento tem pros é contra?  Se por acaso vc for acometido pela covid-19 prefere a morte ou como o seu médico David Uip iracprescrevet Cloroquina a vc mesmo? Hipocrisia também mata Serra !",1,0.04985998943448067,0.9501400589942932,
