tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict_Caio,Conflict_Victor
Bolsonaro finalmente conseguiu forçar o Min. da Saúde a emitir protocolo que libera o uso em massa da cloroquina. Os pacientes terão que assinar um termo assumindo que o remédio não tem eficácia e que pode até matar. É um atentado contra a saúde pública e a vida dos brasileiros.,"Espero que vc é tds a sua volta fiquem a salvo do vírus chinês,e não necessitem da cloroquina",1,0.0232907645404338,0.976709246635437,1,1
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","Fez um inferno pra liberar esse caralho de medicamento  aí agora que libera, muda de discurso o arrombado !",2,0.0284276697784662,0.9715723395347596,1,1
Bolsonaro finalmente conseguiu forçar o Min. da Saúde a emitir protocolo que libera o uso em massa da cloroquina. Os pacientes terão que assinar um termo assumindo que o remédio não tem eficácia e que pode até matar. É um atentado contra a saúde pública e a vida dos brasileiros.,"Queria ver essa anta dessa Sâmia, fudida no hospital, na UTI entubada, se ela não tomaria cloroquina. HIPÓCRITA DO CARALHO!!!",1,0.0296727772802114,0.9703272581100464,1,1
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","vc é uma criança mimada e pirracenta. desleixado, não possui o mínimo de capacidade de governar uma nação inteira. “sem comprovação científica”, a resposta pro seu delírio de cloroquina está na sua própria sentença. vergonhoso.",1,0.0304307006299495,0.9695693254470824,1,1
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","""Não existe comprovação científica"" Porra presida c vai meter essa mesmo? Comer terra e tomar essa merda nesse momento da na mesma. Se nao existe comprovação por q caralhos c ta falando disso seu arrombado??????",2,0.0305267330259084,0.9694733023643494,1,1
Bolsonaro finalmente conseguiu forçar o Min. da Saúde a emitir protocolo que libera o uso em massa da cloroquina. Os pacientes terão que assinar um termo assumindo que o remédio não tem eficácia e que pode até matar. É um atentado contra a saúde pública e a vida dos brasileiros.,É só não tomar... Todo este discurso murcha quando o vírus Chinês pega o indivíduo lacrador... Estes são os primeiros a querer tomar a Cloroquina...,1,0.0309326462447643,0.9690672755241394,1,1
"Quer dar placebo pro povo? Dê, não tem problema. Mas não faça parecer que essa é a melhor medida para conter a epidemia. Precisamos de isolamento, testes, valorização da ciência e, mais importante, um LÍDER que dê bons exemplos. O placebo não vai mascarar a tua incompetência.",Ta ligado que o Curitiba é uma das cidades com melhor resultado no combate ao COVID? E tb que usa a cloroquina a um mês e meio?,1,0.03204832598567,0.9679516553878784,1,1
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.",foco no “não existe comprovação científica”,2,0.0335379019379615,0.9664621353149414,1,1
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","Presta atenção no ""NÃO EXISTE  COMPROVAÇÃO CIENTÍFICA""... esse é o tuite",2,0.0339680537581443,0.9660319685935974,1,1
Bolsonaro finalmente conseguiu forçar o Min. da Saúde a emitir protocolo que libera o uso em massa da cloroquina. Os pacientes terão que assinar um termo assumindo que o remédio não tem eficácia e que pode até matar. É um atentado contra a saúde pública e a vida dos brasileiros.,"A cloroquina existe desde 1955.2 meses atrás era vendida sem receita médica,foi usada por grávidas no combate ao zica virus, distribuída gratuitamente na Índia, Itália,usada no tratamento precoce na França,Japão,Rússia, Argentina, Venezuela, entre outros.Não use se não quiser,ok?",1,0.0345703475177288,0.9654297232627868,1,1
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.",Kkk como pode (não tem comprovação)e ridículo tem que ser fiscalizada essa compra de cloroquina aí tem coisa,1,0.0349240973591804,0.9650759696960448,1,1
