tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict
"Bolsonaro quer aplicar Cloroquina a qualquer custo. Porém, o paciente precisará assinar um termo de ciência que NÃO existem dados sobre a eficiência para Covid-19 e que está ciente que pode sofrer uma parada cardíaca. Você vira cobaia do Presidente e o isenta de responsabilidade.","tá na hora de deixar essa cloroquina quieta, e deixar o médico e o paciente resolverem essa questão;",1,0.0599270351231098,0.940073013305664,
"A discussão sobre Cloroquina é falsa. Ela nunca foi proibida, nem será obrigatória. Os médicos mais atualizados, só prescrevem seguindo preceitos cientificos. Já os charlatões, usam de forma massiva pq nunca precisaram da ciência. A pressão do Bolsonaro não muda essa realidade.","Imprensa imunda e os esquerdopatas lutando contra o uso da Cloroquina, estes imbecis já leram a bula da dipirona, que vc compra em qualquer padaria da esquina?",0,0.0674273148179054,0.9325727224349976,
"“Redução dos glóbulos brancos, disfunção do fígado, disfunção cardíaca e arritmias”","Meu avô começou tomar cloroquina com 80 anos p reumatismo, morreu com 98 quando dormia.  No meu avô ñ teve todos esses efeitos colaterais não",1,0.0754670798778534,0.924532949924469,
"Os médicos concordam que a proposta de tratamento deve ser conversada entre o médico e o paciente, da maneira “mais democrática e saudável possível”",Se a cloroquina é a tal pq o paciente tem q assinar um termo de responsabilidade. Manda o general com cara de bebê sauro assinar.,1,0.080985814332962,0.9190141558647156,
"Vi no Jornal da Globo uma descrição dos efeitos colaterais da Cloroquina e da Hidroxocloroquina.  A partira daí,  parece que é melhor dar um tiro na própria cabeça do que usar esses medicamentos. Não sei como o pessoal que usou para combater a malária sobreviveu.","Ja leu as bulas da DIPIRONA, AS, e de outros comuns ? É  melhor ir para a selva e começar a se ""consultar"" com o pajé.  Estranho é que a 2 anos atrás  falava-se do uso em gravidas para a Zika, agora essa bandalheira. O problema da HCC é que CURA, INCLUSIVE A CORRUPÇÃO.",2,0.0828296318650245,0.9171703457832336,
"Tomo cloroquina há 16 anos. A dosagem é super- controlada através de exames periódicos. O uso excessivo pode danificar rins, fígado, pâncreas além da questão cardíaca! Esse irresponsável que que a população se exploda!!!",Creio que seja controlada a dosagem ...e não fazer um bolo de cloroquina com recheio de azitromicina.,1,0.0986673757433891,0.9013326168060304,
"Calma, bando de 0tári0.  O tratamento está acabando. E isso diz na própria matéria. PRIMEIRO parágrafo.","Otários? Se existe um tratamento preventivo que uma vez feito não se contrai mais COVID19 então é vacina! Aleluia! Eu sabia que o Trump tem cara, andar e fala de zé ruela, mas não é! Ele tinha a vacina e não falou pra ninguém! O nome dela é: cloroquina, cloroquina, cloroquina...",2,0.1204839572310447,0.879516065120697,
Acha mesmo q o brasileiro com pouco esclarecimento e vai ao posto de saúde sabe o q é cloroquina e seus efeitos colaterais?,"Tenho parente que tem esclerose Múltipla , toma Cloroquina a 8 anos 400 mg dia ! Remédio barato e eficaz ela nunca acusou efeito colateral !",1,0.165253609418869,0.8347464203834534,
"""tem tbm as pessoas q foram medicadas e recuperadas!"" da mesma forma que A GRANDE MAIORIA DAS PESSOAS QUE RECEBEM ALTA NÃO SÃO MEDICADAS COM CLOROQUINA, e melhoram. ou seja, a cura pode não ter vindo da cloroquina","Mtas pessoas foram recuperadas com vários tratamentos, porém, o n°. dos q morrem usando esses outros tratamentos, são esses divulgados toda hora, cada um com tratamentos diferentes! Mas, com a cloroquina tem menos mortes comprovadas em estudo científico! E, em vidas q o seguiram!",1,0.1855974942445755,0.8144025206565857,
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","não sou homofóbico, mas...",2,0.2401569783687591,0.7598430514335632,
