tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,A Sra curte uma censura?,1,0.0330650247633457,0.9669350385665894,1
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,"Um dia pode ser a sua conta bloqueada, quero ver se vai gostar, não comemore a falta de liberdade e censura, a não  ser que seja seu plano.",1,0.0339158959686756,0.966084122657776,1
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,"Pra tu que ama uma ditadura,é um grande dia...",1,0.0384078584611415,0.9615921974182128,1
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,"Saudade de uma censura, não é minha filha?",1,0.0395922660827636,0.9604076743125916,1
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,"Todo bom comunista comemora censura, depois sai na rua gritando por liberdade, coerência zero.",1,0.0439536422491073,0.9560463428497314,1
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,Incrível como comunista gosta de uma censura,1,0.0449573546648025,0.9550427198410034,1
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,"Comemorando censura, é muito tosca msm",1,0.0478489771485328,0.95215106010437,1
"Po, tem um monte de página no twt que propaga a antivacina. Cade o governo pra isso, se vocês são a favor do estado controlar a poha toda ok, mas continua sendo censura","Repito:  Não é censura qndo vc já foi avisado, explicado e esclarecido do pq vc deve parar.",1,0.0486232712864875,0.9513766765594482,1
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,Gente de esquerda PTRALHAS batendo palmas para censura piada pronta,1,0.0489650331437587,0.9510350227355956,1
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,"Só CÚmunistinha caviar e acéfala comemora tamanha arbitrariedade! Hj censura um lado, amanhã o seu lado... mas otaria não percebe! Não possui o mínimo de discernimento para compreender a atual situação! Aproveitando, como estão as missas online, tá curtindo?",1,0.0520396009087562,0.9479604363441468,1
"Caralho, mas o 2 é o melhor é como se tivesse sem censura, porquê dá pra ver o pau facilmente","mano, você quer ver o pau dos cara?? eu n gosto dessa censura pq as vezes, cobra a bct toda",1,0.0664945617318153,0.9335054755210876,0
"Hoje são   Allan dos Santos Bernardo Kuster Edson Salomão Luciano Hang Roberto Jefferson Otávio Fakhoury Sara Winter   Amanhã pode ser vc.  Vc, conservador. Vc, que apoia Bolsonaro.   E vc tbm, idiota de esquerda que tá comemorando essa censura covarde.  #VozParaBernardoKuster","""censura covarde"",ok, então isso quer dizer que qualquer ralé por aí pode sair falando inverdades baseado em nada e ainda mais gerando ódio e mais ódio podem ficar impunes? Ah tá",1,0.0711979642510414,0.9288020133972168,1
"Caio, sério que vc está comemorando censura? Dizendo que o ""ambiente melhorou""? Parece os saudosistas do Reg. Militar dizendo q ""naquele tempo não tinha mendigo na rua""...",Que censura?,1,0.0726047158241272,0.927395224571228,1
"Já é hora, já passou da hora de acabar com esse inquérito inconstitucional, com ares de censura, que não soma nada -- só enxovalha mais o combalido Judiciário brasileiro.","“Ares de censura” , vc está muito condescendente hj ... estamos no caminho da Venezuela e o Congresso parece apoiar .",1,0.0741615667939186,0.9258384108543396,0
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,Bolsonaro22  Sem censura,1,0.0745904967188835,0.9254095554351808,0
Os idiotas que comemoram a censura nem imaginam que mais cedo ou mais tarde será com eles,Combater mentiras não é censura.,1,0.0818905234336853,0.91810941696167,1
A turma que tem medo do Presidente BOLSONARO assiona o Ai-5. Hoje comemorar a censura do STF.    Hipócritas é pouco pra esses porcos.  A esquerda brasileira é uma merda.  #FreedomOfSpeech,"então  , não foi censura ?",0,0.0851334109902381,0.9148666262626648,0
"Você pode odiar o Bolsonaro, mas se vc não for contra a censura do STF, em breve, vc mesmo pode ser vítima dela. Isso atinge o Brasil.  ""Posso não concordar com nenhuma das palavras que você disser, mas defenderei até a morte o direito de você dizê-las.""  Evelyn Beatrice Hall",Vc ta pedindo demais   Essas pessoas não estão ligando p censura p liberdade não isso só funciona p lado deles  Se for do outro pode fazer o q for,1,0.0882693380117416,0.911730706691742,0
"Quem apoia e dá ouvidos a corruptos que assaltaram cofres públicos, como Roberto Jefferson, não deveriam usar a bandeira brasileira no perfil. Pois você é tudo, amigo, menos patriota.","1. Vc é putinha vingativa de MBL e eu não precisei falar nada da vergonha e da culpa q vc carrega compartilhando conteúdo dessa gente até agora. Pq n preciso ser tão baixo pra acusar ngm de ser ""apoiador "" de corrupto.",2,0.0902229323983192,0.9097771048545836,1
"Grande dia? Eu não gosto da Sara mas isso é censura, pura e simples.","Grande dia? Até que o lixo da extrema esquerda vá para o mesmo bueiro aí talvez ele reclame tbm Mal do brasileiro é torcer para q aconteça com o outro oq não quer que aconteça com si próprio Bolsopetistas é isso mesmo Os dois são a favor da censura,desde q não sejam os censurados",1,0.0962079763412475,0.9037920236587524,0
"Impedir os ativistas de direita de se manifestarem pelas mídias sociais é censura prévia. Uma coisa é investigar e eventualmente punir por aquilo que publicaram; outra, inteiramente diferente, é impedir que falem.",Se eles quebram regras da plataforma. Não é censura. Combater discussão de ódio não é censura.,1,0.1001449152827262,0.8998551368713379,1
"Se vocês não perceberam ainda, quem pede para vocês não criticarem, ficarem quietos sobre a PL da Censura e com os excessos do careca porque ""vai dar tudo certo"" tá querendo ferrar todos vocês.  Vocês já estão se acostumando com a censura e nem estão percebendo.","O mais engraçado de tudo, incrivelmente, eles não fazem parte do inquérito, não sofreram buscas e nem censura. Só coincidência, tá!?",1,0.106448970735073,0.8935510516166687,0
"Hoje são   Allan dos Santos Bernardo Kuster Edson Salomão Luciano Hang Roberto Jefferson Otávio Fakhoury Sara Winter   Amanhã pode ser vc.  Vc, conservador. Vc, que apoia Bolsonaro.   E vc tbm, idiota de esquerda que tá comemorando essa censura covarde.  #VozParaBernardoKuster","O esquerdista comemorando a censura, cedo ou tarde vai cair em uma versão da citação de Niemöller:  ""Quando a censura veio calar os conservadores, eu fiquei em silêncio. Eu não era conservador.............  O final, hmmmm, é maravilho para todos!",1,0.1147030740976333,0.8852969408035278,0
"Quem comemora a censura hoje, será alvo da censura amanhã. É a lógica de qualquer ditadura.",Se precisa calar é pq a esquerda precisa apelar para tentar ganhar o jogo na sociedade! Revoltante a censura e a falta de respeito com a opinião da direita!,1,0.1193266287446022,0.8806734085083008,0
"Os senadores de Minas    Calados em relação a gravíssima e inaceitável censura imposta a cidadãos livres. O ataque as liberdades individuais, liberdade de expressão tem a cumplicidade do pior senado da história com um verme  ditador","GRANDE DIA   O quê a bolsolândia chama de censura,eu chamo de PAAAAZZZ de não ter o desprazer de ver as fakenews dessa quadrilha sendo compartilhadas a torto e a direita. Derruba tudo STF!!",0,0.123125746846199,0.8768742680549622,1
Sobre contas de conservadores sendo banidas: a liberdade de expressão é direito fundamental garantido em nossa Constituição e deve ser válida para todos.,Na hora de promover Lava-Toga vcs abafaram geral né?  Fica difícil combater censura dessa forma.,1,0.1286752969026565,0.8713247179985046,1
"A Partir do Momento que a Pessoa é impedida de expressar sua Opinião seja ela qual for e como for, É CENSURA. Não tem Conversa.","Não, a partir do momento em que essa expressão passa a se enquadrar em crime, parar a pessoa não é mais censura. Difamação, acusar pessoas de crimes sem ter provas, é crime.",1,0.1298136860132217,0.8701862692832947,1
"Não há como aceitar a censura. Não há como aceitar que aplaudam a censura. Liberdade de expressão a todos, aqueles que pensam como eu e os que pensam de forma diferente.",Não à censura. #VozParaBernardoKuster,1,0.1309527903795242,0.8690471649169922,0
