tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict
"Cês tão ligados que isso aqui é nível China de censura, né? Ou vão continuar achando normal e comemorando só porque prejudica a quem vocês não gostam?","Quando a censura afeta quem eu não gosto, pode chamar de ""justiça"".",1,0.0552516095340251,0.9447484016418456,
"O que vc pensa de um edital de cultura com censura prévia? A prefeitura de Porto Alegre lançou edital p/ auxílio emergencial cultural q restringe a liberdade de expressão dos artistas, impondo como condição q o assunto não tenha cunho político ou religioso.","Te decide, é a favor ou contra a censura.",1,0.0625810772180557,0.9374189972877502,
"Errado, se a lei disser que é proibido falar mal do presidente deixa de ser censura? Então não teve censura no regime militar?","Acho que estamos em círculos aqui, Andi. Já voltei a me repetir quanto à diferença de censura e crime. Acho que não tenho mais nada a contibuir. Obrigada pela conversa.",1,0.0733205005526542,0.92667955160141,
"Já é hora, já passou da hora de acabar com esse inquérito inconstitucional, com ares de censura, que não soma nada -- só enxovalha mais o combalido Judiciário brasileiro.",Quando o inquérito investiga só um lado dai é censura e não investigação,1,0.1172756552696228,0.8827243447303772,
e as redes sociais ficaram um pouco menos odiosas...,é censura do bem? é?,2,0.121124692261219,0.8788753151893616,
"Para quem defendia a morte do presidente, defender a CENSURA é fichinha. Não querem apenas calar o Presidente e seus apoiadores, mas calar e se possível matar. Não lute hoje e amanhã você estará na VENEZUELA.","Vc discorda DA MENSAGEM, NÃO do mensageiro. Porque",2,0.145344465970993,0.8546555042266846,
Censura contra a esquerda na ditadura militar: você criticava a ditadura e era morto  Censura atual: você fica 3 dias sem espalhar fakenews e xingar muito no twitter  Realmente é muita opressão contra blogueiros bolsonaristas,Na verdade nem se deve comparar a ditadura militar com essa onda de censura pelo simples fato que vc tá vivo mesmo sem concordar,1,0.2123219519853592,0.7876780033111572,
"Branca chorando pq uma pessoa falou q preferia o cabelo dela grande, imagina se ela escutasse comentários como ""bombril"" ""arbusto"" ""alisa"" ""prefiro de trança"" ""deu choque"". Ela ia se matar no primeiro dia, ai esse povo da mt biscoito pra branco mimado acham q a vida é um morango.",ah vai tomar no cu,2,0.3002951741218567,0.6997048258781433,
"Pegue o exemplo do Roberto Jefferson: é um cidadão que vem cometendo seguidos crimes contra a honra de diversas pessoas. Deve ser processado e pode ser condenado no penal e no cível, mas não vejo previsão legal que justifique cercear o seu livre direito de expressão.","O Roberto Jefferson não esta mentindo, ele fala c/ propriedade e sem medo. Não vejo crime como o sr. diz, muito longe disso.",1,0.3074963092803955,0.6925037503242493,
Esse autoritarismo do Ministro Alexandre de Moraes vai ficar por isso mesmo?       Não defenderão a liberdade de expressão?,odiamos censura mas só quando é pros nossos hehehehhe,0,0.3277213275432586,0.672278642654419,
ja agradeceram por serem jovens nessa geração e quando forem adultos não vão tratar os filhos de vcs assim?,"TW/// homofobia . . . . . . . . . . . esse video me da um gatilho tão grande, eu fiquei ontem o dia inteiro mal pq eu vi isso, dai vcs botam essa bosta na minha tml, pelo mesmo vcs avisem q nem eu fiz ali em cima.",2,0.3337578177452087,0.6662421822547913,
"Essa informação é falsa. A CPI da Lava Toga não tinha objeto delimitado, portanto, a alegação do jornalista em questão é fakenews.","O cara é tão safado, e você percebe que ele adora uma censura quando ele faz publicação apenas pro próprio cercadinho, mas ditadores são os outros.",1,0.5101692080497742,0.4898308217525482,
Os censurados pelo Twitter hoje:  Roberto Jeffesson Allan dos Santos Bernardo Kuster Edson Salomão Rodrigo Ribeiro Sara Giromini Edgard Corona Luciano Hang Otavio Fakhoury Marcelo Stachin Reynaldo Bianchi Júnior,Pelo twitter? O pássaro e vermelho mas teria essa coragem sozinho....,2,0.5743433833122253,0.425656646490097,
"a cada dia mais certo de que este site é um grande delírio coletivo, 90% das discussões que a gente tem aqui não acontecem em nenhum outro lugar","Ou você apoia o AI-5, ou você reclama da ""Censura"". Os dois não dá. Se não ficassem ameaçando, pregando violência gratuita... tavam de boa, quem não faz merda não paga. Só censurou quem não presta. Apologia tbm é crime kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk",0,0.6943390369415283,0.3056609332561493,
"Estou aberto aos argumentos jurídicos que mostram graves problemas na decisão do Alexandre de Moraes.  Dito isso, que perfis dedicados a fake news, ataques e assassinato de reputações sejam derrubados é algo que eu defenderia mesmo se fosse contra o meu lado político.",Isso não  configura censura prévia?,1,0.7298194766044617,0.2701804935932159,
"O Twitter suspendeu 16 contas de bolsonaristas. Entre elas, as de Roberto Jefferson, dos blogueiros Allan dos Santos, Bernardo Küster e Sara Winter, dos empresários Luciano Hang, Edgard Corona e Otávio Fakhoury.","Imaginem a gritaria que se faria se fossem contas de esquerdistas... censura, ditadura, fascismo, etc.",1,0.8179373145103455,0.1820626407861709,
"Acrescento: se fosse eu o censurado, esses mesmos comemorariam e/ou criariam narrativas para encobrir/desmentir o fato. ACREDITE.  Alguns desses q perderam seus perfis assassinaram reputação de quem queria lava-toga, patrulham opiniões e promovem seu próprio mecanismo de censura.","Eu esperava um: ""Censura é inadmissível. Disto isto, são uns fdp, não nos gostamos etc...etc...""",1,0.8320314884185791,0.1679684966802597,
"É assim: ou você é contra a censura e a favor da democracia ou você defende AI-5 e pára de reclamar de censura ok? Os dois não dá,",Olha a mente!,2,0.8491498827934265,0.1508501321077346,
Não a Censura!!! #naoacensura,"Hoje é um GRANDE DIA, sem dúvida alguma, mas alguém sabe dizer como vai a finada Bia Kicis?  É pro meu TCC  #QueimaQuengaral #GovernoDeFraudes",0,0.8580577969551086,0.1419421881437301,
"Esse homem enganou 81 senadores ao ser ""sabatinado"". Mentiu para a nação brasileira, para ter cargo vitalício no STF. Seu nome, Alexandre de Moraes.",Mudou de idéia ou mentiu na cara dura?,2,0.86519455909729,0.1348054409027099,
"Sabe o que vai acontecer se você só mudar o canal para falar mal do Alexandre de Moraes e não agir de fato? Ele vai mandar também encerrar sua conta de YouTube, o seu site e o que mais for preciso. Parem de perder tempo com asneiras, antes que não haja mais nada a fazer.","Se o  não defende seus usuários contra abusos do judiciário,  talvez ele não merece s nossa presença nesta rede.  A empresa deveria acionar seu departamento jurídico diante da censura.",0,0.865898847579956,0.1341011971235275,
Não há mais como alguém negar a realidade bem debaixo do nosso nariz: vivemos numa ditadura da toga suprema.,"Censura está literalmente estapeando sua cara enquanto você grita Bozo, Ele não e aquelas merdas inúteis de sempre.",2,0.8769606947898865,0.1230393052101135,
"Estamos provando um pouco do os chineses passam nas mãos do PCC. O que temos a fazer? Protestar, cobrar os parlamentares e, o governo.#VozParaBernardoKuster","O povo está cego devido ao fundamentalismo religioso no país, por isso não percebe que  esse governo é um #GovernoDeFraudes",0,0.902064323425293,0.0979357063770294,
Sobre contas de conservadores sendo banidas: a liberdade de expressão é direito fundamental garantido em nossa Constituição e deve ser válida para todos.,Qual atitude  deputado vai tomar em relação a está censura? Estou lhe cobrando pois sou seu eleitor e apoiador a duas eleições.,1,0.9051980376243592,0.0948019847273826,
"Felipe Neto, que defende a censura e até a prisão de quem supostamente espalha ""fake news"", mais uma vez foi pego mentindo e propagando desinformação na internet. O sujeito mente tanto que, agora, teve que ser desmentido pelo embaixador da Ucrânia por mentir sobre aquele país.",A bunda deve sentir inveja do tanto de merda que sai boca desse débil metal,2,0.9368528127670288,0.0631472095847129,
"Amigos aqui é Roberto Jefferson. Entrei na conta da minha filha para agradecer a todos pelo apoio. Em breve estaremos juntos novamente! Alexandre, não temo sua tirania!",Deus é mais!,2,0.9465263485908508,0.0534736402332782,
"foda q eu detesto todo esse antro bolsonarista, petista/psolista/pecedebista q existe nas redes sociais  posso comemorar qlqr remoção de conta assim como posso fzr piada com a morte do biroliro  pois sou cidadão comum e irrelevante  óbvio q o q aconteceu hj foi censura né porra","Bolsominions, ou vcs pedem AI-5 ou reclamam da censura. Os dois não dá.",0,0.0582780875265598,0.9417218565940856,
