tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict
"""E o Mandetta, a linha dele, como médico, era voltada quase exclusivamente para a vida"" - Jair Bolsonaro, presidente do Brasil","Tá certo, tem que demitir um ministro da SAÚDE, por se preocupar com a VIDA!!!!   Sério, eu não me canso de te xingar , seu bosta!!!",2,0.04422188922762871,0.9557780623435974,
"Acabo de ouvir do presidente Jair Bolsonaro o aviso da minha demissão do Ministério da Saúde.  Quero agradecer a oportunidade que me foi dada, de ser gerente do nosso SUS, de pôr de pé o projeto de melhoria da saúde dos brasileiros e","O privatizador e lobista dos planos de saúde falando do “nosso SUS” HAHAHAHHA. Ok, Mandetta, vc era nossa única esperança nesse desgoverno, mas não força, tá????",2,0.049352843314409256,0.9506471157073975,
"Boa sorte ao Nelson Teich, novo ministro da Saúde.  O mais importante é que dê conta do recado porque a luta é complicada, o inimigo é silencioso, astuto e mortal.   Imensa maioria sabe que o Mandetta não era pra sair, mas agora é torcer pelo sucesso do novo ministro.","Fala verdade seu safado, vc torce pro quanto pior, melhor. É certeza q vc quer q a saúde vire um caos pra lá na frente dizer q foi culpa do presidente por demitir o Mandetta, q estava doido pra ser demitido pra se fazer de vítima. Raça desgraçada de jornalistas esquerdista.",1,0.05003269389271736,0.9499672651290894,
"É preciso reconhecer que se não fosse o SUS, não teríamos nem metade dos leitos que temos hoje. Pra quem não sabe o SUS é responsável por 63% dos leitos no Brasil.",Esse mesmo SUS que o Mandetta defendeu o fim e que agora saiu defendendo.,2,0.0703619197010994,0.9296380877494812,
"""E o Mandetta, a linha dele, como médico, era voltada quase exclusivamente para a vida"" - Jair Bolsonaro, presidente do Brasil",onde já se viu um médico preocupado com a vida ?,2,0.07819710671901703,0.9218028783798218,
Caminhamos para o abismo! Tirar  é urgente para preservar vidas. É uma questão de saúde pública tirar a caneta desse criminoso. #ImpeachmentJá,"Fernanda, o Bolsonaro está preservando vida, e tbm quer preservar os empregos, agora você deve ser rica para ter medo de morrer, e tbm uma canhota burra como a maioria!!!",2,0.08522230386734009,0.9147776365280151,
“não vou mais me estressar com as merdas que esse verme desse presidente faz”  *Bolsonaro demitiu o Mandetta*  Eu: #ForaBolsonaro,Não tem como não se estressar com oq ele faz quando ele tá governando o país que vc tá vivendo,2,0.08667316287755966,0.9133267998695374,
"Na moral gente, tudo bem criticar o Bolsonaro por demitir o ministro da saúde que vinha até então fazendo um bom enfrentamento perante ao coronavírus, eu também critico, acho um absurdo do caralho, agora vocês virem aqui falar q o Mandetta é competente é brincadeira também, +","o foco princípal do cara era o desmonte do SUS, que nesse momento de crise se faz mais necessário do que nunca (e esse é o momento de defendê-lo), Mandetta destruiu o mais médicos e deixou milhares de pessoas sem assistência médica, o cara é um doso representantes",1,0.08698156476020813,0.9130184650421143,
Ai vou morrer pq o Mandetta saiu!!!  Vai te foder !! Seja homem,"Não seja inocente meu caro. Você sabe muito bem que o presidente demitiu o Mandetta pq o ministro não seguia as ordens estapafúrdias dele. Agora ele colocou um aliado, pra seguir as ideias genocidas e irresponsáveis do Bolsonaro.",1,0.09543351083993912,0.9045665264129639,
"A maioria esmagadora dos brasileiros é contrária à demissão de Mandetta: 76,2% dos entrevistados discordam do afastamento do ministro da Saúde, segundo pesquisa realizada pelo Atlas Político. Vc concorda com o resultado da pesquisa?   via","Senador, não se queime por uma MERDA como MANDETTA. Ninguém acredita nessas pesquisas..!!! Acorda",1,0.10506526380777359,0.8949347138404846,
