tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict
"""E o Mandetta, a linha dele, como médico, era voltada quase exclusivamente para a vida"" - Jair Bolsonaro, presidente do Brasil","Tá certo, tem que demitir um ministro da SAÚDE, por se preocupar com a VIDA!!!!   Sério, eu não me canso de te xingar , seu bosta!!!",2,0.0442218892276287,0.9557780623435974,0
"Acabo de ouvir do presidente Jair Bolsonaro o aviso da minha demissão do Ministério da Saúde.  Quero agradecer a oportunidade que me foi dada, de ser gerente do nosso SUS, de pôr de pé o projeto de melhoria da saúde dos brasileiros e","O privatizador e lobista dos planos de saúde falando do “nosso SUS” HAHAHAHHA. Ok, Mandetta, vc era nossa única esperança nesse desgoverno, mas não força, tá????",2,0.0493528433144092,0.9506471157073976,1
"Boa sorte ao Nelson Teich, novo ministro da Saúde.  O mais importante é que dê conta do recado porque a luta é complicada, o inimigo é silencioso, astuto e mortal.   Imensa maioria sabe que o Mandetta não era pra sair, mas agora é torcer pelo sucesso do novo ministro.","Fala verdade seu safado, vc torce pro quanto pior, melhor. É certeza q vc quer q a saúde vire um caos pra lá na frente dizer q foi culpa do presidente por demitir o Mandetta, q estava doido pra ser demitido pra se fazer de vítima. Raça desgraçada de jornalistas esquerdista.",1,0.0500326938927173,0.9499672651290894,1
"É preciso reconhecer que se não fosse o SUS, não teríamos nem metade dos leitos que temos hoje. Pra quem não sabe o SUS é responsável por 63% dos leitos no Brasil.",Esse mesmo SUS que o Mandetta defendeu o fim e que agora saiu defendendo.,2,0.0703619197010994,0.9296380877494812,0
"""E o Mandetta, a linha dele, como médico, era voltada quase exclusivamente para a vida"" - Jair Bolsonaro, presidente do Brasil",onde já se viu um médico preocupado com a vida ?,2,0.078197106719017,0.9218028783798218,0
Caminhamos para o abismo! Tirar  é urgente para preservar vidas. É uma questão de saúde pública tirar a caneta desse criminoso. #ImpeachmentJá,"Fernanda, o Bolsonaro está preservando vida, e tbm quer preservar os empregos, agora você deve ser rica para ter medo de morrer, e tbm uma canhota burra como a maioria!!!",2,0.08522230386734,0.9147776365280152,1
“não vou mais me estressar com as merdas que esse verme desse presidente faz”  *Bolsonaro demitiu o Mandetta*  Eu: #ForaBolsonaro,Não tem como não se estressar com oq ele faz quando ele tá governando o país que vc tá vivendo,2,0.0866731628775596,0.9133267998695374,0
"Na moral gente, tudo bem criticar o Bolsonaro por demitir o ministro da saúde que vinha até então fazendo um bom enfrentamento perante ao coronavírus, eu também critico, acho um absurdo do caralho, agora vocês virem aqui falar q o Mandetta é competente é brincadeira também, +","o foco princípal do cara era o desmonte do SUS, que nesse momento de crise se faz mais necessário do que nunca (e esse é o momento de defendê-lo), Mandetta destruiu o mais médicos e deixou milhares de pessoas sem assistência médica, o cara é um doso representantes",1,0.0869815647602081,0.9130184650421144,0
Ai vou morrer pq o Mandetta saiu!!!  Vai te foder !! Seja homem,"Não seja inocente meu caro. Você sabe muito bem que o presidente demitiu o Mandetta pq o ministro não seguia as ordens estapafúrdias dele. Agora ele colocou um aliado, pra seguir as ideias genocidas e irresponsáveis do Bolsonaro.",1,0.0954335108399391,0.904566526412964,1
"A maioria esmagadora dos brasileiros é contrária à demissão de Mandetta: 76,2% dos entrevistados discordam do afastamento do ministro da Saúde, segundo pesquisa realizada pelo Atlas Político. Vc concorda com o resultado da pesquisa?   via","Senador, não se queime por uma MERDA como MANDETTA. Ninguém acredita nessas pesquisas..!!! Acorda",1,0.1050652638077735,0.8949347138404846,1
"O presidente nunca disse para não ficar em casa, mas sim, apenas o grupo de risco. Eu estou em casa, eu e meu filho direto, pq somos grupo de risco. Mas eu vou ao mercado, farmácias...sigo as regras, lavo as mãos ando de máscara. E mesmo assim, quero trabalhar!","Votei Bolsonaro e acho q o Mandetta tá certo (ex dos outros países e se houvesse solução os EUA já usariam) Ñ é só grupo d risco q morre e o vírus tb vai ao mercado e à farmácia. Se vc quer trabalhar, entendo, tb preciso de $, mas se prepare para o que vem por aí",2,0.1072863936424255,0.8927135467529297,0
"""E o Mandetta, a linha dele, como médico, era voltada quase exclusivamente para a vida"", disse Bolsonaro","Então o coiso demitiu o Mandetta, pq ele se preocupava com vidas??? Foi isso msm???",1,0.1143276691436767,0.8856722712516785,0
"Bolsonaro demitiu Mandetta por ciúme, inveja e cálculo eleitoral e não foi divórcio consensual coisa nenhuma, mas meras ignorância,  irresponsabilidade, desumanidade e culto à morte, por fazê-lo em pleno pico da pandemia.","Não  sabia q vc morria de amores por Mandetta. Se vc acha pouco q ate agora o governo não sabe quantas pessoas infectadas  de fato tem, quantos leitos de desocupado tem nos hospitais, número de.mortos temos. Vc acha pouco ??? Ou já co seguiu o DINHEIRINHO.",1,0.1145786494016647,0.8854213953018188,1
"Gente morrendo, o país em uma crise sem fim, não respeita as próprias recomendações de não ter muito contato.  Eu não sei que tanta alegria é essa.  Prefiro ser o chato do que achar isso normal.","Nem é ser chato, é ser racional. Político agindo de maneira como político costuma agir quando tem o ego inflado. Por isso todo elogio ao Witzel, Dória e ao próprio Mandetta tem de ser feito com ressalvas. Pois qualquer um perto do Bolsonaro se torna razoável.",1,0.1211395859718322,0.878860354423523,0
Vc que fala que é fã do Mandetta...  Fale três times que ele jogou aí,Quais copas? Foi campeão da libertadores?,2,0.1538403481245041,0.8461596965789795,0
"Em sua despedida, Mandetta defende a vida, o SUS e a ciência. Três palavras incompatíveis com o atual governo.","Se um BOSTA como você está elogiando o Mandetta, é sinal de que ele é tão merda quanto você.",1,0.1731359213590622,0.8268640637397766,1
"""E o Mandetta, a linha dele, como médico, era voltada quase exclusivamente para a vida"" - Jair Bolsonaro, presidente do Brasil",Ele era ministro da Saúde...  Ele deveria ser exclusivo ao que.?????,2,0.1860226988792419,0.8139772415161133,0
"A maioria esmagadora dos brasileiros é contrária à demissão de Mandetta: 76,2% dos entrevistados discordam do afastamento do ministro da Saúde, segundo pesquisa realizada pelo Atlas Político. Vc concorda com o resultado da pesquisa?   via","Vai com Deus Mandetta, desserviço com os brasileiros, anota o nome dele aí, pra nunca mais votar nesse individuo",1,0.1964105516672134,0.8035894632339478,0
"Tem gente que acha que o Mandetta caiu, simplesmente porque era a favor do lockdown horizontal.  Mandetta caiu, porque a popularidade dele tava gigante e independentemente da estratégia, isso era muito pior pro Bozo!","Cara, abrir a porta do quarto da minha e dizer “mãe, o Mandetta caiu” vai ficar na minha memória... vou contar isso pros meus netos quando eles vierem fazer trabalho de história #MandettaDEMITIDO",0,0.2259150743484497,0.7740849256515503,0
