tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict
"A maioria esmagadora dos brasileiros é contrária à demissão de Mandetta: 76,2% dos entrevistados discordam do afastamento do ministro da Saúde, segundo pesquisa realizada pelo Atlas Político. Vc concorda com o resultado da pesquisa?   via","Pesquisa q vc acredita, o povo brasileiro não, já vai tarde mandetta pau mandado",1,0.1126684918999672,0.887331485748291,
"Acabo de ouvir do presidente Jair Bolsonaro o aviso da minha demissão do Ministério da Saúde.  Quero agradecer a oportunidade que me foi dada, de ser gerente do nosso SUS, de pôr de pé o projeto de melhoria da saúde dos brasileiros e","Obrigada Mandetta, vc tá realizado agora, eu nemsabiq da sua existência antes de vc ser ministro, vá com Deus",2,0.1180618926882743,0.881938099861145,
"A maioria esmagadora dos brasileiros é contrária à demissão de Mandetta: 76,2% dos entrevistados discordam do afastamento do ministro da Saúde, segundo pesquisa realizada pelo Atlas Político. Vc concorda com o resultado da pesquisa?   via","Óbvio que não Se 76% aprovam essa política de ideia isolamento do Mandetta, por que o ""monitoramento"" mostra 42% dentro de casa? Pesquisa mentirosa",1,0.2337876409292221,0.7662123441696167,
"Em sua despedida, Mandetta defende a vida, o SUS e a ciência. Três palavras incompatíveis com o atual governo.","é a isso que vocês querem se comparar, ô caralho???? a questão é que o pete tem razões pra usar ministro privatista como exemplo positivo, a esquerda não",2,0.5249956846237183,0.4750042855739593,
"A maioria esmagadora dos brasileiros é contrária à demissão de Mandetta: 76,2% dos entrevistados discordam do afastamento do ministro da Saúde, segundo pesquisa realizada pelo Atlas Político. Vc concorda com o resultado da pesquisa?   via",Não levo em consideração qualquer pesquisa que seja feita pelo grupo Abril. Já passou da hora do Mandetta cair fora!,1,0.571914792060852,0.4280852377414703,
"“Jair conseguiu a proeza de transformar um político inexpressivo do DEM, que votou pelo impeachment de Dilma, ligado aos planos de saúde, no maior defensor do SUS, um quase novo Oswaldo Cruz. Uma proeza.” Frase do amigo  sobre Mandetta","Na boa, tem gente que continua a saga da enceradeira. Assim como fizeram com  vão fazer com o inexpressivo e medíocre . Os obscurantistas riem, se refestelam comemoram.  Bora abrir pista pra FASCISTAS",2,0.6192365288734436,0.3807634115219116,
"Em sua despedida, Mandetta defende a vida, o SUS e a ciência. Três palavras incompatíveis com o atual governo.","Uma coisa sobre Mandetta, igualou-se a esquerda, pensou na ideologia, nas política do troca favores, no seu bolso, ou seja, ele caiu em frente a corrupção e os corruptores, só não o comparo a Haddad, Lula e o restante dos criminosos, porque ele ainda não desceu ao nível deles.",1,0.7856040000915527,0.2143959999084472,
"Em sua despedida, Mandetta defende a vida, o SUS e a ciência. Três palavras incompatíveis com o atual governo.","Eu não tinha o que falar sobre o ministro Mandetta, se ele estava agindo certo ou errado, até mesmo pq nenhum lugar do mundo até o momento sabe como resolver o problema com 100% de eficácia. Contudo, vendo alguns que o apoiam, tenho certeza que a demissão foi certa!",1,0.814332902431488,0.1856670379638672,
"nao se esqueçam mandetta era um lobbysta de plano de saude safado, que tava fazendo o mínimo dito isto, se cuidem, pq agora, caminharemos no escuro.","Mandetta foi demitido, nem parece realidade isso, a gente tá vivendo em uma sociedade que não evoluiu mesmo, não é possível  O cara que bate de frente contra a loucura de ignorar o isolamento é demitido mano, tipo se vc n concorda com o bozo vc sai, isso é inacreditável",0,0.8403175473213196,0.1596824675798416,
"Desejo boa sorte ao agora ex-ministro Mandetta e também ao novo ministro da saúde,  Nelson Teich. Que tenha sucesso na execução de um política de saúde e que não se preocupe com a política eleitoral. É tudo o que o Brasil precisa no momento.",""" Que não se preocupe com a política eleitoral "" , foi justamente o que o Bolsonaro fez . Demite o Mandetta por pura inveja , é um ser pequeno e mesquinho .",1,0.8587420582771301,0.1412580013275146,
Caralho to indignado que o Mandetta saiu antes da Ivy,esse país é uma palhaçada,2,0.904618501663208,0.0953815132379531,
Auge e falarem mal do Mandetta a vão se fode gente chata,Parece até que o cara morreu,0,0.914563238620758,0.0854368060827255,
"A maioria esmagadora dos brasileiros é contrária à demissão de Mandetta: 76,2% dos entrevistados discordam do afastamento do ministro da Saúde, segundo pesquisa realizada pelo Atlas Político. Vc concorda com o resultado da pesquisa?   via","Mas que eu saiba o ministro mais bem avaliado pelos brasileiros é o Sérgio Moro, o Mandetta só apareceu agora com a pandemia, antes ninguém conhecia ele. E pesquisa da revista abril? Só falta colocar pesquisa Ibope",1,0.9150721430778505,0.0849278718233108,
"⁦⁦⁩ escreve:  Entendam A Briga Entre Bolsonaro E Mandetta.  A briga de bastidores entre Bolsonaro e Mandetta jamais será retratada corretamente, nunca acreditem num livro de história.","""Foi aí que até eu fiquei preocupado.""",2,0.9188488125801086,0.0811512321233749,
é uma sinuca de bico mesmo. saber que a demissão do mandetta nesse momento coloca mais ainda em risco todo mundo e ver gente pedindo ele como candidato em 2022. eu não aguento mais,"PRESIDENTE O SENHOR VAI SE ARREPENDER DE TER DEMITIDO MANDETTA. CAGOU GERAL. VAMOS VER O QUANTO DE GENTE VAI MORRER POR ESSE VÍRUS CHINÊS DAQUI PRA FRENTE. MANDETTA 2022...O SENHOR PODDE SE CANDIDATAR A SÍNDICO DO SEU CONDOMÍNIO, PODE SER QUE GANHE EM 2022.",0,0.9331719875335692,0.0668279305100441,
"Mandetta deixa como legado uma estrutura para que o Brasil possa – com governo federal, estados e municípios unidos – atender da melhor forma possível a sociedade brasileira, principalmente as pessoas que necessitam do SUS.","80% das pessoa estão apavorada com a demissão do Mandetta, retificação; 80% das pessoas que não votaram no Bolsonaro presidente.",1,0.9353099465370178,0.064690001308918,
É isso aí galera..O MANDETTA foi demitido..Agora é o Nelson Teich que vai segurar a onda..boa sorte para ele e que seja competente e dedicado.. E o MANDETTA? provavelmente dará uma entrevista no RODA VIVA falando mal do Bolsonaro enquanto faz auto-propaganda..  Grande coisa..,"Rapaz, Bolsonaro demitiu mesmo o Mandetta",0,0.9415621757507324,0.0584377981722354,
"E para hoje, paz de espírito!","como bial????????? carminha foi desmascarada, tereza cristina vai humilhar a griselda e o mandetta foi demitido..........",2,0.9426787495613098,0.0573212802410125,
