tweet_1,tweet_2,Class,Conflict
"Estamos em 2020 século 21, as mulheres ainda não aprenderam a usa camisinha e a tomar pílula  hoje em dia só engravidar quem quer , ou a mulher é muito burra  #AbortoNao Se vc sabe DA ,sabe muito bem ser cuida ,é de graça em qlq posto de saúde","Qd vc abre a hastag #AbortoNao, a unica coisa q é impulsionada é esquerdista tentando desmerecer os argumentos de qm é contra com ""mas vc é homem"".  COMO VOCÊ QUER QUE EU RESPEITE ISSO? Aborto é assassinato e qm nn se sensibiliza com isso é psicopata!",0,0
#AbortoNao Jamais ! Sim a vida .,"Vc é contra o aborto por se declarar pró vida, ou é só por causa que seus ""valores monoteísta"" diz que abortar é errado? #AbortoSim",0,1
"#AbortoNunca ENTENDAM quando a pessoa é #AbortoSim Não quer dizer que fará um aborto, só quer que tenha clínica especializada para que pessoas sem condição não tenha um filho.","vcs falam #AbortoNao como se existisse um método contraceptivo 100% eficaz. No final o RICO paga pra não morrer enquanto o pobre morre.  Além de questão de saúde pública, a Terra vai cobrar a conta de ter +7B de pessoas consumindo os seus recursos",0,0
Aborto não é método contraceptivo!antes de escolher seu macho escroto se proteja #AbortoNAO,Vai caça o que fazer e deixa as mulheres escolherem  o que elas quiserem. Se tu não sabe da história não julga! #AbortoSim! Tá subindo # escrota pq tá sem o que fazer? Quer um conselho? Toma conta da sua vida e do seu útero.,1,1
"Pelo simples fato de que matar uma vida humana é completamente diferente de matar um EMBRIÃO, que não contém atividade cerebral, nem sistema nervoso e muito menos é considerado um humano. Você joga sujo quando tenta me atacar ao invés de atacar meu argumento, melhore. #AbortoSim",@ Vida é a partir do embrião.E embrião é vida. Se pode matar um embrião pode matar um ser que acha normal abortar.  #AbortoNao #AbortoNão,1,1
"Bagaço pqp, eu nao estou gravido pq sou homem, porém tenho empatia de me por no luga de uma mulher , e saber como e difícil voce ser julgada pela sociedade por tudo oque faz, então que se o corpo e seu... voce faça oque acha certo,#AbortoSim.","#abortonao. Se você defende que a mulher faça o que quiser com o seu corpo, vai defender que a mesma ENTENDA o que está fazendo com o mesmo. Já fizeram pesquisas com as abortistas? O que aconteceu com elas depois do aborto? Depois quem arca com o psicológico da mulher que aborta?",1,1
O mais engraçado é que a maioria é homem que vem defender essa tag #AbortoNao mas na hora de assumir suas responsabilidades simplesmente some e quem se ferra é a mãe que tem que cuidar sozinha.,"a mulher tem a escolha de querer abortar ou não, não adianta vocês contradizerem porque não vai ser vocês q vai sofrer horrores pra sustentar a criança, o feto pode até ser fruto de abuso sexual, e se alguns discordam pfvr recolha os fetos e coloquem eles p morar c vcs #AbortoSim",0,0
"""Ah, mas você vai matar uma vida"" Oh seus bando de borracha, se estudassem saberiam que nas primeiras semanas o bebê nem vida é, MATAR UMA AMEBA IGUAL VC SÓ SE FOR #AbortoSim","não é melhor usar preservativo e outros métodos contraceptivos, invés de acabar com uma vida e correr o risco de morrer também? #AbortoNao",0,1
"A vida que vai ser estraga é a da criança, que vai crescer sem ser amada ou em condições necessárias e a da mãe, que nn queria aquele ser com ela e muito provavelmente nn vai conseguir gostar daquele ser #AbortoSim","Se tu matar todos os que não são amados ou que não tem condições mínimas, mata 70 % das humanidade, síndrome do mundo perfeito #AbortoNao",1,1
"Mano eu sinceramente fico decepcionada que anos se passam e as pessoas continuam usam umas justificativas completamente sem fundamento, sendo a favor da vida mas quer pena de morte (???)+ #AbortoSim","Tá bom macho hetero, o aborto é escolha sua né que já tem 3 filho espalhado por aí e a mãe sustenta e cria sozinha! #AbortoSim",0,0
