tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict,Tipo
"#AbortoNao  caramba, eu entrando na TAG e vendo mó galera discutindo bonitinho, com argumentos e dados. Sempre finalizando com um "" não concordo, mas respeito sua opinião""  Isso é o mais bonito de se ver em uma discussão séria, e não apenas um ""vc é homem""( por mais que tenha)",Até 3 meses  #AbortoSim,0,0.437456339597702,0.5625436305999756,0,Incerta
"#AbortoNAO, STF usurpador de atribuições.","Caros esquerdolóides imb3cis, respondam a este tuíte abaixo. Isso se os neurônios mofados permitirem a compreensão, ou, caso contrário, usem a hipocrisia da sua laia de r3tardados mentais mesmo.   #AbortoSim",0,0.4970153868198395,0.5029845833778381,0,Incerta
Argumentos que usam para serem contra o aborto que “estão” errados — a thread  #AbortoNao #AbortoSIM,#AbortoNao aborto é coisa do diabo,0,0.5905720591545105,0.4094279110431671,1,Incerta
"،    ⌕  ─  vamos fazer um acordo, só opina sobre o que é certo ou não sobre esse caso são as pessoas que tem úteros, okay? Okay. #AbortoSim","Em tempos de tantas dificuldades vem a tona a discussão no STF do aborto em caso de zika vírus. É inegável a importância do tema, sobretudo para as mulheres. Mas tratar uma pauta abortista em meio a tantas mortes?! Temo estar chegando dias de banalização da vida. #AbortoNao",0,0.426560491323471,0.5734394788742065,1,Incerta
Aborte a sua ignorância e não pessoas !  #AbortoNao  #AbortoNunca,é contra aborto mas é a favor da pena? pfv né...  #abortonao #AbortoSim,0,0.4652799069881439,0.5347201228141785,1,Incerta
Sou contrário ao aborto...#AbortoNao,#AbortoSim meu corpo minha regras ..e ninguém é obrigado a fazer porra nenhuma,0,0.496053010225296,0.5039469599723816,1,Incerta
Eu tenho o melhor método para esse assunto. Siga os seguintes passos  1- fecha as pernas                E fim #AbortoNao,A real é que muito é Pro-Nascimento não Pro-Vida rss #AbortoSim,0,0.4059687256813049,0.5940312743186951,1,Incerta
"Essa gente é doente, vomita o dia inteiro que esse isolamento indecente é pra salvar VIDAS, mas apoiam a morte no útero. HIPÓCRITAS.  #AbortoNao",Parabéns aos abortistas de merda por ajudar subir a tag! #AbortoNao,0,0.5558744072914124,0.4441255629062652,0,Incerta
Não assassine o seu filho #AbortoNao,eu vou olhar os replys contrários a #AbortoNao e pelo menos 40% é fancam de kpop tentando lacrar,0,0.4272224307060241,0.5727775692939758,0,Incerta
"Sabe qual é a diferença entre   Assassinato &amp; Aborto?  Exatamente, nenhuma!   #AbortoNAO",Queria dizer que #abortosim,0,0.5362884402275085,0.463711529970169,1,Incerta
Mas de novo essa questão de aborto gente? Pq cada um não cuida da sua vida e deixa a MULHER decidir o que fazer com a vida e o corpo DELA!!?? #AbortoSim,A escolha é nossa! #AbortoSim,0,0.4193200170993805,0.5806799530982971,0,Incerta
"""A pior ditadura é a ditadura do Poder Judiciário. Contra ela, não há a quem recorrer."" (Rui Barbosa) #AbortoNao","#AbortoNão / #AbortoSIM   independentemente da sua opinião, quem decide isso é a mulher o corpo é DELA a decisão é DELA  o pai também está envolvido na decisão, mas não cabe a vc ficar pressionando-os só para satisfazer seu ego",0,0.4397493004798889,0.5602506399154663,1,Incerta
"a galera do #AbortoNao é muito engraçadaKFKDKDK amg se sua religião não permite, se vc acha errado, se vc acha que é assassinato então não aborta ue, mas outras mulheres que não querem ou que foram estupradas não merecem viver com essa lembrança de trauma ou ódio  #AbortoSim",#AbortoSim porque ai não sai um merda que cria video de cabra com gore ao som de rock,0,0.4373983442783355,0.5626015663146973,1,Incerta
Quem não é mulher e nem sabe o que é uma dor de um parto não pode opinar sobre aborto #AbortoSIM,#AbortoNao Caralho isso é assacinato,0,0.5971508622169495,0.4028491973876953,1,Incerta
#AbortoSIM  Meu corpo e eu decido o que eu faço com ele Vamos quebrar as amarras que a sociedade tenta nos colocar,"Há muita hipocrisia vinda desses pró vida. Ao meu ver é melhor um feto morto que uma criança passando fome, sendo abusada, agredida, enfim... #AbortoSim #AbortoNao",0,0.5745779871940613,0.4254220426082611,0,Incerta
"diz que é contra o aborto, pq é a favor da vida, mas é o primeiro a falar: bandido bom é bandido morto, rsrsrs #AbortoSim",Grupo sobre o auxílio emergencial no whatsapp. Ainda tem vagas    #AbortoNao  #samsungbbb  #LiveDoRevela  #TheFourBrasil  #festabbb  #MOTS7_Re_Comeback   REMEMBER PRIOR  #AuxilioEmergencial,0,0.4865334033966064,0.5134666562080383,0,Incerta
"Para quem são a favor do aborto, É só fecha a pernas porra!  Ou usa métodos contraceptivos. #AbortoNao",oq ta rolando q subiram essa tag #AbortoNao,0,0.4104960858821869,0.589503824710846,0,Incerta
#AbortoNao ou #AbortoSim simples e so da o cu nao engravida,"Esses esquerdopatas, Quando a mãe deles estavam grávidas dos mesmos, infelizmente não era aprovado o direito de aborto. Fazer o que, né? #AbortoNAO",0,0.4770346581935882,0.5229653120040894,0,Incerta
"Pra quem acha que o aborto é legal aborta e matar um feto, faça assim, pega um vídeo da operação e veja como que é, aí vc vai notar o quão errado é isso, vc acha certo um médico ESTOURAR a cabeça de um feto e remover pedaço por pedaço usando uma pinça..  #AbortoNao","Essa mania do brasileiro de ir  acostumando-se com tudo que lhe é imposto, está trazendo cada vez mais o socialismo para o país. A última que estão tentando empurrar goela abaixo é aprovação do aborto.  #AbortoNao",0,0.4658258855342865,0.5341741442680359,0,Incerta
#AbortoNAO  O mais curioso de tudo é que 100% das pessoas que defendem o aborto já tiveram seu direito de nascer. Aborto nada mais é do que um assassinato cruel e covarde de um inocente indefeso!,Tem que ser muito desumano para defender #AbortoSIM  Apoie a vida e diga #AbortoNao,2,0.4296371638774872,0.5703628659248352,0,Incerta
Seja mente aberta mas não ao ponto do seu cérebro caí no chão. #abortoNao,"Sobre essa questão do #AbortoNao ou #AbortoSIM, vamos começar com uma questão básica? Pra validação do argumento, vocês sabem a diferença entre ser a favor da legalização do aborto e a favor do aborto?",0,0.4015591144561767,0.5984408855438232,1,Incerta
"#AbortoNao eu só sei que quem não engravida, não deve opinar. Bjs.",Não existe gravidez por acidente Ninguém cai uma uma pirOc@ sem querer! STF é uma   #AbortoNao,0,0.5201007723808289,0.4798992276191711,1,Incerta
"#AbortoSim. Aborto é o caralho, pensa em se prevenir antes de transar, caralho! Aborto opcional é só em caso de estupro ou anencefalia. Se você concorda em assassinar um feto, que é um ser vivo, que pode agonizar em dor, e que quando sofre o aborto é envenenado. Você é um mostro",gosto pacas dessa # estar nos trendings do Brasil.. tá mais do que certo #AbortoSim,0,0.579562246799469,0.4204377830028534,1,Incerta
Aborto não é método contraceptivo!antes de escolher seu macho escroto se proteja #AbortoNAO,"É isso ai, #AbortoNao",2,0.5989904403686523,0.4010095298290252,0,Incerta
"Você quer defender #AbortoNao? Saiba que SE for aprovado, aborto NUNCA seria obrigatório. Faz a mulher que quer + reduziria índice de morte por aborto clandestino + reduz abandono parental + reduz número absurdo de crianças esperando por adoção.  #AbortoSIM",#AbortoNao aborto nunca!!,0,0.5192158818244934,0.4807841181755066,1,Incerta
"#AbortoNunca foi da sua conta homem escroto, se eu quiser aborta eu vou #AbortoSim","oi gente não é sobre ser a favor do aborto é sobre sua legalização mulheres já abortam, mas poderiam fazer isso sem arriscar suas vidas #AbortoSim",0,0.5040040016174316,0.4959960579872131,0,Incerta
Quem usa a #AbortoSim deveria dar o exemplo e SE abortar.   #AbortoNão,"Os do contra falando que somente homem que está usando #AbortoNao !  Sou mulher , profissional da Saúde na área de obstetrícia, não pronunciei meu juramento a toa não , e optei SIM pela vida!  #AbortoNao #AbortoNao #AbortoNao",1,0.4254695475101471,0.5745304226875305,0,Incerta
