tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Tipo,Conflict
"""A pior ditadura é a ditadura do Poder Judiciário. Contra ela, não há a quem recorrer."" (Rui Barbosa) #AbortoNao","#AbortoNão / #AbortoSIM   independentemente da sua opinião, quem decide isso é a mulher o corpo é DELA a decisão é DELA  o pai também está envolvido na decisão, mas não cabe a vc ficar pressionando-os só para satisfazer seu ego",0,0.4397493004798889,0.5602506399154663,Incerta,
"a galera do #AbortoNao é muito engraçadaKFKDKDK amg se sua religião não permite, se vc acha errado, se vc acha que é assassinato então não aborta ue, mas outras mulheres que não querem ou que foram estupradas não merecem viver com essa lembrança de trauma ou ódio  #AbortoSim",#AbortoSim porque ai não sai um merda que cria video de cabra com gore ao som de rock,0,0.4373983442783355,0.5626015663146973,Incerta,
"#AbortoNao eu só sei que quem não engravida, não deve opinar. Bjs.",Não existe gravidez por acidente Ninguém cai uma uma pirOc@ sem querer! STF é uma   #AbortoNao,0,0.5201007723808289,0.4798992276191711,Incerta,
"#PrisaoEm2aInstanciaSim As formas diretas de lidar com os olimpianos de toga são: pedidos de impeachment de ministros, já encaminhados; a PEC da bengala revogada; e o PL 4754 contra o ativismo judicial. Olha o que incomoda eles:  -","#AbortoNao NEGATIVO! A parte corrupta, fisiológica, de esquerda do congresso, que retalia o Bolsonaro ante a falta do toma lá dá cá, nutre o sonho de perpetuar nanicos eleitorais, burocratas impopulares na chefia da câmara e do senado! #STFVergonhaNacional",2,0.5986247062683105,0.4013753235340118,Incerta,
"Se a mãe percebesse o desespero e dor do filhinho durante o ato abortivo, considerar-se-ia a mais cruel das mulheres. Evite o peso do remorso, evitando o aborto. #AbortoNao","Apoio o aborto mas também não faria um. Não mataria um filho meu. Mas se a pessoa quiser mesmo fazer, ela fará de qualquer jeito, legalizado ou não. Então legaliza logo.  #AbortoSim",0,0.4716928899288177,0.5283070802688599,Incerta,
#AbortoSim Eu queria que homem engravidasse também,A voz do lula  me da aborto #AbortoNao,0,0.5185480713844299,0.4814518988132477,Incerta,
"Dizem que a mãe de Karl Marx iria abortá-lo. Mas certo dia um ser fantasmagórico veio até ela e disse que o feto teria uma importante missão nessa terra, pois desvendaria os segredos do capital. Mesmo assim ela tentou mas não deu certo. #AbortoNao",#AbortoSim quem deveria ter que decidir se vai ou não abortar é justamente a mulher que vai gerar o feto. E nínguem deveria tirar essa decisão dela.  vão se fuder,0,0.5916278958320618,0.4083720743656158,Incerta,
"O STF pautou para o dia 24 de abril o julgamento de uma ação que autoriza o aborto em casos de infecção por zika vírus. Enquanto estamos lutando pela vida no caso coronavirus, alguns lutam pela morte. O diabo NUNCA dorme. #AbortoNao",O diabo KKKKKKKKKKKKKKKKKKK,2,0.1401469856500625,0.8598529696464539,Alta,
"Se tua mãe o tivesse abortado,  você não estaria aí pensando em votar a favor do aborto.  #AbortoNao","Para esquerda ser contra o aborto é querer dominar o corpo da mulher,a mesma esquerda que foi contra o projeto de lei que permitia a mulher fazer laqueadura de graça tendo filhos ou não e sabemos que o estado hoje é quem decide quando a mulher pode fazer.Hipocrisia. #AbortoNao",0,0.1475144922733307,0.8524854779243469,Alta,
"#AbortoNao  Amados?????? Procurem informação por favor, vejam o que acontece com uma não desejada.   #AbortoSim por elas!!!","Quando vc digita #AbortoNao , a primeira que aparece é abortosim, porém olhem a diferença absurda nos números, redes sociais a favor da morte.          @",0,0.1876084059476852,0.8123916387557983,Alta,
"No Brasil é crime ser honesto,querer trabalhar,ser conservador e lutar pela família. Mas,se for bandido e corrupto,tem proteção dos direitos dos manos,apoio da OAB,bênção do supremão com aval do congresso .. #CongressoInimigoDoBrasil  #AbortoNao","#AbortoSim Só é ""pró-vida"" quando tá no útero, né? Orfanato não é igual Chiquititas, uma mãe que cria o filho com desprezo pode destruir a saúde mental dele, a maioria rejeitada vai parar na rua, vira bandido e vocês defendem matar essas pessoas. A hipocrisia não tem limites ...",0,0.1407635509967804,0.859236478805542,Alta,
"O STF defensor de bandidos, agora quer legalizar assassinato de bebês indefesos e inocentes no ventre. #AbortoNao","Imagina meu filho ser preto, aborto na hora #AbortoNao",0,0.9919098019599916,0.0080902362242341,Random,
