tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict,Tipo
"A absurda censura de contas nas redes sociais com base na vontade de um ministro do STF é só uma amostra do que virá se o ""PL das Fake News"" for aprovado. A censura completa a qualquer um que discordar de qualquer político ou semideus do STF é logo ali.","E tem gente que ainda acha que o ""Inquérito das Fake News"" é realmente pra apurar Fake News Nada mais é que uma censura por parte de políticos e ministros E não somente de um lado, se isso for aprovado, quem é de esquerda, direita qualquer ideologia não poderá falar mal deles.",2,0.5973241925239563,0.4026758074760437,0.0,Incerta
Menos Estado? Pros outros!..essa bela matéria do   mostra que o dono da Havan tomou dezenas de empréstimos do BNDES para expandir seus negócios com aquela fachada de mau gosto. E conta mais sobre um dos mais barulhentos apoiadores de Bolsonaro.,"Muitas vezes o discurso ""Estado mínimo"" significa menos investimento Público em educação, saúde e saneamento, porém mais investimento Público no setor privado e no aparato coercitivo do Estado (segurança pública e militares).",2,0.4809939265251159,0.5190060138702393,0.0,Incerta
Censura nunca mais.,"O ódio pelo Bolsonaro, não pode ser maior que o amor pela nossa liberdade! Hoje são eles, amanhã será você, eu, qualquer um! Censura Jamais!",1,0.4803921282291412,0.5196078419685364,0.0,Incerta
"Hoje tivemos várias contas somente da direita como sempre CENSURADAS!Pq vcs da  não tão fazendo o #GrandeDebate com esse tema?  Tão falando de aposentadoria de Militar?Tão dormindo?Ou tão passando pano p/ DITADURA, CENSURA nas redes, nas ruas e nas casas? #ImprensaLixo",Vcs estão instaurando uma ditadura no país! Censurar é crime! Vcs são uma vergonha!!!!  #STFVergonhaNacional  Vcs não são dignos do Brasil!,0,0.4731090664863586,0.5268909335136414,0.0,Incerta
Hoje é o dia da censura no Twitter?,"Como sempre o senhor Alexandre de Moraes continua com a sua ditadura, está tirando a liberdade de expressão",1,0.4211830794811249,0.5788169503211975,0.0,Incerta
"Estão cometendo crimes? Investigue, denuncie, processe. Censurar, eu não concordo.",Vale lembrar que muitos estão com medidas cautelares e tornozeleira eletrônica e desrepeitando elas.   Tirar um bandido de circulação prendendo ele para nao cometer mais crimes e Censura?,2,0.5490341782569885,0.4509658217430115,1.0,Incerta
Vivemos em uma ditadura da toga #VozParaBernardoKuster,Nossa Brasil virou uma Venezuela mordena e com ar de democracia.,2,0.5218520760536194,0.4781478941440582,0.0,Incerta
"A corrupção, no brasil, está ligada aos políticos e as grandes empresas. Não entendo como isso ganha eleição e engana, até, gente que sabe do que se trata. Não tem tanto mau caráter quanto pensamos. Temos que entender essa dinâmica.",Deve ser a dinâmica do quanto pior pra nós melhor pra eles #GovernoDeFraudes,2,0.4399896562099457,0.5600103735923767,0.0,Incerta
O dia em que a Corte guardiã da Constituição e dos direitos do povo censurou e suprimiu o direito à liberdade de expressão.,"24 de julho de 2020 vai entrar para a história. O dia em que a censura voltou ao Brasil. Porém, desta vez as vítimas são os conservadores e apoiadores do presidente não os comunistas e bandidos que roubaram a nação (esses nunca perderam o direito de defender suas ideias).",2,0.5536766648292542,0.4463233053684234,0.0,Incerta
Opa peraí #VozParaBernardoKuster,"Gente, mentira que o Gado tá reclamando da ""censura"" do Twitter? Nera eles que queriam AI-5?   mar como eu amo as voltas que a terraplana dá, ein! KKK  #CiroComGugaNoblat",0,0.5963072180747986,0.403692752122879,1.0,Incerta
O que vcs acham do STF ?,"STF é composto de criminosos, sujos e esquerdistas oportunistas, que para se manter com poder, roubando e privilegiando os ""amigos"" coloca em risco o avanço do país e censura seu povo.",1,0.5849001407623291,0.4150998592376709,0.0,Incerta
