tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Tipo,Conflict
"Meu pai será reeleito em 1° turno! Quem for votar nele, retweet  #Bolsonaro2022","Se vcs não fizerem nada contra a censura da toga, acho que infelizmente nosso PR não vai não.Sou Brasileiro não desisto nunca, acho que o Alexandre de Moraes tá jantando vcs.",2,0.4828630685806274,0.5171369314193726,Incerta,
"Muitos confundem apoio com devoção!  A medida q ele tá ""abandonado"" as pautas conservadoras e os seguidores mais aguerridos, as notícias da grande mídia começam a ficar mais favoráveis e as pesquisas mostram aumento da sua popularidade, mas isso é traição, novos Nandos Moura...","Acho debativel. Mas sobre a grande mídia, eu n sei do q você tá falando n. Até onde eu vejo, tá igual, se não pior.",1,0.424461156129837,0.5755388140678406,Incerta,
EU vendo que contas bolsonaristas são retiradas do ar no Twitter e Facebook e que o pessoal que pede a volta da ditadura tá reclamando de censura,e   vcs são uns ícones,2,0.4772809147834778,0.5227190852165222,Incerta,
Censura é só quando derrubam quem concorda com você?,"será que a CNN está tratando com normalidade a censura imposta pelo STF inclusive contra a jornalistas? Por que STF não bloqueia a conta de quem difama o Presidente da República ou o ameaça de morte? Até o PGR foi contra, disse que as postagens eram somente críticas...",0,0.4759365916252136,0.5240633487701416,Incerta,
"Coloquei a postagem do discurso da deputada Benedita, pois são parecidos. Ela fala em derramamento de sangue. Ambos dizem ter usado sentido figurado. Se houver crime, puna, não defendo crime. Sou contra censura de opinião.","Sou contra a censura também. Mas em caso de uso para cometimento de crime, não cai em censura. Tanto que há direito de resposta e vedação ao anonimato.",1,0.5462325811386108,0.4537674188613891,Incerta,
Opiniões e críticas podem ser criminosas. É óbvio que podem. Todo mundo pode ser responsabilizado pelo que diz. Ninguém está discutindo isso.  O que a Constituição veda -- e é o ponto dessa discussão que o pessoal pró-decisão ignora completamente -- é censura prévia.,"A censura prévia é impedir que alguém se manifeste ao tolher os meios de difusão da mensagem -- Censura não é impedir a expressão, é impedir a DIFUSÃO.  A lei permite -- e ninguém discute isso -- a remoção de tweets ofensivos, por exemplo. O que não pode é impedir de manifestar.",1,0.1134973540902137,0.8865026831626892,Alta,
"Proibir, com ordem prévia e geral, que uma pessoa se manifeste através de um veículo de comunicação legítimo é censura. Ponto.",Em ditadura não existe censura,1,0.1042590886354446,0.8957408666610718,Alta,
Para ameaça ja tem lei no código penal.. Ofensa também.. Censura é censura! Ponto.,"Não falei de censurar ameaça. Só estou dizendo que pessoas tratam ofensa como ameaça e por isso pedem censura. Não sabem ver a diferença e tratam tudo como a mesma coisa. Ofensa não se leva a serio, ameaça não se censura, mas tem que abrir o olho",1,0.1364412009716034,0.8635587692260742,Alta,
"Exclusivo: Luciano Hang obteve 55 empréstimos do BNDES para transformar Lojas Havan em império. De 1993 a 2014, o empresário hj investigado no Inquérito das Fake News conseguiu R$ 72 milhões junto ao banco estatal, revelam  e :","Mas nossa esse estadão malvadão existem pra alguns e pra outros nao, não é mesmo",2,0.9869245290756226,0.0130754355341196,Random,
bom dia mas só pra quem também é uma grande merda patética,"Saber que Bolsonaro é preferência nacional pelos próximos 8 anos deixou Alexandre de Moraes putão. Já que não tem ninguém que possa barrar esse comuna, que Deus faça a justiça por nós. #Bolsonaro2022",0,0.9839730262756348,0.0160269979387521,Random,
"A decisão do FB e do TW de derrubar as contas de apoiadores de  é sem precedentes na rede mundial, que se caracteriza pela ampla liberdade de expressão. A decisão de suspender as contas é contraditória porque a  investigação não está concluída. País sob censura.",#FreedomOfSpeech Existe uma rede social que não aceita censura de governos:,1,0.4305648803710937,0.5694351196289062,Incerta,
"Branca chorando pq uma pessoa falou q preferia o cabelo dela grande, imagina se ela escutasse comentários como ""bombril"" ""arbusto"" ""alisa"" ""prefiro de trança"" ""deu choque"". Ela ia se matar no primeiro dia, ai esse povo da mt biscoito pra branco mimado acham q a vida é um morango.","?????? ai gente fala sério, vamo dar uma segurada ne",2,0.5015657544136047,0.4984342455863952,Incerta,
"Os mesmos que defendem bloqueio de contas investigadas em redes sociais, são os que defendem a liberdade para um condenado por ""falta de prova"".",Esses perfis q foram bloqueados estavam exaltando Roberto Jefferson pq o tal (ladrão corrupto condenado e preso ) agora apoia o mito deles .,2,0.4249065220355987,0.5750935077667236,Incerta,
Sobre contas de conservadores sendo banidas: a liberdade de expressão é direito fundamental garantido em nossa Constituição e deve ser válida para todos.,"Vamos ficar só nesse discurso de censura, será apenas isso?",1,0.4320814907550812,0.5679185390472412,Incerta,
GRANDE DIA   -  SÓ se for para os esquerdopatas babacas e suas fakenews. A ESQUERDA é mãe das fakenews.,"O gado Bolsonarista tipo Sara Winter, acha que pode ameaçar, incitar violência, estupro, e ficar por isso mesmo. Isso é crime Independentemente se for contra ministro do STF, ou um catador de papelão na rua. Conta suspensa é pouco pra esse pessoal.",0,0.4130869209766388,0.5869131088256836,Incerta,
Como vc é tratado no Brasil qd é de direita e qd é de esquerda,Censura .. Mas só para a direita..  #FreedomOfSpeech,2,0.4825296401977539,0.5174704194068909,Incerta,
"O bom dessa censura toda é que fica clara a inexistência da democracia representativa no Brasil.  O sistema está nu, mais do que nunca.","Alô,  , está na hora de mais um ""acabou, pô!"".",2,0.4435924291610718,0.5564075708389282,Incerta,
