tweet_1,tweet_2,Class,Conflict
"O aborto tem q ser permitido, pra evitar q crianças cresçam em ambientes onde não são amadas, vivem passando necessidades e acabam sofrendo grandes traumas! Essa foto é de um bb q nasceu com o DIU na cabeça, nenhum modo de prevenção é 100%  #AbortoSim","VC não acha melhor a bebê nascer não, vai ter coragem de fazer essa monstruosidade olhando no olho?  Coisa de monstro matar inocentes!!  #AbortoNAO",1,1
"Bora subir, robozada?   #AbortoNao",#AbortoNAO vida sim,1,0
STF quer aplicar a medida enquanto a gente não tá vendo!! #AbortoNao,Que Porra é essa ? #AbortoNao,1,0
"Enquanto lutamos pela nossa vida contra o covid19, o STF abre uma sessão pra liberar o aborto! Que país é esse?  #AbortoNao    #STFVergonhaNacional",Assassinato nunca! #AbortoNAO,1,0
STF quer aplicar a medida enquanto a gente não tá vendo!! #AbortoNao,Vergonha desse STF  #AbortoNAO,1,0
"Bora subir, robozada?   #AbortoNao","Gostaria de informar que devido a grande repercussão do vídeo de Araraquara, o jornalista foi demitido. Mas queremos mais, muito mais; queremos que o Ministério Público investigue todos os contratos feitos entre a prefeitura, as mídias, rádio e televisão de Araraquara #AbortoNAO",1,-1
É fácil defender o aborto sendo que você já nasceu. #AbortoNAO,"Há se as pessoas sobessem o mal que trszem para suas vidas, derrando sangue inocente, jamais defenderia tal ato. #AbortoNAO",1,0
"O que a Bíblia fala sobre o aborto?  ""Antes que te formasse no ventre de sua mãe, Eu te conheci""  Jeremias 1.5 #AbortoNao",Linda passagem da Bíblia. #AbortoNAO,1,0
"Bolsominions estão revoltados pq STF pode permitir aborto de fetos com zika vírus. Imagine q 1 mulher está grávida de um bebê q, se não nascer morto, viverá apenas meses. Pq obrigá-la a prosseguir com a gravidez q pode por a vida dela em risco? Ela é q tem q decidir! #AbortoSim","É sobre as mulheres terem escolha. Se uma gestante com feto com zika vírus quiser seguir adiante com a gravidez, ela tem td o direito. Se ela quiser interromper a gravidez, ela deve ter td o direito tb. Simples! #AbortoSim",1,0
"O que a Bíblia fala sobre o aborto?  ""Antes que te formasse no ventre de sua mãe, Eu te conheci""  Jeremias 1.5 #AbortoNao",#AbortoNAO  Minha nossa! Isso não!,1,-1
É muita gente hipócrita e sem noção usando a #AbortoNAO a maioria homens eleitores do bozo e o resto que dão mais valor a um feto do que a vida de uma mulher. O corpo é MEU e absolutamente TUDO nele TAMBÉM É MEU a decisão é MINHA SIM portanto #AbortoSim,#AbortoNAO isso e' assassinato,1,1
Vamos subir #AbortoNao .  STF quer aprovar medida em plena pandemia.,Com o STF não dá pra ter paz um segundo. #AbortoNAO #AbortoNao,1,0
"Em plena epidemia do Covid-19, o STF quer aprovar o aborto no Brasil. Vamos subir a tag #AbortoNao.",Isso é um absurdo! #AbortoNAO,1,0
#AbortoNAO chegando ao topo dos TT's.   Vamos pressionar o STF.,"#AbortoNAO , não acredito que aqueles corruptos estão liberando o aborto. Tem que fechar aquela zona o quanto antes. Um STF honesto e competente vai ajudar na faxina que o Brasil precisa. Esse só atrapalha.",1,0
"Precisamos falar desse assunto antes que os Sinistros do STF vergonha nacional torne essa doença como normal, e vou postar aqui o que o grande Sikera JR pensa sobre esse assunto, sou contra quer evitar ter filhos fecha as pernas bando de nojentas dos infernos.  #AbortoNAO","Complemento sua fala dizendo q em todos as cidades do Brasil, milhares de bairros tem postos de saúde. Lá encontram-se o PSF, onde são distribuídos preservativos, anticoncepcional, DIU, laqueadura, desde q os usuários sejam cadastros no sistema. Fica grávida quem quer #AbortoNAO",1,0
"Bora subir, robozada?   #AbortoNao","adoro ver vcs ""PRO VIDA"" quando se tem crianças nas ruas em orfanatos abandonadas por gravidez n desejada!!! MEU CORPO MINHAS REGRAS #ABORTOSIM",1,1
"Só pode ser absoluta mentira.... não é possível que o  vai vir com uma DESGRAÇA dessas em meio a zona que estamos vivendo!??????????   Isso sendo verdade, isso é de uma baixeza impossível de medir!  #AbortoNao",só pilantras traidores globalistas ! #AbortoNAO,1,0
Vamos subir #AbortoNao .  STF quer aprovar medida em plena pandemia.,Boa noite. #AbortoNAO,1,0
"Bora subir, robozada?   #AbortoNao",Vamos erguer nossa voz #AbortoNAO,1,0
"Bora subir, robozada?   #AbortoNao",Ativando modo robô #AbortoNAO,1,0
Vamos subir #AbortoNao .  STF quer aprovar medida em plena pandemia.,Com certeza #AbortoNAO,1,0
"#AbortoNAO  Vc pode ser contra o aborto sendo homem, mulher o caraio a 4 Homem também fornece material genético pra formar a criança  Sim, somos contra o aborto CHORA",E depois fogem sem querer assumir #AbortoSim,1,1
STF quer aplicar a medida enquanto a gente não tá vendo!! #AbortoNao,STF vergonha nacional! #AbortoNao,1,0
Quem usa a #AbortoSim deveria dar o exemplo e SE abortar.   #AbortoNão,"A mãe de quem usa #abortosim deveria ter abortado ele,assim não estaria agora defendendo este crime.",1,0
"Complemento sua fala dizendo q em todos as cidades do Brasil, milhares de bairros tem postos de saúde. Lá encontram-se o PSF, onde são distribuídos preservativos, anticoncepcional, DIU, laqueadura, desde q os usuários sejam cadastros no sistema. Fica grávida quem quer #AbortoNAO","Ana perfeito é que aqui nem cabe muita coisa pra dizer, basta lembrar que ainda temos a pilula do dia seguinte além de tudo que citou, mais o prazer de assassinar dos esquerdistas é enorme, e esse STF é capaz de tudo. #AbortoNAO",1,0
A quantidade de mulheres q são  mortas por n terem uma condição  financeira alta é justamente por terem q se submeter a incerteza da morta e do medo.A falta de igualdade também se encontra aq.Mulheres com condições altas vivem msm opitando por um aborto saem ilesas #AbortoSim,"e já as de baixa renda tem q optar por essa incerteza de morrer ou viver ,ser pela vida é também entender isso ,até pq nenhum método contraceptivo é 100% seguro #AbortoSim",1,0
Vamos subir #AbortoNao .  STF quer aprovar medida em plena pandemia.,"As mesmas pessoas que gritam  na quarentena;  ""A Vida vale mais que o Dinheiro"" Querem matar inocentes  ABORTISTAS SÃO HIPÓCRITAS #AbortoNAO",1,0
"Os hipócritas de ""todas as vidas importam"" menos aquelas que estão se desenvolvendo no útero. Não quer filho não faça sexo sem camisinha ou então use métodos contraceptivos tem vários escolha um é bem mais fácil do que matar uma vida. #AbortoNAO",Verdade #AbortoNAO,1,0
Só quero saber quem foi o macho q subiu essa tag #AbortoNao pra eu meter uma bicuda na cara dle  Entendam sem útero sem opinião,"é facil falar #AbortoNao né, mas  pena que adoção não é fácil igual ir no supermercado e comprar arroz. mulheres que abortam tem seus motivos não só individuais,basta pesquisar o perfil destas mulheres. o aborto seguro deve ser sim um direito da mulher, e só ela deve opinar sobre",1,0
"Bora subir, robozada?   #AbortoNao",Vida sim #AbortoNAO,1,0
"Eu peço a quem for a favor do aborto, para refletir se sua mãe tivesse feito essa opção quando estivesse grávida de você... Não é possível um ser humano agir com tamanha covardia!  #AbortoNao",Duro é ver esta turma que grita em favor do aborto e choram pela morte de um cachorro. #AbortoNAO,1,0
A feminista acha mesmo que na cabeça das pessoas o homem que abandona o filho é bem visto. Só se for na cabeça de pertubada delas  #AbortoNAO,"Mas a mente delas é perturbada. Essas distorções que elas fazem é desonestidade pura. Geralmente elas também inventam que ""somente homens"" levantam tags contra o aborto, ignorando totalmente a opinião das mulheres que também são contra esse absurdo.  #AbortoNAO",1,0
#AbortoNAO chegando ao topo dos TT's.   Vamos pressionar o STF.,Sempre pela vida!!! #AbortoNAO,1,0
"Bora subir, robozada?   #AbortoNao",Bora!#AbortoNAO,1,0
Quem usa a #AbortoSim deveria dar o exemplo e SE abortar.   #AbortoNão,#AbortoNAO eu apoio,1,0
#AbortoNAO chegando ao topo dos TT's.   Vamos pressionar o STF.,#AbortoNAO !!!  Dória Não !!!  Globo Não !!!  Wilson witzel Não !!!,1,0
Vamos subir #AbortoNao .  STF quer aprovar medida em plena pandemia.,"Levei um susto,  com esse tal de aborto,  ainda bem existe  pensante  aqui neste  Brasil  #AbortoNAO",1,0
Quem usa a #AbortoSim deveria dar o exemplo e SE abortar.   #AbortoNão,"Dia 24/04 o STF promove a EUGENIA, votará pelo aborto de crianças com microencefalia, em meio a ""pandemia"".  #AbortoNAO  #STFVergonhaNacional  Meu corpo, minhas regras! Corpo do bebê, REGRAS DO BEBÊ!   Deixe o feto conquistar sua própria vida!",1,0
"HOMENS, calem vossas boquinhas que este assunto não lhes diz respeito! Vão aprender a lavar o pinto que é o melhor que vocês fazem! #AbortoNao #AbortoSim","Segundo o bozo muitos homens morrem pq não lavam o pinto, logo isso sim deveria ser preocupação deles. #abortosim",1,0
A defesa do #AbortoNao mata uma mulher a cada dois dias no Brasil. A médica Débora Campos contou ao Intercept como reduzir os riscos de um aborto inseguro – e nós resumimos as explicações em um conjunto de cards.,"Esse povo contra aborto são tão informados né? Tipo ""há é só usar camisinha"" como se a camisinha tivesse 100% de eficácia.Agr como sobre  aborto com pessoas que não sabem q nenhum método contraceptivo é 100% eficaz? #abortosim",1,0
Você é contra o aborto? Então senta o dedo nessa tag: #AbortoNao,#AbortoNAO  Eu nasci e quero que os bebês TB!,1,0
"O que a Bíblia fala sobre o aborto?  ""Antes que te formasse no ventre de sua mãe, Eu te conheci""  Jeremias 1.5 #AbortoNao",Aborto é assassinato. #AbortoNAO,1,0
Vamos subir #AbortoNao .  STF quer aprovar medida em plena pandemia.,Tá difícil! #AbortoNAO,1,0
"Tenho certeza que a galera do #AbortoNao nunca, NUNCA, parou pra ler do que se trata. Aborto é questão de saúde da mulher. Tem que ser discutido, mas como sempre querem cagar regra.",Saude é teu rab*. Aborto é assassinato !!  #AbortoNAO,1,1
Vamos começar a pressão ao STF já.  #AbortoNAO,O país sofrendo com mortos e o STF? #AbortoNAO,1,0
STF quer aplicar a medida enquanto a gente não tá vendo!! #AbortoNao,STF lixo . #AbortoNAO,1,0
STF quer aplicar a medida enquanto a gente não tá vendo!! #AbortoNao,"Nem pensar,  quem tinha que ter feito isso era a mãe  dele e não fez #AbortoNAO",1,0
"Bora subir, robozada?   #AbortoNao",#AbortoNAO Cansativo este Supremo e esta esquerda! Sempre fazendo afronta à sociedade brasileira!,1,0
#AbortoNAO chegando ao topo dos TT's.   Vamos pressionar o STF.,STF ouça a maioria do povo brasileiro que é Cristão e conservador! #AbortoNAO,1,0
"Bora subir, robozada?   #AbortoNao",Vamos!  STF LIXO!  #AbortoNao,1,0
#AbortoNAO chegando ao topo dos TT's.   Vamos pressionar o STF.,#AbortoNao e NÃO,1,0
Vamos subir #AbortoNao .  STF quer aprovar medida em plena pandemia.,Lamentável #AbortoNao,1,
#AbortoNAO chegando ao topo dos TT's.   Vamos pressionar o STF.,Vamos sim. #AbortoNAO,1,
"Bora subir, robozada?   #AbortoNao",Enquanto lutamos pela vida o STF conspira pela morte. #AbortoNAO,1,
"Bora subir, robozada?   #AbortoNao",Vida sim! #AbortoNAO,1,
vcs do #abortonao se preocupem com as crianças abandonadas nas ruas e em orfanatos e deixem as mulheres decidirem sobre seu próprio corpo #AbortoSim,"O discurso de genocidas é assim mesmo: ""Vamos matar antes que eles morram de outra forma no futuro."" #AbortoNAO",1,
"Bolsominions estão revoltados pq STF pode permitir aborto de fetos com zika vírus. Imagine q 1 mulher está grávida de um bebê q, se não nascer morto, viverá apenas meses. Pq obrigá-la a prosseguir com a gravidez q pode por a vida dela em risco? Ela é q tem q decidir! #AbortoSim",e a maioria bolsominions HOMENS  a piada #AbortoSim,1,
#AbortoNAO chegando ao topo dos TT's.   Vamos pressionar o STF.,"Sabe o que eu acho engraçado? A mulherada tudo com o papo ""mimimi se você não tem útero não pode opinar"" MAS OS VIADOS ESTÃO OPINANDO e elas estão caladinhas né? Sabe o que vocês abortistas são? PUTAS. #AbortoNAO",1,
Vamos começar a pressão ao STF já.  #AbortoNAO,"Leandro! Eu tenho HORROR desse  ! Tudo ERRADO, INCONSTITUCIONAL! Ok. Segue o jogo! #AbortoNAO",1,
Quem usa a #AbortoSim deveria dar o exemplo e SE abortar.   #AbortoNão,#MonarquiaJa  Vamos fazer chegar em primeiro!  #AbortoNAO,1,
#AbortoNAO chegando ao topo dos TT's.   Vamos pressionar o STF.,#AbortoNAO  nem pensar,1,
"Entendam pessoal do #AbortoNao , não legalizar o aborto é permitir que milhares de mulheres morram (no caso as que não tem dinheiro pra pagar por fora um aborto clandestino com médicos em clínicas particulares)",E o que é mais engraçado que a mesma elite que prega o #AbortoNao é a primeira a recorrer ao “médico da família” pra abortar o filho da amante.,1,
"Gente, que país é esse? Que líderes são esses no  meu Deus  #AbortoNAO",Nunca   #AbortoNao,1,
#AbortoNAO chegando ao topo dos TT's.   Vamos pressionar o STF.,Chega de mortes! #AbortoNAO,1,
É muita gente hipócrita e sem noção usando a #AbortoNAO a maioria homens eleitores do bozo e o resto que dão mais valor a um feto do que a vida de uma mulher. O corpo é MEU e absolutamente TUDO nele TAMBÉM É MEU a decisão é MINHA SIM portanto #AbortoSim,"Não é não, é outro ser humano, fazer sexo com segurança e evitar a gravidez de pai desconhecido, assim ajuda a sociedade e a um mundo melhor! #AbortoNAO",1,
Hoje eu perco essa conta. Mas foda-se!   Eu irei xingar todos os defensores de assassinato de crianças.  #AbortoNAO,ninguém tá falando de assassinato de crianças seu burro #AbortoSim,1,
"Bora subir, robozada?   #AbortoNao",Claro chefe #AbortoNao,1,
#AbortoNAO chegando ao topo dos TT's.   Vamos pressionar o STF.,"Tem um monte de hipócritas escondidos dentro de casa dizendo defender a  ""vida"" que é a favor do aborto.  #AbortoNAO",1,
#AbortoNAO chegando ao topo dos TT's.   Vamos pressionar o STF.,#AbortoNAO  STF - VERGONHA NACIONAL  e INTERNACIONAL!!,1,
"Aborto sim, porque ninguém tem o direito de ditar regras sobre o nosso corpo. Até porque a maioria não é pró vida e sim pró nascimento, depois a mãe e o bebê que se dane. Aborto sempre vai existir, o que queremos é o direito de termos um aborto seguro. #AbortoSim",Somente as mulheres pobres morrem fazendo aborto. Lembrando que nenhum método contraceptivo é 100%.  #AbortoSim,1,
