tweet_1,tweet_2,Class,Conflict_Caio,Conflict_Victor
"#AbortoNao crianças em internatos não é consequência de não abortar, e sim de abandono. A legislação já atende quando necessário (estupro, acéfalo, risco de vida), é o suficiente. Agora, abortar após uma noite de não prevenção é um absurdo.",0 ARGUMENTOS pra esse povo q apoia aborto #AbortoSim,0,0.0,0.0
#AbortoNao  Não vamos deixar o STF legislar mais uma vez sobre um assunto tão importante!,"#AbortoSim  o feto não é considerado humano antes dos três meses. não sente dor. não tem cérebro. não tem coração, muito menos terminações nervosas.  mas o feto é humano quando tem 7, 8, 9 anos de idade e mora na rua, quando está passando fome e quando está sendo abusado.",0,1.0,1.0
#AbortoNao é um crime o  pautar um assunto tão polêmico para este momento. Parece que os deuses de toga querem aprovar tudo que querem a toque de caixa.  Eu tenho vergonha do STF,Quem comete aborto mata um ser inocente que não vai ter a oportunidade de desfrutar da vida. #AbortoNao,0,0.0,0.0
"Tentar reduzir o aborto a uma questão de saúde pública ou a decisões exclusivas de mulheres não significam outra coisa senão negligenciar, de forma arbitrária, autoritária e ideológica,  a natureza de que o embrião é uma pessoa! Um ser humano!   #AbortoNao",Todos os homens são contra o aborto até o dia em que a amante engravida #AbortoSim,0,1.0,1.0
"#AbortoNao ou #AbortoSIM  Não tenho útero, então prefiro não opinar.",O Brasil é cristão e conservador! #AbortoNao,0,0.0,0.0
Stf canalhas mil vezes #AbortoNao,#AbortoNAO Enquanto estamos em quarentena para supostamente salvar vidas... O STF tenta liberar o aborto?  Sendo que estamos presos em casa e sem liberdade de locomoção?  Nem ir às ruas protestar podemos?  V A G A B U N D O S,0,0.0,0.0
#AbortoSim só pra subir a tag,O oportunismo da morte.  #AbortoNao,0,1.0,-1.0
#AbortoNao E como sempre os abortistas não variam nos argumentos. Em uma breve procurada nessa hashtag eu encontrei: Ah mas e as crianças do orfanato? Ah mas e as mulheres que morrem de aborto? Ah mas homem não pode opinar Ah mas se o papa tivesse útero o aborto era legal...,quem quiser faz quem não quiser não faz simples assim #AbortoSim,0,1.0,1.0
"Vivemos em um Estado Laico, onde as decisões políticas não devem ser tomadas por valores morais e religiosos. Descriminalizar o aborto é dar condições para que as mulheres continuem vivas. É caso de saúde pública!  #AbortoSim","STF pautou ABORTO para dia  24 , no auge da Pandemia. Enquanto dormimos, STF cumpre a pauta  dos COMUNISTAS para assassinar indefesos !  STF, diz que quer salvar vidas prendendo as pessoas em casa com fome , enquanto pauta assassinatos, de bebês.  #AbortoNAO",0,1.0,1.0
sempre fui a favor da vida #AbortoNAO,"#AbortoNunca Me poupe de homens ficarem dizendo o que as mulheres devem fazer com seu corpo. Afinal, não são eles que terão de parir após 9 meses de gestação! #AbortoSim",0,1.0,1.0
#AbortoSim É um direito!,Podem tentar contemporizar. Podem tentar relativizar. Podem tentar criar exceções.  Mas o fato é que o aborto só se concretiza com a morte do filho autorizada pela própria mãe.  #AbortoNao,0,1.0,1.0
Diga não ao assassinato de inocentes! #AbortoNao,"""Aquele que me fez no ventre materno não os fez também? Não foi ele que nos formou, a mim e a eles, no interior de nossas mães?""  Jó 31:15 #AbortoNao",0,0.0,0.0
#AbortoNao  Querem matar crianças agora? Absurdo!!!,"Quando uma pessoa morre, você não pode simplesmente tirar seus órgãos para doação se ela não deu consentimento em vida. Uma mulher viva não pode abortar por não ter direito sobre o próprio corpo. O direito de uma mulher vale menos do que o de uma pessoa morta?  #AbortoSim",0,1.0,1.0
"Ao querer desidratar o Executivo, o STF e o Congresso podem estar tirando a relevância de si mesmos. A população já começa a resgatar em quem ela votou para deputado estadual.  Se a política vai girar em torno dos governadores, Brasília desaparece.  #FicaEmCasaMandetta #AbortoNao","Não se envolva em falsas acu­sações nem condene à morte o inocente e o justo, porque não absolverei o culpado. Êxodo 23:7 #AbortoNao  #AbortoSim Deus de sabedoria para este entendimento... Deus abençoe a todos...",0,0.0,0.0
#AbortoNao legalizado tá matando mulheres. Legalizaaaaaaa!,"Tweet de Maurício Costa () Maurício Costa () tweetou: Todo mundo que apoiava a escravidão era livre, todo mundo que apoia o aborto já nasceu.   Falam em ""aborto seguro"". Pergunto, para quem? Afinal, o bebê sempre morre. #AbortoNao",0,1.0,1.0
O Brasil vai ter que Ucranizar. #AbortoNAO #FiqueEmCasaMandetta #ChegouHoraDoChega  #BolsonaroEstavaCerto  #MonarquiaJa  #olavotemrazao,"#AbortoSim #abortonao aproveitando que a discussão veio a tona, recomendo que assistam esse video do Canal do Slow:   E nessa casa nós somos #AbortoSIM",0,0.0,-1.0
"#AbortoNao e importante dizer que isso não questão de opinião e sim saúde pública, não e legalizado o aborto de um feto formado somente até o ponto em que a gestação e apenas um precesso químico, e quem apoia nao e satanistas só tem o minino de bom senso","Não é questão de religião e sim de saúde pública, mulheres vão continuar abortando sendo legalizado ou não, pelo menos dê condições melhores para que elas não morram junto com o feto. Obrigada. #AbortoSim",0,0.0,0.0
