tweet_1,tweet_2,Class
#AbortoSim só pra subir a tag,O oportunismo da morte.  #AbortoNao,0
O Brasil vai ter que Ucranizar. #AbortoNAO #FiqueEmCasaMandetta #ChegouHoraDoChega  #BolsonaroEstavaCerto  #MonarquiaJa  #olavotemrazao,"#AbortoSim #abortonao aproveitando que a discussão veio a tona, recomendo que assistam esse video do Canal do Slow:   E nessa casa nós somos #AbortoSIM",0
"Se um feto fosse um indivíduo dotado de direitos, incluindo o direito à vida, mulheres grávidas poderiam fazer seguro de vida ou até passar propriedades para eles. Teriam também desconto no imposto de renda por terem um dependente, já que fetos são “bebês”. #abortosim",STF aproveitando crise para legalizar aborto.  Não podemos permitir. #AbortoNao,0
"Em meio à pandemia e palavras de todos em preocupação com as vidas, o STF resolve deliberar sobre aborto. Os humanistas que se alimentam de fetos já lambem os lábios.  #AbortoNao",#AbortoSim Eu vendo esses macho falando merda no tt. Só vem dar opinião quando vcs puderem parir uma criança,0
#AbortoSim veio na hora certa o trending,"Mas eu sinto que o maior destruidor da paz hoje é o aborto, porque é uma guerra contra a criança – um assassinato direto da criança inocente – assassinato pela própria mãe.  Madre Teresa #AbortoNao",0
Boa noite Primeiro #AbortoNao Segundo Cada dia estão enfraquecendo nosso presidente O que esta esperando nosso presidente p tomar uma atitude drástica.,"#AbortoSim   milhares de mulheres  morrem todos os anos com abortos ilegais  , o gove  deveria pelo menos  dar um auxílio  para garantir a segurança  da mulher ; independentemente  se é  ético  ou não  , isso quem  decide  é  a mulher!",0
"As pessoas acham q quando dizemos #AbortoSim na primeira oportunidade vamos abortar, ngm vai mais se prevenir e vamos engravidar e abortar por pura diversão como se fosse super cool só pode",STF cuidado vcs estão puxando a corda #AbortoNao,0
#AbortoNao  querem acabar com o aborto? Fácil legalize a venda de crianças resolvido!,"Vc que prática esse tipo de assassinato de um inocente, tomara que vc morra. #AbortoSim",0
"Só eu q sou bem foda-se em questão de aborto? Tipo, pra mim o problema seria tão simples de ser resolvido: quem achar certo aborta e quem n achar certo n aborta.  #AbortoSim","E aquele papo de ter que ficar em casa pra preservar a vida?  Teve até um chorinho dramático de político!  E o papo de ""economia a gente corre atrás, a vida não""...  Mas aprova o aborto?  Hipocrisia tem limites!! #AbortoNAO",0
"#AbortoNao Aborto deve ser feito em casos de: - estupro - renda insuficientes p criação  - gravidez de risco   Mas, se ambos engravidam por irresponsabilidade eles devem arcar com a responsabilidade. Investindo mais em educação sexual, desse modo as pessoas saberão prevenir.","e aí libfem já se posicionou #AbortoSIM hoje? ou seu feminismo é só na hora de usar blusinha escrito ""girl power"" que é feita pela mão de obra escrava?",0
"#AbortoNao Alguém já percebeu que a maioria das pessoas que são a favor do aborto ,são contra a pena de morte para criminosos ?",eu apoio o aborto apenas em casos específicos por exemplo quando a mulher quer #AbortoSim #AbortoNao,0
Só os acorrentados e desalmados defendem uma bestialidade dessas. #AbortoNao,"A atitude mais sensata nesse momento (na verdade há tempos) é fechar o STF, pois está claro que o interesse da corte não é mais em defender a Constituição #AbortoNao",0
"""Ain #AbortoSIM #AbortoNao "" Q mané é aborto mano o negocio é #AvenidaBrasil","vocês não estão preparados pra debater sobre este assunto, muita gente já argumentou sobre, inclusive, deixa pra quando vier o juízo de Deus msm #AbortoNao",0
Aborto só se a mulher for estuprada! Minha opinião.   #AbortoNao,#AbortoSim!!!  Um dia chegaremos lá...,0
"É cada um viu, então o assunto do dia no tt é #AbortoNao  Eu já fui contra também, até assistir um documentário que mostrou a realidade. A vida das mulheres que abortam ou tentaram(essas morreram) abortar ilegalmente.  É uma questão de início estrutural e logo de saúde pública.",Vida#AbortoNao,0
"O que deve ser defendido é o acompanhamento psicológico da mulher após o estupro, para ela ter ciência e consciência do que fazer. Não é culpa da criança a situação na qual é concebida, ela não deve ser punida.  #AbortoNao","a hashtag MonarquiaJa e a #AbortoNao de ontem e de hoje (respectivamente) serviram pra comprovar bastante o quão aéreo o brasileiro é sobre os acontecimentos no congresso o pessoal só ""??????""",0
Ja dizia minha vó....chupar antes de meter  facilita  a entrada da  linha na  agulha !!!!#AbortoSim,"#AbortoSim  Oi seus eugenistas nojentos, tudo bem? Espero que todo abortista seja fuzilado em praça pública E não, eu não tenho compromisso nenhum com o amor ao próximo quando o próximo defende o ASSASSINATO de pessoas ao invés da MELHORA DOS SISTEMAS DE ADOÇÃO :)",0
"Que merda é essa de não tem útero não opina? A mesma pessoa que declara que  não existe gênero? Pelo amor , quem faz filho sozinha? Vocês mesmo se contradizem. PQP. ABORTO É ASSASSINATO  #AbortoNao",#AbortoSIM  é isso,0
#AbortoNao ABORTO SIM ÓBVIO NE,"""Se não tem útero não pode opinar em questões femininas"" ok se você é branca não fale sobre racismo negro, se você não votou no Bolsonaro não o critique ou entre em assuntos decorrentes a ele! Se você não contraiu o vírus não fale sobre ele! Bando de hipócritas! #AbortoNao",0
"Eu abrindo o tt e vendo a #AbortoNao , o que é isso aqui? Chernobyl?","Não sei pq começou a tag, mas a única coisa que eu sei é que vcs nao podem e nem devem opinar na escolha da mulher, pois a unica coisa que podem e devem fazer é ir tomar no cu   #AbortoSim",0
"Aborto somente dos deputados, senadores e ministros do STF e juízecos #AbortoNao","#AbortoNao Por mais que eu PESSOALMENTE seja contra o aborto, não acredito que o mundo seja feito de decisões razas onde só existem dois botões a serem apertados, principalmente para casos polêmicos como este! Posso estar enganado!",0
"Bora subir, robozada?   #AbortoNao","Gostaria de informar que devido a grande repercussão do vídeo de Araraquara, o jornalista foi demitido. Mas queremos mais, muito mais; queremos que o Ministério Público investigue todos os contratos feitos entre a prefeitura, as mídias, rádio e televisão de Araraquara #AbortoNAO",1
Vamos subir #AbortoNao .  STF quer aprovar medida em plena pandemia.,ok mo calma aí  #AbortoSim,1
"A quem caberá decidir sobre a vida de um anjo? Não está se discutindo o direito da mulher interromper uma gravidez indesejada, pois se isso ela cometer a sua pena será “sui gêneris” . O que está se discutindo são  os lucros da clínicas de aborto que desejam faturar livremente.","A mulher tem direito sobre SUA vida e responsabilidade para cuidar e resguardá-la contra todo o mal; tem maior responsabilidade ainda para proteger a VIDA de OUTRO SER, principalmente, se este SER estiver sendo gestado em seu ventre! #AbortoNao",2
É muita gente hipócrita e sem noção usando a #AbortoNAO a maioria homens eleitores do bozo e o resto que dão mais valor a um feto do que a vida de uma mulher. O corpo é MEU e absolutamente TUDO nele TAMBÉM É MEU a decisão é MINHA SIM portanto #AbortoSim,"Sem útero, sem opinião = Se a sua foto de perfil é de anime, a sua opinião não é válida  Ambos merda",2
"Em plena epidemia do Covid-19, o STF quer aprovar o aborto no Brasil. Vamos subir a tag #AbortoNao.",Mas é Demais,2
GRAVIDEZ SURPRESA NÃO EXISTE  TREPA SEM PROTEÇÃO E ESPERA GANHAR O QUE?  UM PLEISTEICHON 4 PRA ELE E UM AIFONE 11 PRA ELA?  #AbortoNAO,Eu prefiro o iPhone 11. #AbortoNAO,2
"“Um país que aceita o aborto não está a ensinar os seus cidadãos a amar, mas a usar a violência para obterem o que querem. É por isso que o maior destruidor do amor e da paz é o aborto.” (Madre Teresa de Calcutá)   #AbortoNao",vocês são uma chacota e um desserviço mesmo,2
"Tenho certeza que a galera do #AbortoNao nunca, NUNCA, parou pra ler do que se trata. Aborto é questão de saúde da mulher. Tem que ser discutido, mas como sempre querem cagar regra.",Obesidade mata muito muito muito mais que aborto e vcs celebram obesidade. Então não venha com papo furado.,2
"O aborto tem q ser permitido, pra evitar q crianças cresçam em ambientes onde não são amadas, vivem passando necessidades e acabam sofrendo grandes traumas! Essa foto é de um bb q nasceu com o DIU na cabeça, nenhum modo de prevenção é 100%  #AbortoSim",(?????????????????????) caralho,2
"HOMENS, calem vossas boquinhas que este assunto não lhes diz respeito! Vão aprender a lavar o pinto que é o melhor que vocês fazem! #AbortoNao #AbortoSim",Pinto ? Alguém disse pinto? Pinto?,2
