tweet_1,tweet_2,Class,Conflict
"(Hidroxi)Cloroquina: quem precisar e avaliar (junto ao médico) que vale, usa, quem não quiser, não usa. Simples assim.","Não existe comprovação científica sobre a eficácia da cloroquina contra a Covid-19! Não compre essa ideia! Enquanto milhares de pessoas morrem no Brasil, vítimas do novo coronavírus, o presidente faz piada e brinca de dança das cadeiras nos ministérios. Não se engane! #covid19",0,1
"E ssa gente querendo cancelar o Lula, só pq ele se expressou mal? É sério que vcs tão querendo comparar, um dos maiores líderes politicos da América Latina, que revolucionou a vida de milhões de brasileiroxs,  com o assassino e torturador atual presidente da cloroquina do Brasil?","acaba de dizer em rede nacional que a Aspen, uma indústria farmacêutica é a fabricante da Cloroquina, sendo seu principal representante apoiador e financiador de . Entendeu agora a tara pelo Cloroquina direita?",0,0
Se a mídia está contra a Cloroquina é porque é boa no combate ao vírus ...,Tinha que jogar cloroquina nos reservatórios de água,0,0
Bora dropar cloroquina pra ficar doidão,"Assim como o ateu deixa de ser ateu quando precisa de Deus,a esquerda é quando precisa da cloroquina .kkk",0,0
CORONAVÍRUS: Ministério da Saúde orienta uso da Cloroquina e Azitromicina para tratamento de pacientes com a Covid-19 no Brasil -  via,KKKKK CHEIRADOR D PO FALANDO Q USARIA CLOROQUINA CALA TUA BOCA SEU NOIA,0,0
"GENTE, OLHEM QUE BOAS NOTÍCIAS!! A soja pode salvar a economia brasileira! Que o povo dance nas ruas!   #Cloroquina na Saúde e #soja na Economia! Votei!!  #SojaBrasileira #agronegocio #Economia  #EduardoBolsonaroTemRazao #VirusChines #China #CloroquinaCura",Não trate como Tubaína quem te trata como Cloroquina.,0,-1
"Segundo fight com o papai por causa da CLOROQUINA, acabei me excedendo de dizendo que eu queria que o Bolsonaro rei do gado tome no cu. Que meu pai não estudou pra ser médico, que sim, ele estava sendo ignorante, falei que a família Bolsonaro tinha que ser presa, parte de milicia","As novas orientações para tratamento da Covid-19, divulgadas nesta quarta-feira pelo Ministério da Saúde, divergem de TODOS os protocolos já elaborados pela pasta. Explico nesta matéria e neste fio:",0,0
Mas já??? Acabou de liberar  a cloroquina hj e a esquerda e a turma do contra  já  encontraram um cadáver  pra servir de palanque.  Coitado  do deputado do psl... Nem morrer com dignidade  pode.,"Lula, num ato falho,diz ""ainda bem"" pra COVID.  Bozo disse:""E daí?Sou messias,mas não faço milagre"" ""Quem é de direita toma cloroquina,quem é de esquerda toma tubaina"" E riu.  Fala de um não mata ninguém, fala de outro tem feito pessoas sair as ruas pra morrer.  Sem comparação.",0,0
"Olha o absurdo da ... A reportagem dá ênfase as ""desculpas"" desse bandido, , amenizando a MONSTRUOSIDADE que ele falou, logo depois coloca a fala do presidente  sobre a cloroquina na intenção de equiparar ao que o bandido falou... Vergonha! #CNNLixo",A vontade é mandar essas veia tudo enfiar a Cloroquina no cu,0,1
"Bolsonaro quis mudar a bula da cloroquina p satisfazer seu ego nojento. Mas era ele mesmo q dizia em campanha que ""eu n entendo nada, quem entende são os meus ministros"" e agora ele até médico/cientista/pesquisador é. Não era de ditadura que a direita tava correndo?! Pois bem...","Olha só! Assinatura do paciente: último desejo de um condenado...até à morte!   Após pressão de Bolsonaro, cloroquina é liberada para todos os pacientes com Covid-19",0,0
