tweet_1,tweet_2,Class,Conflict
"O  divulga orientações para tratamento da Covid-19, onde a Cloroquina pode ser ministrada em casos leves, com recomendação médica e autorização do próprio paciente/família.","Agora é oficial!!! Vamos de novo: Melhor ter uma chance usando o remedio que curou o médico do Dória, do q sentar e esperar q o destino lhe dê a oportunidade de ter um tubo enfiado na garganta! Achou ruim? Simples, é só não tomar, mas vc não decide por mim!  #BrasilComBolsonaro",2,0
Qual é a cloroquina da sua profissão?,"""tem um conhecido meu que é adEvogado e disse que pode HC pra prisão por atraso de pensão""",2,0
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.","Precisamos superar o debate político sobre a cloroquina para o bem do país. O Presidente  deseja apenas que o medicamento seja uma opção para os mais pobres, como tem sido para os mais ricos.",2,0
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.",“Pior do que ser derrotado é a vergonha de não ter lutado.,2,0
Cloroquina 'une' Bolsonaro e Maduro em meio à pandemia de coronavírus,"""é do levante, tá com Maduro!""",2,0
"Olha aí  , continue lutando pelo bem do povo em várias frentes, equilibrando saúde e economia, é o que precisamos que um presidente faça, tome decisões em tempo. Portugal, não teve efeitos colaterais . A esquerda e os opositores mentem .",Estão ignorando os efeitos de médio e longo prazo. Foi a mesma coisa com a Talidomida...,2,1
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.",É impossível ter sanidade mental com um presidente desse,2,1
Bolsonaro admite que não há comprovação científica de eficácia da cloroquina contra a covid-19 (via ),Enfia a “comprovação científica” NO CU!!   Como haveria “comprovação científica” com um vírus que surgiu há pouco tempo??!????   ANTAS!! CANALHAS!,2,1
O Prêmio para concurso de máscaras é um encontro com Michelle Bolsonaro e Damares.  Esse governo é governado por retardados.  Em breve teremos o prêmio de melhor pintura de caixa de cloroquina.  Me avise quando chegarmos ao fundo do poço!,"Essa véia, é a Sílvia Abravanel do governo Bolsonaro!",2,-1
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.",Burrice sem fim. Burrice infinita,2,1
"Lula celebra coronavírus, atribuindo-lhe poder de reforçar suas teses e práticas estatizantes, que facilitaram corrupção e crise econômica.  Bolsonaro faz piada com cloroquina, politizando o medicamento, enquanto Brasil registra mais 1.179 mortes - 17.971 no total.  #Bolsopetismo",Meu Deus!!! Eu não sei quem é pior. Os dois só falam merda!!,2,0
"Bolsonaro: ""Direita toma cloroquina e esquerda toma Tubaína""  Lula: ""Ainda bem que a natureza criou o monstro chamado coronavírus""  As frases e a realidade do País comprovam que devemos escolher lideranças éticas, equilibradas e competentes. Chega da busca de salvadores da pátria","Só dessa ameba não perceber a diferença moral gritante entre uma frase e outra, já mostra q toda a sua inteligência foi completamente dirigida pra ficar milionário. Não sobrou nada pro resto.",2,1
Bolsonaro admite que não há comprovação científica de eficácia da cloroquina contra a covid-19 (via ),"Traduzindo:  Sim, eu sei que a cloroquina é tão eficaz contra o #Covid_19 quanto o feijão do meu amigo pastor boiadeiro Waldomiro ou a #EuTomoTubaina.   Mas estou prescrevendo o seu uso porque ""Eu sou realmente a Constituição"".  Vai morrer muito mais gente. E daí?  #ForaBolsonaro",2,0
"CLOROQUINA: Presidente brincou com o tema, alvo de divergências devido aos possíveis efeitos colaterais","é um ódio que chega a me fazer MAL, desgraçado do caralho",2,0
"Neurocientista Miguel Nicolelis, um dos maiores cientistas brasileiros, diz que debate sobre a cloroquina está sendo uma distração do Governo para desviar o foco da tragédia diária que já mata mais de 1.000 pessoas por dia no país. #GloboNews",Concordo! É como se existisse uma cura e estivéssemos negando... Jogo sujo demais!!,2,0
#Coronavírus - Governo divulga protocolo para uso da cloroquina até em casos leves de Covid. Paciente precisa assinar termo que reconhece que não existem estudos demonstrando benefícios clínicos =&gt;  #G1,PACIENTE  PRECISA  ASSINAR  TERMO  QUE RECONHECE QUE NÃO  EXISTEM  ESTUDOS  DEMONSTRANDO  BENEFÍCIOS  CLÍNICOS,2,0
"O presidente Bolsonaro disse que  novo protocolo da cloroquina será assinado nesta quarta. Em transmissão pela internet, ele disse que ninguém é obrigado a tomar o remédio e fez piada sobre o assunto. #BandJornalismo  #JornalDaNoite",como estudante da área da saúde me dá muito medo não poder confiar nos protocolos do ministério da saúde,2,0
Lula e Bolsonaro são criticados juntos por frases polêmicas no dia em que Brasil tem 1.179 mortes   Lula: Ainda bem que a natureza (...) criou esse monstro chamado coronavírus  Bolsonaro: Quem é de direita toma cloroquina. Quem é de esquerda toma Tubaína,o que tem de gente dizendo que a frase do lula foi descontextualizada só mostra que o bozo não é o único que tem gado,2,0
Qual é a cloroquina da sua profissão?,me arma uma peça q eu divulgo lá no meu history,2,0
#Coronavírus - Governo divulga protocolo para uso da cloroquina até em casos leves de Covid. Paciente precisa assinar termo que reconhece que não existem estudos demonstrando benefícios clínicos =&gt;  #G1,"A pessoa está saudável, ok, o remédio eficiente é o isolamento somada as medidas de higiene, afastamento social salva vidas eu particularmente tenho certeza disso.Cloroquina não é desculpa para sair do isolamento social.",2,0
Qual é a cloroquina da sua profissão?,Cirurgião dentista que acha que é cirurgião plástico,2,0
"Afinal, o que dizem os estudos publicados sobre a cloroquina? E por que NÃO é possível dizer ainda que o medicamento é eficaz e seguro na luta contra a covid-19?   A  foi atrás dos estudos e fez resumo do que temos até agora. Siga  #Thread",Explicamos nesse fio por que não é possível dizer ainda que a cloroquina é eficaz contra a covid-19,2,0
Qual é a cloroquina da sua profissão?,penitenciária,2,0
