tweet_1,tweet_2,Class,Conflict
"Tomo cloroquina há 16 anos. A dosagem é super- controlada através de exames periódicos. O uso excessivo pode danificar rins, fígado, pâncreas além da questão cardíaca! Esse irresponsável que que a população se exploda!!!","Vc q usa tanto tempo teve algum problema? Se fosse esse perigo todo duvido que usaria por tanto tempo.  Ngm vai usar Cloroquina ou HCL por 16 anos sua maluca, é um tratamento de 7 dias com dose controla que o médico irá receitar.",1,1
"O  divulga orientações para tratamento da Covid-19, onde a Cloroquina pode ser ministrada em casos leves, com recomendação médica e autorização do próprio paciente/família.","- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.",1,0
"O  divulga orientações para tratamento da Covid-19, onde a Cloroquina pode ser ministrada em casos leves, com recomendação médica e autorização do próprio paciente/família.","Nunca precisei assinar um documento depois de um médico me receitar qualquer medicamento, não parece estranho a vocês que devamos fazer isto com a cloroquina? Quer dizer, vamos tirar a responsabilidade do Presidente Jair Bolsonaro que tanto faz questão desse medicamento para nós?",1,1
"Trecho do termo de consentimento:  ""não há, até o momento, estudos suficientes para garantir certeza de melhora clínica dos pacientes com COVID-19 quando tratados com cloroquina ou hidroxicloroquina""","""2. A Cloroquina e a hidroxicloroquina podem causar efeitos colaterais como redução dos glóbulos brancos, disfunção do fígado, disfunção cardíaca e arritmias, e alterações visuais por danos na retina.""",1,0
"Do  no  : “sabe qual minha opiniao sobre a cloroquina? Nenhuma. Eu não estudei, não sou médico, não é questão de opinião”.","Pq as pessoas acham que só os médicos entendem de cloroquina? Quem realmente entende são farmacêuticos, cientistas, bioquímicos e etc. Até o momento, vi poucos defendendo o uso seguro da substância.",1,0
"O  divulga orientações para tratamento da Covid-19, onde a Cloroquina pode ser ministrada em casos leves, com recomendação médica e autorização do próprio paciente/família.","você é um doente mental, se trata ai com cloroquina enquanto os estados unidos tão inventando a porra da vacina.",1,1
"O novo protocolo amplia o uso de cloroquina e hidroxicloroquina para casos leves de covid-19 no SUS, contra posicionamentos da Sociedade Brasileira de Infectologia e da Sociedade Brasileira de Imunologia.",Explicamos nesse fio por que não é possível dizer ainda que a cloroquina é eficaz contra a covid-19,1,0
"Porque ele quer que os brasileiros voltem ao trabalho nas ruas, nas empresas, escolas, universidades, independentemente, se for seguro ou não. A cloroquina vai dar uma sensação de segurança, de que tá tudo bem. Ele quer que a economia cresça e o brasileiro mesmo que se foda.","E quando tudo estiver ""bem"". Quando tudo voltar ao normal. Muitos vão ver ele como salvador da pátria, como chamam agora. Daí a 5, 10 anos descobriremos os problemas que o uso da cloroquina causou. (Espero muito que não)",1,0
"Sob pressão de Bolsonaro, Ministério da Saúde muda protocolo e amplia possibilidade de uso do medicamento também para casos leves, apesar de reconhecer que substância pode agravar quadro clínico.","Conforme este Soldadestério tudo será autorizado por qualquer soldado, pois não existe mais médico para atrapalhar. Portanto: Cloroquina, estricnina, morfina, Ricina, shiga-toxina, tochina, Cianeto etc. Os caminhões estariam a disposição para levar todo mundo embalado depois. Tok",1,0
"TERMO DE CONSENTIMENTO DA CLOROQUINA, OU ROLETA RUSSA.  ""Compreendi, portanto, que não existe garantia de resultados positivos, e que o medicamento proposto pode inclusive agravar minha condição clínica...","... pois não há estudos demonstrando benefícios clínicos; Estou ciente de que o tratamento com cloroquina ou hidroxicloroquina pode causar os efeitos colaterais descritos acima, e outros menos graves ou menos frequentes, os quais podem levar à disfunção grave de órgãos...",1,0
"O  divulga orientações para tratamento da Covid-19, onde a Cloroquina pode ser ministrada em casos leves, com recomendação médica e autorização do próprio paciente/família.","Mudou?? Não era isso que o Teich e a ciência estávam recomendando? Uso da cloroquina não tem evidência científica e deve ser usado com cautela, prescrito pelo médico e o paciente aceitando os riscos. Fez essa confusão toda em relação a cloroquina pra isso? Que loucura!",1,0
