tweet_1,tweet_2,Class,Conflict
Guilherme Fiuza diz que Alexandre de Moraes não passa de um tiranete e ultrapassou todos os limites,"Boletim das 17h01 do dia 24/07/2020  Situação atual: Sem chuvas na região do Grande ABC. (Fonte: Pluviômetros CEMADEN).  Cenário para as próximas horas: Céu parcialmente nublado a claro, sem chuva.  (+)",0,0
peço perdao pessoal nao e do meu feitio defender a censura das pessoa apenas a de sara winter e allan terça livre,"TWITTER DERRUBA CONTAS DOS DISSEMINADORES DE FAKE NEWS:  ALLAN DOS SANTOS, SARA WINTER E BERNARDO!!!! UHUUUU!!!! QUEREM APOSTAR  QUE A TAG EM FAVOR DE SERGIO MORO VAI SUBIR AOS TRENDS ???",0,0
Vejam agora no programa PINGO NOS IS o Roberto Jefferson aniquilando o STF,"Mano, grande mídia é muito fraquinha, mesmo Os Pingos nos Ís  As vezes eu vejo só pra ter uma noção do tipo de informação que tá chegando no povo",0,1
Roberto Jefferson acaba de afirmar no Terça Livre que o escritório do Luís Roberto Barroso recebeu mais de 3 milhões de reais nesse mês.   #FreedomOfSpeech,grande dia difícil,0,0
"qual a sua Opniao sobre a Censura  nas redes sociais ?, você sempre tão combativa e defensora dos direitos dos cidades a se manifestarem , não tenho visto sua Opniao a respeito ......",ROBERTO JEFFERSON DENUNCIA PERFIL FALSO EM SEU NOME E DEMONSTRA QUE STF USOU EXPEDIENTE INADEQUADO,0,-1
#STFVergonhaNacional bando de lixo,"Essa música vem acalhar nesse momento de censura descarada.   Descubra ""SING"" de My Chemical Romance na Deezer",0,0
"Quem comemora a censura hoje, chora amanhã por não pode se expressar. Espero que o ódio não tome conta de nós brasileiros, os charlatões da toga estão abusando já. Estamos precisando do ""cabo e do soldado"", somente carreata não intimida bandidos.","""No último ano e meio, a militância bolsonarista encheu o saco do Brasil defendendo intervenção militar e implantação do AI-5. Pois bem, nessa sexta-feira (24), acusam o Min. Alexandre de Moraes, de reeditar o AI-5."" Militância Fake, #GovernoDeFraudes",0,1
"Qual será o teor do ""textão"" que os Generais de pantufa farão - se é que farão, pra ""protestarem veementemente"" contra mais um abuso cometido no âmbito do #InqueritoIlegal do #STF que #Censura e persegue quem os critica?  #STFVergonhaNacional #stfvergonhanacinal #CensuraNao",#VozParaBernardoKuster Querem censurar a verdade para que a mentira prevaleça!,0,0
"Censura não ajuda, não resolve problemas e não é positiva para a democracia do Brasil, nem para os brasileiros... isso precisa mudar PR  !  Após mandado de Moraes, Twitter derruba perfis de conservadores",Bom dia Rio Grande do AZUL !!! Um baita dia para todos aqui desta minha TIMEBLUE !!!,0,0
Este miúdo é uma comédia tão grande,Sabrinna está viciada em falar grande dia e isso me fez pensar no Bolsonaro pfv pare,0,0
bom dia estou pegando ranço de ********* grande dia,Twitter suspende contas de bolsonaristas por determinação de Alexandre de Moraes,0,0
"o meu defeito é não ter com pra unha grande, e quebro uma unha por dia po",BOM DIA - O que pensa da monogamia? Marcelo Bulhões -  Um grande equívoco (risos).,0,0
#STFVergonhaNacional Amazônia destruída ou preservada? A verdade sobre a Floresta - Entrevista com Evaristo de Miranda,O grande dia chegou   BDAY EMILLY E MAYLA,0,0
"Os mesmos q defendem liberdade de expressão comemoram agora a lei da censura, isso é tão irônico q nn da pra nn rir dessa gentalha kkkkkkk","como uma pessoa que cresceu no meio de um espaço cultural e politicamente ativo, com pessoas queer e que sempre foi ensinado contra censura é muito triste ler certas coisas",0,0
"Roberto Jefferson botou pra torar nos ministros do STF, no programa TerçaLivre!",Ver gado criticando a lei sobre fake news usando como argumento a censura no Brasil é o cúmulo do mau caratismo!!,0,0
"Helio Nogueira - Roberto Jefferson: ""O Alexandre de Moraes está... | Facebook","Vivemos no BR a ditadura do STF, um tribunal Supremo, cheio de super poderes que, ao contrário de outras ditaduras, não foi cooptado pelo chefe do executivo ou exército, ele se auto ungiu o senhor da lei, de tudo e todos...  #apocalipse #naoacensura #STFVergonhaNacional",0,0
tanto de gente comemorando a censura do STF. Mesma galera da liberdade de expressão,"""Um homem de pouco escrúpulo, o ministro Alexandre Moraes, de tanto lidar com criminosos, adotou a personalidade dos criminosos""  Roberto Jefferson",0,0
"Facebook e Twitter suspendem contas de Luciano Hang, Allan dos Santos e Sara Winter após decisão do STF",Vontade de ficar de pijama o dia todo tá grande,0,0
Abaixo a censura do STF #FreedomOfSpeech,"Allan do Santos, Bernardo Kuster, Roberto Jefferson, Edson Salomão, Sara Winter e outros, todos foram calados hoje no Twitter a pedido da Justiça (STF). Censura meus amigos, censura!",0,0
#PerfilDeAtleta..............BOMBA.  O BANDIDO NUMERO  1  DA QUADRILHA  BOLSONARO.....CAIU   COM A MÃO NO BOLSO.,"Se o Presidente  nada fizer contra a censura e perseguição aos que lhe apoiam, daqui a pouco ninguém vai defende-lo por medo, já que não se pode recorrer a ninguém.",0,0
"Roberto Jefferson:  ""Centenas de contas esquerdistas com fakenews e o que semi deus Alê do PCC faz ? Bloqueia quem está apoiando o Presidente Bolsonaro , deixa eu só dizer uma coisa , com Twitter ou sem Twitter…","Ameaçar e mentir não é liberdade, é crime. Chorem na cama que é lugar quente! CENSURA",0,0
Com a censura imposta pela ditadura do  é #Bolsonaro2022 de NOOOOVO PORRA!,#VozParaBernardoKuster Já passou da hora.....,0,0
"Os ministros do STF se dizem a ""última instância"" da nossa liberdade. Mas esquecem que ACIMA deles ainda está a Constituição.  Ou exigimos de nossos senadores o encaminhamento dos processos de impeachment de Alexandre de Moraes, ou acordaremos numa Venezuela. #STFNaoVaiNosCalar","FÉ EM DEUS, DJ!  MINISTRO ALEXANDRE DE MORAES UOU! MINISTRO ALEXANDRE DE MORAES",0,0
Amanhã depois da incrível aula do  teremos uma livezinha grande jogando uns 25 jogos no mesmo dia!! Por volta de 14h rapaziada!,grande dia  só comi um misto hoje  n sei como n fico magra meu Deus,0,0
"Para acabar o dia em grande, espirrei 15 vezes seguidas","Liberdade de expressão para mim e boca fechada para vocês, se fosse uma conta qualquer de algum blogueiro apoiador do ladrão de nove dedos o mundo estaria caindo sobre o argumento de censura.",0,0
