tweet_1,tweet_2,Class,Conflict
Vocês também estão sentindo que o clima aqui no Twitter deu uma melhorada?,Comunista defendendo a censura. Nada de novo por aqui.,1,1
O tiranete Alexandre de Moraes passou de todos os limites. Ele agora decide sozinho qual informação pode circular no país? Ele decide quem fala e quem cala a boca? Ou os democratas reagem agora a este ato de censura s/ precedentes ou não podem mais falar em liberdade de expressão,Eu não consigo ler isso sem passar raiva desse fdp!!! É isso mesmo que ele é: um FDP!!! Da pior espécie!!!,1,0
O tiranete Alexandre de Moraes passou de todos os limites. Ele agora decide sozinho qual informação pode circular no país? Ele decide quem fala e quem cala a boca? Ou os democratas reagem agora a este ato de censura s/ precedentes ou não podem mais falar em liberdade de expressão,"Isso é total ditadura!! Mas e o executivo , não vai falar nada?? Este ""ministro"" do STF é um  CANALHA! #STFVergonhaNacional",1,0
"Hoje, 24/07, Fakhoury e demais investigados pelo inquérito das “fake news” foram surpreendidos com a suspensão de suas contas em redes sociais. Já existe um Habeas Corpus contra o ato praticado pelo Ministro Alexandre de Moraes sob a relatoria do Ministro Edson Fachin ...","... o PGR, Augusto Aras, já opinou pela concessão da ordem pleiteada para que seja desbloqueado os perfis de Fakhoury das redes sociais. A medida de bloqueio acarreta verdadeira censura por impedir a manifestação do pensamento de Fakhoury...",1,0
"É verdade que o Twitter derrubou várias contas de direita, entre elas: Roberto Jefferson, Allan dos Santos, Bernardo Kuster, Sara Winter... ?","Dessa vez a culpa não foi do Twitter, e sim do #STFVergonhaNacional",1,0
"Várias contas foram retidas do Twitter sob a justificativa de ""demanda legal"". , ,  e outros, todos defensores do governo e críticos do STF. Do que se trata? Não foram notificados de nada ainda. É o tal inquérito ilegal? Isso é censura!","CENSURA descarada! "" Tomar o poder é diferente de ganhar eleicao"" disse o ex guerrilheiro de extrema-esquerda... #STFNaoVaiNosCalar",1,0
"Podemos até usar este truque, mas precisamos lutar pela nossa liberdade de expressão! #VozParaBernardoKuster","Concordo, não podemos nos confirmar #VozParaBernardoKuster",1,0
"Contei na abertura do 360: no último dia 22, o ministro Alexandre de Moraes deu 24 h para as redes sociais cumprirem a ordem judicial dada em MAIO. Ele tbm estabeleceu multa de R$ 20 mil por endereço que não fosse retirado do ar. #cnn360","Em contrapartida, a  dá espaço para o Roberto Jefferson continuar a atacar, caluniar e difamar seus desafetos de ocasião.  Diz muito sobre essa emissora.",1,1
"... o PGR, Augusto Aras, já opinou pela concessão da ordem pleiteada para que seja desbloqueado os perfis de Fakhoury das redes sociais. A medida de bloqueio acarreta verdadeira censura por impedir a manifestação do pensamento de Fakhoury...","...garantida pelo amplo sistema de liberdade de expressão.O STF já conferiu entendimento de que a liberdade de expressão goza de posição preferencial.Gritante a violação ao direito e livre manifestação pensamento com o bloqueio de contas das redes sociais, uma triste censura!!!",1,0
Liberdade de expressão! #VozParaBernardoKuster,Não vão calar a direita. #VozParaBernardoKuster,1,0
"Recentemente, por motivo de OPINIÃO E EXPRESSÃO, o Ministro Alexandre de Moraes mandou invadir e revistar, de novo,minha casa, na pequena comunidade onde vivo. Dois camburões na minha porta, o povo se aglomerou perguntando se eu seria preso novamente. Não perdôo a humilhação.","Perdoe mesmo não,  solte logo a  nos fdp do #STFVergonhaNacional.",1,0
O Twitter acabou de remover todas as contas de cidadãos comuns e jornalistas brasileiros conservadores. É o maior ato de censura já visto na história da humanidade!,Orações e Jejum. Porquê Deus é mais. #STFVergonhaNacional,1,0
O tiranete Alexandre de Moraes passou de todos os limites. Ele agora decide sozinho qual informação pode circular no país? Ele decide quem fala e quem cala a boca? Ou os democratas reagem agora a este ato de censura s/ precedentes ou não podem mais falar em liberdade de expressão,Democratas?? Isso existe do lado de lá??? #VozParaBernardoKuster,1,-1
O tiranete Alexandre de Moraes passou de todos os limites. Ele agora decide sozinho qual informação pode circular no país? Ele decide quem fala e quem cala a boca? Ou os democratas reagem agora a este ato de censura s/ precedentes ou não podem mais falar em liberdade de expressão,Momento sombrio! A sociedade precisa reagir!!! #VozParaBernardoKuster,1,0
"Os perfis do ,  (dentre outros) está liberado para quem vive fora do Brasil. Ou seja: a censura é apenas para brasileiros que vivem sob a ditadura.",Alterei a configuração para EUA e posso ver agora. #VozParaBernardoKuster,1,0
Liberdade de expressão! #VozParaBernardoKuster,Liberdade de expressão #VozParaBernardoKuster,1,0
"A censura ao Bernardo Küster é abjeta e inaceitável. Quando os tribunais começam a violar os direitos individuais mais básicos, é hora de a sociedade se unir e reagir. Os tiranos jamais podem se sentir confortáveis. #VozParaBernardoKuster","Ou reagimos agora, ou nos calarão de vez! #VozParaBernardoKuster",1,0
"E a ditadura do Judiciário segue firme, cada dia demonstrando mais e mais a sua tirania. Ou a sociedade reaje ou será totalmente subjugada.  #DitaduraDoJudiciario #DitaduraNuncaMais  #CensuraJamais  #STFVergonhaNacional",esse alexandre de morais deve ser preso imediatamente,1,0
"As contas censuradas hoje contam com mais leitores do que os grandes jornais e veículos da velha imprensa.  Ou seja, a decisão de bloquear essas contas equivale ao fechamento de jornais e televisões, goste você ou não das opiniões emitidas por tais perfis.  Censura abjeta!",É quem pode resolver ou acabar com mais essa censura????,1,0
"Me faltam adjetivos pra classificar a suspensão de contas em redes sociais APENAS de apoiadores do Governo.   Para os da esquerda que comemoram, lembrem-se que nada impede que isso aconteça com vocês a qualquer momento.   A censura é real.","impede, não é censura, esse criminosos não podem ficar falando merda e ficar impunes. beijo, morra cedo sua anta :)",1,1
