tweet_1,tweet_2,Class,Conflict
"Demorou, vá com Deus   URGENTE: Bolsonaro exonera Mandetta do Ministério da Saúde",parece que as viúvas do mandetta esqueceram que ele fechou o departamento de HIV/AIDS,0,0
E eu que li a notícia com “Mandetta demite Bolsonaro “ Seria meu sonho,mandetta é um oasis de lucidez no meio de um mainstream politico totalmente polarizado,0,1
O Mandetta vai tomar naaaaa......  Jacaaaaaaaa !,"Bolsonaro demitindo Mandetta, Babu perdendo o lider dnv, mais um dia q o brasileiro não sorri",0,1
"Quem em sã consciência demite um ministro da saúde em plena pandemia???  Só Bolsonaro mesmo,  #BolsonaroVirus coitado do Mandetta, demitido por fazer o certo",Minha mae vai rasga a boca falando mal do bonozoro e desse novo ministros pq ela queria o mandetta,0,0
So queria mostrar a minha proposta de emenda a constituição: proibido o acesso qualquer pessoa que não defenda o SUS de a qualquer atendimento médico.  O que acham?  ps.: vai se fuder mandetta e bolsonaro,Nelson Erich é o novo Ministro sa Saúde! #BolsonatoTemRazao By Mandetta!,0,0
Bolsonaro demite Mandetta e coloca o Brasil no piloto automático.  Rumo a um prédio,"""Você conversa hoje, a pessoa entende, diz que concorda, depois muda de ideia e fala tudo diferente. Você vai, conversa, parece que está tudo acertado e, em seguida, o camarada muda o discurso de novo. Já chega, né? Já ajudamos bastante.""",0,0
GloboNews sai da coletiva do Mandetta e corta para o presidente: ele começa a tossir,BDM Online [16.04.20 15:40] ++Mandetta foi chamado ao Planalto (GNews),0,0
"Daqui há alguns dias muitos se perguntarão.  Mandetta, quem era mesmo? Ah, o que era ministro da saúde né?   Cairá no esquecimento!  Aproveite os 15 minutos de fama entre a esquerda e nova esquerda. Vai acabar! #ForaMaia","Bolsonaro colocou um cara que é igual ao Mandetta. Ele é somente um palhaço com ego ferido e que precisava ""sair por cima"" nesse bate boca. Ele nunca se preocupou com o povo, apenas com a sua imagem.",0,0
"Em despedida, Mandetta elogia SUS e manda recados a Bolsonaro","""O que os estrangeiros estão falando sobre a demissão de Mandetta, por Bolsonaro, em meio à pandemia do novo #coronavírus""",0,0
"Estou pagando pau sim para esse discurso do Mandetta. ""A ciência é a luz""  #GloboNews","Demitido por Bolsonaro, Mandetta diz que batalha do coronavírus está no ""começo""",0,0
"CORONAVÍRUS NO #BRASIL - Pois é! O ex-ministro #Mandetta não deve ter visto este vídeo questionando sua preocupação em preservar vidas. Mandetta levou com ele o mais do mesmo e os interesses políticos acima de todos os fins, inclusive os da ciência. #coronavirus #COVID19",Maia vc perdeu o mandetta não 80% do povo! Perdeu seu governo paralelo.  Vc fala em redução de salários? Mas se fosse o Bolsonaro ele seria crucificado! Tirar mais do povo? Nao vc não é de S.Paulo e nem brasileiro!,0,0
"se o Mandetta sair estamos perdidos, único ministro bom do bozonaro","Se quem não tem dedo é dedeta, quem não manda mais é mandetta  O Brasil elegeu  Presidente  democráticamente, e é impossível conviver com um sabotador dentro de casa. Coletiva em instantes  Auf wiedersehen  #BolsonaroTemRazao",0,1
"Deus que me perdoe, mas se eu fosse o Mandetta sairia do ministério falando A É? ENFIA ESSA MERDA NO CU ENTÃO BOLSONARO","Por mais que eu discorde de muitas medidas tomadas  anteriormente pelo ministro Mandetta, nesse momento que estamos enfrentando uma pandemia o mesmo vinha tomando medidas importantes, é inegável que ele parecia o mais responsável do governo do atual presidente.",0,0
CNN encerra entrevista com Carla Zambelli após ela apresentar os erros de Mandetta -  #CNNcontraoBrasil,"pera lá, votou 17 e está bravo que o mandetta foi demitido?????",0,0
