tweet_1,tweet_2,Class,Conflict
"“O dia que ele [Mandetta] sair, eu saio junto com ele”, afirma João Gabbardo","Demorou, não deveria ne ter sido nomeado mandetta traidor",1,0
"A maioria esmagadora dos brasileiros é contrária à demissão de Mandetta: 76,2% dos entrevistados discordam do afastamento do ministro da Saúde, segundo pesquisa realizada pelo Atlas Político. Vc concorda com o resultado da pesquisa?   via","Como uma cobra ratoeira, está o senhor senador, pronto para dar o bote.  Então Mandetta tem que continuar??? O senhor não engana ninguém!",1,1
"A maioria esmagadora dos brasileiros é contrária à demissão de Mandetta: 76,2% dos entrevistados discordam do afastamento do ministro da Saúde, segundo pesquisa realizada pelo Atlas Político. Vc concorda com o resultado da pesquisa?   via","#ForaMandettaTraira   Eu não fui entrevistada!  Mas posso incluir uma enquete neste post:  Demissão do Mandetta, qual a sua opinião?",1,0
Mandetta e sua política de isolamento estão longe de representar a visão única existente na comunidade médica. Recebi de um respeitado médico uma mensagem de desabafo justamente pq ele e vários pares estão revoltados com essa idolatria toda ao ministro.,Mandetta é um TRAIDOR!!!! #ForaMandettaUrgente,1,0
Demissão de Mandetta é rejeitada por 76% dos brasileiros,"Mandetta, ficou deslumbrado ao microfone e o tempo passou e os problemas aumentaram....",1,0
"O ministro da Saúde, Henrique Mandetta, disse há pouco que a troca de comando na pasta deverá acontecer entre hoje e amanhã.",Que o Mandetta va tarde,1,0
Quem era Mandetta antes de virar Ministro da Saúde? O que fez no ministério no período anterior à epidemia?,"Não sei porque estão criticando o  por demitir o . O Ministro vem pedindo para que todos fiquem em casa.... Então, o presidente está fazendo a vontade do Mandetta.  FIQUE EM CASA meu Ex-ministro!",1,0
"A maioria esmagadora dos brasileiros é contrária à demissão de Mandetta: 76,2% dos entrevistados discordam do afastamento do ministro da Saúde, segundo pesquisa realizada pelo Atlas Político. Vc concorda com o resultado da pesquisa?   via",Bora lá provar para o senhor senador Alvaro Dias   Pergunta: Você quer que o Bolsonaro demita o Mandetta?,1,0
"Parece que é verdade, veja a reportagem de 2018 sobre o caso, só isso já é suficiente para a demissão dele do cargo de ministro, coisa feia  o Brasil não merece tanta traição, você sempre recebeu gordos salários pagos por nós.","Eu escutei o dia q Mandetta ""desceu a lenha na Prevent Sénior, achei muito esquisito aquela forte e segura de si. Esse cara só tem retórica é um sórdido. Ontem 15/04/20 as medidas tomadas pelo MS são as mesmas de 30 dias atrás. Tudo no gerúndio: estamos fazendo, provideciando.",1,0
"Planalto investiga assessores de Mandetta e prepara dossiê, diz revista","Do nada o Mandetta morrendo  de  ""ataque cardiaco""",1,0
Mandetta e sua política de isolamento estão longe de representar a visão única existente na comunidade médica. Recebi de um respeitado médico uma mensagem de desabafo justamente pq ele e vários pares estão revoltados com essa idolatria toda ao ministro.,Tudo  isso graças ao golpe de Mestre em ir a rede Globo dar entrevista exclusiva mandetta vai quere sair como herói  e por isso mais uma vez o povo chegamente sendo iludido,1,0
"Quer dizer que o MANDETTA autorizou a compra de gel lubrificante para distribuir no SUS e presídios no valor de 25 milhões de reais.. Na moral, o que isso tem a ver com o combate ao corona? Não seria melhor gastar isso com álcool em gel? PRA QUE DAR GEL LUBRIFICANTE PARA DETENTO?","Uma simpatia do Mandetta sabendo  o que o Maia, Alcolumbre e STF estavam planejando.",1,0
"Como se ninguém houvesse berrado que Bolsonaro não é confiável. Acreditou porque quis, porque topou ser conivente.",Mandetta assassino! Quantas pessoas já morreram por não se usar a CLOROQUINA,1,0
"Após uma entrevista de Mandetta em tom de “despedida”, já há nomes cotados para substituí-lo na pasta  Siga o  para mais notícias!","Graças a Deus, esse Mandetta bitolado, de visão única, vai sair. Precisamos de pessoas inteligentes que entendam a importância dos medicamentos para cura. Ele só sabe rechaçar os remédios e indicar isolamento.",1,0
"O ministro da Saúde, Henrique Mandetta, disse há pouco que a troca de comando na pasta deverá acontecer entre hoje e amanhã.","Já tinha que ter ido,se tivesse vergonha na cara Mandetta",1,0
Mandetta é acusado pelos crimes de fraudes em licitações e tráfico de influência...,Esse Mandetta é um bandido,1,0
"A Pepa quer a permanência de Mandetta. Pepa, Maia, Alcolumbre. Só a nata do Congresso.",É por aí que a gente vê como o Mandetta não é boa coisa! Recebeu elegio inclusive do PT,1,0
"O ministro da Saúde, Luiz Henrique Mandetta, disse que tem recebido contatos dos seus possíveis substitutos. Mandetta diz que incentiva aos que o procuram a assumir seu lugar","Eu imagino como deva ser essas conversas... Possível Sub: Oi Mandetta. Queria saber como é trabalhar pra Rainha Louca. Mandetta: Ah, é ótimo [voz embargada]. Ele é super racional [voz de choro]. Outro dia encontrei ele lendo mapa astral [chora copiosamente]. Telefone: tu, tu, tu.",1,0
Mandetta e sua política de isolamento estão longe de representar a visão única existente na comunidade médica. Recebi de um respeitado médico uma mensagem de desabafo justamente pq ele e vários pares estão revoltados com essa idolatria toda ao ministro.,Por que julgar Mandetta e esperar outro Ministro se o chefe chama se DORIA.   O que BOLSONARO e seu ministro falam quase ninguém mais escuta,1,0
"Enquanto falta remédio no posto de saúde, e o estado diz que não tem dinheiro pra comprar medicamentos pra câncer, doença raras, Madetta gastou em 2019 R$ 25 milhões em GEL LUBRIFICANTE pro sistema carcerário. Com tanta preocupação Mandetta tá preocupado com o ÂNUS DO BANDIDO","Então Deputado Otoni a gente que enfrenta a doença de câncer sabemos da importância de não falhar 1 dia de tomar medicamentos e esse mandetta dando importância em gel lubrificante, mt triste, ainda bem q será demetido pelo nosso Presidente Bolsonaro",1,0
"Mandetta já sabia da Pandemia no Carnaval. Ao invés de distribuir máscaras, sua equipe distribuiu 8,9 Milhões de sachês de KY, gel lubrificante. Foram quase 9 milhões de bumbuns felizes ao custo de R$ 25 milhões, ou três mega sena.","E ainda é um pederasta o Mandetta, hein! Tsc tsc tsc...",1,0
Quem era Mandetta antes de virar Ministro da Saúde? O que fez no ministério no período anterior à epidemia?,"Sinceridade? Não fez nada de relevante. Mandetta é um ponto no final de texto. Não serve para nada além de informar ""acaba aqui"".",1,0
"Trocar ministro mais popular do governo neste momento (64% de avaliação positiva, contra 39% de Bolsonaro, segundo Atlas Político) reflete o pavor do presidente de que essa popularidade ofusque ainda mais a dele. Nada garante que demissão inverterá o jogo.",CORRETÍSSIMO! Sua antipatia com Mandetta cresceu na mesma medida em que a atuação de seu ministro passou a ser aplaudida pelo país. O CAPITÃO CORONA INVEJOSO já havia tido crise de CIUMEIRA tb com Sérgio Moro!,1,0
"Demissão de Mandetta é rejeitada por 76,2%, diz pesquisa da Atlas Político | Política | Valor Econômico",VAI VENDO..,1,0
"Em reunião com Bolsonaro, oncologista faz exposição e é sondado para o lugar de Mandetta","Bolsonaro pensa em trocar  por Teich, médico que defende o isolamento horizontal? Então, muda o ministro, mas mantém a politica atual do ministério? Leitura: o que incomoda o presidente não é a politica do ministério, mas a popularidade do Mandetta. A inveja é uma m...",1,0
"Mandetta é político e está agindo como político: tenta extrair o máximo de benefício da sua situação adversa. Como já disse no , ele tem tudo a ganhar ao forçar ainda mais a sua saída.","A mídia, governadores e oposição precisam do mandetta pra atacar o presidente, pra mostrar q o presidente está indo contra o próprio ministério da saúde, porisso se Bolsonaro demití-lo, imprensa, centrão e oposição irão atacar bolso com força e tornar mandetta mártir.",1,0
