tweet_1,tweet_2,Class
E eu que li a notícia com “Mandetta demite Bolsonaro “ Seria meu sonho,mandetta é um oasis de lucidez no meio de um mainstream politico totalmente polarizado,0
So queria mostrar a minha proposta de emenda a constituição: proibido o acesso qualquer pessoa que não defenda o SUS de a qualquer atendimento médico.  O que acham?  ps.: vai se fuder mandetta e bolsonaro,Nelson Erich é o novo Ministro sa Saúde! #BolsonatoTemRazao By Mandetta!,0
Bolsonaro demite Mandetta e coloca o Brasil no piloto automático.  Rumo a um prédio,"""Você conversa hoje, a pessoa entende, diz que concorda, depois muda de ideia e fala tudo diferente. Você vai, conversa, parece que está tudo acertado e, em seguida, o camarada muda o discurso de novo. Já chega, né? Já ajudamos bastante.""",0
é sério que tem gente que ficou feliz com a saída d mandetta? vai se fuder porra,"16/04/2016 Mandetta para  ""tchau querida"" 16/04/2020 Mandetta Demitido pelo incompetente ""Bozo"".",0
"Mandetta demitido, só jesus na causa","Para quem não sabe Mandetta é golpista, não era a favor do SUS (apoiava hospitais privados e plano de saúde), entre outras coisas que ele tem como convicções  E com isso o Bolsonaro de tão ruim que é, me fez defender Mandetta, Caiado, Mácron, etc.",0
"Há pouco o Mandetta TOSSIU na entrevista sem colocar o braço p/ evitar espalhar gotículas, COMO ELE PEDE TODO DIA QUE OS OUTROS FAÇAM. Ficou sem graça e encerrou a entrevista // Faça o que eu falo, não faça o que eu faço #MandettaDEMITIDO #Mandetta",Sem o mandetta agora é que o brasil tá fudido mermo Tava ruin Mioro Mas agora parece q piorou,0
"única perspectiva desse governo bolsonaro é que ele quer afundar o país mesmo, mandetta fazendo um trabalho impecável, só porque vai contra a opinião dele, ele quer mandar embora","Nesse perfil:  Mandetta: um filha da puta sem escrúpulo privatista arrombado, não jogamos no mesmo time, mas agradeço por ter batido de frente com o capitão corona e por tudo que fez nessa pandemia  Bolsonaro: Não desejo mal pra ninguém, só pra ele, por mim que morra agonizando",0
"Não é pq Teich é péssimo que o Mandetta é bom.  Mandetta cresceu muito e acho mesmo que foi de caso pensado, ele continua sendo um fascista, não esqueçamos.","Para implementar sua política nefasta q nega a ciência e a COVID-19, Bolsonaro  vai tirar o timoneiro Mandetta. Isso pode custar muitas vidas! É hora de agir  , sob pena de se tornarem cúmplices das atitudes de um disparatado.",0
"Mainha lamentando q ""pelo menos Mandetta era bonito""  kkk Aiai",não acredito que vcs são das do mandetta,0
Motivo da demissão do Mandetta: ser mais competente e querido que o presidente.,Havia um conflito no governo! MANDETTA queria as pessoas em casa e BOLSONARO queria as pessoas trabalhando! BOLSONARO se deu por vencido e mandou  MANDETTA ficar em casa!,0
BOLSONARO DEMITE MANDETTA  IVY QUASE LÍDER   MAIS UMA VEZ O MAU VENCE,Bolsonaro demitiu Mandetta  Nós:,0
"É as panelas nao param no Rio de Janeiro, contra Bolsonaro, o traste,  nessa quinta, 16 de abril, enquanto ele falava da demissão de Mandetta.  Dois cretinos!","E agora com a saída do Mandetta que por sinal era um dos mais lúcidos no governo, viraremos uma Itália na vida ou um EUA, em relação aos grandes números de mortos pelo corona ?",0
"Porra de síndrome do menos pior, se fuder, galera virou viúva do mandetta porra? Não fode","hummmmmm... isso que estranhei também basilia, o mandetta presente. não percebia que participava da posse, mas ele falou muito né? inédito pra quem tá sendo demitido. deram a palavra a ele... #livecnnbrasil",0
"Demissão de Mandetta é rejeitada por 76,2%, diz pesquisa da Atlas Político | Política | Valor Econômico",QUAL SERÁ O PORQUE DESSA DEMISSÃO??,1
"“Eu escolhi minha equipe por currículo..... ” “Nós temos a defesa da vida, a defesa do SUS e a defesa da ciência” Luiz Henrique Mandetta , Ministro da Saúde do Brasil.","Basta proclamar frases belas e humanista, que você se tornará  límpido e altruísta. Você ascenderá para um estágio de "" cidadão do bem, que tem como efeito o esquecimento de seu passado ( Satanás et al, 2700 A.C) Mandetta é um demagogo seboso.",1
"Bruno Boghossian | Mandetta mostra que Bolsonaro é o inimigo do combate ao coronavírus. Dentro do Planalto, ministro demissionário submete presidente a uma humilhação pública ()","No mundo imaginário.  No mundo real, o Mandetta teve 4 meses para preparar o Brasil contra a pandemia e não fez nada!",1
"A maioria esmagadora dos brasileiros é contrária à demissão de Mandetta: 76,2% dos entrevistados discordam do afastamento do ministro da Saúde, segundo pesquisa realizada pelo Atlas Político. Vc concorda com o resultado da pesquisa?   via","ISSO NÃO É VERDADE, MANDETTA É UM PICARETA...",1
"""Mandetta era um jogador de futebol desconhecido, mas que, um dia, fez um drible que foi destaque no Fantástico. Nunca fez um gol na carreira, mas virou ídolo."" Leia mais em:",Na verdade ele tomou uma surra. Era ninguém mas agora Mandetta consegue ser odiado por muitos.,1
E se a gente botasse o Mandetta no BBB?,Não seria melhor botar o Bolsonaro no BBB e deixar o Mandetta onde está? Só uma ideia...,1
Demissão de Mandetta é rejeitada por 76% dos brasileiros,Ele vai trabalhar em novela da Globo.,2
"MANDETTA  - contratou empresa que doou para a sua campanha - comprou itens superfaturados - não tem estratégia a não ser prolongar o isolamento  E agora mais essa!  Ah, mas querem que você acredite que ele vai cair porque BOLSONARO está com ""ciúmes"".  Pode acreditar amiguinho",Plasma é IMPORTANTE na testagem PRA CURAR ou CRIAR VACINA ou estou enganada?  NÃO SABIA dos problemas que desde 2017 JÁ ROLAVA no  ?,2
"A maioria esmagadora dos brasileiros é contrária à demissão de Mandetta: 76,2% dos entrevistados discordam do afastamento do ministro da Saúde, segundo pesquisa realizada pelo Atlas Político. Vc concorda com o resultado da pesquisa?   via",Não! eu acho que já era para ter sido demitido a muito tempo...,2
Bolsonaro sem rumo,"Quem foi o energúmeno que escreveu que o ""corpo médico em massa apoia Mandetta"" e que os rumos errados que ele tomou no combate à epidemia no Brasil ""são os únicos no planeta""?   Ainda bem que as redes sociais são livres no Brasil. Mentirosos compulsivos não enganam mais!",2
"O ministro Mandetta é um raio de lucidez numa tempestade de devaneios no discurso do governo sobre estratégias de combate ao coronavírus. Se sair, será uma perda pro país e nos retirará do rumo das orientações da OMS com consequências que podem ser trágicas.","Deputado  já foi descoberto  a sabotagem do Médico q deu super dosagem do medicamento em paciente levando-os a morte, ainda usando CQ uma versão - segura da cloriquina o CQ é disfosfato de cloriquina, Há so lembrando o medico é ativista do PT! Coincidência não é?",2
“Se Mandetta sair acaba o isolamento social?”  Veja o comentário do CAIO COPPOLLA  hoje (15 ABR) a essa pergunta.  Assista e tire suas conclusões.  #BolsonaroEstavaCerto,Falou a voz da sensatez !!!,2
"A respeito da entrevista do Ministro Mandetta, “- eu vou utilizar uma linguagem do polo: o Ministro cruzou a linha da bola, ele não precisava ter dito determinadas coisas”. (ao #EstadaoLiveTalks)",Bolsonaro é o cocô do cavalo do bandido! Rsrsrsrsrsrsrsrsrs,2
