tweet_1,tweet_2,Class,Conflict_Caio,Conflict_Victor
"Demorou, vá com Deus   URGENTE: Bolsonaro exonera Mandetta do Ministério da Saúde",parece que as viúvas do mandetta esqueceram que ele fechou o departamento de HIV/AIDS,0,0.0,0.0
E eu que li a notícia com “Mandetta demite Bolsonaro “ Seria meu sonho,mandetta é um oasis de lucidez no meio de um mainstream politico totalmente polarizado,0,0.0,1.0
O Mandetta vai tomar naaaaa......  Jacaaaaaaaa !,"Bolsonaro demitindo Mandetta, Babu perdendo o lider dnv, mais um dia q o brasileiro não sorri",0,1.0,1.0
"Quem em sã consciência demite um ministro da saúde em plena pandemia???  Só Bolsonaro mesmo,  #BolsonaroVirus coitado do Mandetta, demitido por fazer o certo",Minha mae vai rasga a boca falando mal do bonozoro e desse novo ministros pq ela queria o mandetta,0,0.0,0.0
So queria mostrar a minha proposta de emenda a constituição: proibido o acesso qualquer pessoa que não defenda o SUS de a qualquer atendimento médico.  O que acham?  ps.: vai se fuder mandetta e bolsonaro,Nelson Erich é o novo Ministro sa Saúde! #BolsonatoTemRazao By Mandetta!,0,1.0,0.0
Bolsonaro demite Mandetta e coloca o Brasil no piloto automático.  Rumo a um prédio,"""Você conversa hoje, a pessoa entende, diz que concorda, depois muda de ideia e fala tudo diferente. Você vai, conversa, parece que está tudo acertado e, em seguida, o camarada muda o discurso de novo. Já chega, né? Já ajudamos bastante.""",0,1.0,0.0
GloboNews sai da coletiva do Mandetta e corta para o presidente: ele começa a tossir,BDM Online [16.04.20 15:40] ++Mandetta foi chamado ao Planalto (GNews),0,0.0,0.0
"Daqui há alguns dias muitos se perguntarão.  Mandetta, quem era mesmo? Ah, o que era ministro da saúde né?   Cairá no esquecimento!  Aproveite os 15 minutos de fama entre a esquerda e nova esquerda. Vai acabar! #ForaMaia","Bolsonaro colocou um cara que é igual ao Mandetta. Ele é somente um palhaço com ego ferido e que precisava ""sair por cima"" nesse bate boca. Ele nunca se preocupou com o povo, apenas com a sua imagem.",0,0.0,0.0
"Em despedida, Mandetta elogia SUS e manda recados a Bolsonaro","""O que os estrangeiros estão falando sobre a demissão de Mandetta, por Bolsonaro, em meio à pandemia do novo #coronavírus""",0,0.0,0.0
"Estou pagando pau sim para esse discurso do Mandetta. ""A ciência é a luz""  #GloboNews","Demitido por Bolsonaro, Mandetta diz que batalha do coronavírus está no ""começo""",0,0.0,0.0
"CORONAVÍRUS NO #BRASIL - Pois é! O ex-ministro #Mandetta não deve ter visto este vídeo questionando sua preocupação em preservar vidas. Mandetta levou com ele o mais do mesmo e os interesses políticos acima de todos os fins, inclusive os da ciência. #coronavirus #COVID19",Maia vc perdeu o mandetta não 80% do povo! Perdeu seu governo paralelo.  Vc fala em redução de salários? Mas se fosse o Bolsonaro ele seria crucificado! Tirar mais do povo? Nao vc não é de S.Paulo e nem brasileiro!,0,0.0,0.0
"se o Mandetta sair estamos perdidos, único ministro bom do bozonaro","Se quem não tem dedo é dedeta, quem não manda mais é mandetta  O Brasil elegeu  Presidente  democráticamente, e é impossível conviver com um sabotador dentro de casa. Coletiva em instantes  Auf wiedersehen  #BolsonaroTemRazao",0,1.0,1.0
"Deus que me perdoe, mas se eu fosse o Mandetta sairia do ministério falando A É? ENFIA ESSA MERDA NO CU ENTÃO BOLSONARO","Por mais que eu discorde de muitas medidas tomadas  anteriormente pelo ministro Mandetta, nesse momento que estamos enfrentando uma pandemia o mesmo vinha tomando medidas importantes, é inegável que ele parecia o mais responsável do governo do atual presidente.",0,0.0,0.0
CNN encerra entrevista com Carla Zambelli após ela apresentar os erros de Mandetta -  #CNNcontraoBrasil,"pera lá, votou 17 e está bravo que o mandetta foi demitido?????",0,0.0,0.0
Petição pro Mandetta divulgar o resultado do exame do Bolsonaro,Povo reclamando que o Bolsonaro demitiu o mandetta os mesmos que estão furando quarentena pra ficar em resenha kkkkkkk vcs me cansam,0,0.0,0.0
"Tchau Mandetta. O país agradece por seus serviços mas é hora de olhar pra frente... E esse olhar tem que ser voltado para o Brasil como nação soberana e não como quintal do Mundo. Alem do recomendado, deve ter medidas específicas que leve em consideração nossas características.",o problema não é a saída do mandetta mas a incerteza de como será a transição. Nelson Teich ja sabe que nao pode ser brusca,0,0.0,0.0
é sério que tem gente que ficou feliz com a saída d mandetta? vai se fuder porra,"16/04/2016 Mandetta para  ""tchau querida"" 16/04/2020 Mandetta Demitido pelo incompetente ""Bozo"".",0,0.0,-1.0
"CNN encerra entrevista com Carla Zambelli após ela apresentar os erros de Mandetta. E aí, onde fica a democracia?",As máscaras que Mandetta comprou (sem licitação da empresa que financiou sua campanha) pelo dobro do preço do mercado. Vejam a qualidade das máscaras que o Ministro Mandetta enviou para o Hospital Universitário da UFG. É assim que querem proteger os profissionais contra o vírus?,0,0.0,0.0
"Eu não vou torcer para que o nome que o Bolsonaro indique para a pasta da saúde seja bom. Eu vou fiscalizar e criticar isso sim. E muito menos cairei na espiral de silêncio do ""Vou confiar no presidente"".   Avisamos quando o Mandetta foi COGITADO e olha no que deu.",No carnaval de rua Mandetta já era Ministro . Por que ele não alertou   e outros governadores que o Carnaval não era contagiante como disse  e sim contagioso. Ele sempre soube . Ele Mandetta colocou nosso país em risco. Ele é o verdadeiro genocida.,0,0.0,0.0
Olha quem demitiu o Mandetta.,"Os presidentes da Câmara, Rodrigo Maia, e do Senado, Davi Alcolumbre, comentam a demissão do ministro da Saúde, Luis Henrique Mandetta, e falam sobre o isolamento social. Veja:",0,0.0,0.0
"Eu já comprei meu ingresso, primeira fila e combo grande de pipoca, pra asisstir Mandetta no Roda Viva.",O que acharam da demissão do Mandetta?,0,0.0,0.0
"Mandetta demitido, só jesus na causa","Para quem não sabe Mandetta é golpista, não era a favor do SUS (apoiava hospitais privados e plano de saúde), entre outras coisas que ele tem como convicções  E com isso o Bolsonaro de tão ruim que é, me fez defender Mandetta, Caiado, Mácron, etc.",0,1.0,0.0
Mandetta perde popularidade digital após entrevista ao ‘Fantástico’  via,#VaiTardeMandetta #TchauMandetta #ChoraMandetta Nunca fiquei tão feliz pela saída de um Ministro. Hoje é dia de comemorar duas vezes -; com a saída de Mandetta e com o choro dos salivares de Mandetta! Que dia emocionante - o Brasil está em Festa! Viva o Minion! Viva o Bozo! Cry!,0,0.0,0.0
"Mandetta rodou mesmo, e vamos de Bolsonaro homicida",Governo Bolsonaro Sempre Pode Piorar – A Queda de Mandetta.  via,0,0.0,0.0
"Há pouco o Mandetta TOSSIU na entrevista sem colocar o braço p/ evitar espalhar gotículas, COMO ELE PEDE TODO DIA QUE OS OUTROS FAÇAM. Ficou sem graça e encerrou a entrevista // Faça o que eu falo, não faça o que eu faço #MandettaDEMITIDO #Mandetta",Sem o mandetta agora é que o brasil tá fudido mermo Tava ruin Mioro Mas agora parece q piorou,0,0.0,1.0
ATENÇÃO - Equipe de Mandetta teme demissão de ministro por Twitter e já anuncia debandada.,Mandetta avisa que foi demitido,0,0.0,0.0
"Se já tava difícil, sem Mandetta fica quase impossível.","Saída do Mandetta me fez lembrar Lembro que em 2009,uma das minhas primeiras experiências no jornalismo. Na mudança das normas ortográficas, ouvi da THEMONIA da  minha diretora dizer: eu escrevo sem seguir as normas. Ou vc aceita o que eu mando ou você segue as regras lá fora.",0,0.0,0.0
"Mandetta cavou a própria cova pra ser demitido, quis aparecer demais ao se aliar a Globo e por isso perdeu o apoio dos Militares senhores do Senado. Gosto muito dele como profissional. Mas infelizmente nessa deu bola fora.","Assista a ""Live: Bolsonaro demite Mandetta. E agrava crise. 16/04/20"" no YouTube",0,0.0,0.0
pior q o mandetta fez um monte de merda e foi kickado pelo q ele fez mais certin,\O/  U R G E N T E !!! Bolsonaro ACABA DE exonerar Mandetta do Ministério da Saúde - \O/,0,0.0,0.0
o mandetta se demitiu   a gente vai morrer,"Mandetta, melhora as coisas aí, mostra o exame do seu ex chefe, aquele cretino!!!",0,0.0,0.0
Mandetta ANUNCIA sua saída pra todos Se BOLSONARO não o Demitir  Mandetta ficara no cargo mesmo que não queira Ou pedirá demissão  BOLSONARO ESTA PROXIMO DO XEQUE-MATE,SEIS MOMENTOS EM QUE MANDETTA CONTESTOU BOLSONARO NO FANTÁSTICO,0,0.0,0.0
"Mandetta demitido, pode escrever... Todo o ministério (ou a maior parte) da saude vai pedir demissão","Agora que uma Marionette foi posta no min. da Saúde, vejamos o caos se instalar no sistema de saúde com a persevidade do presidente de ""tentar"" reabrir o comércio para se reeleger em 2022. #foraBolsonaro Mandetta",0,0.0,0.0
